------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1805M   12M|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 113% 1805M   13M| 269  1.41     0     0 | 257  1.46 |   0     0 |  80M   80M
 200% 1807M  108M|1234  63.2    38M   70M| 818  1.49 |   0     0 |  75M   71M
 197% 1808M  133M| 888   134    45M   49M| 491  1.95 |   0     0 |  99M   60M
 196% 1809M  145M| 744   182    44M   33M| 426  1.91 |   0     0 | 100M   44M
 216% 1809M  140M| 879   141    47M   45M| 494  1.99 |   0     0 |  99M   54M
 244% 1810M  142M| 853   151    50M   39M| 475  1.79 |   0     0 | 106M   47M
 210% 1811M  142M| 850   145    47M   42M| 442  1.98 |   0     0 | 101M   44M
 223% 1812M  139M| 929   150    44M   52M| 551  2.05 |   0     0 |  98M   63M
 216% 1812M  140M| 926   131    49M   49M| 500  1.92 |   0     0 | 101M   53M
 212% 1812M  143M| 853   151    45M   45M| 469  2.02 |   0     0 | 100M   48M
 194% 1812M  142M| 879   139    48M   44M| 474  1.75 |   0     0 |  99M   49M
 209% 1812M  142M| 899   136    44M   51M| 489  1.89 |   0     0 |  98M   57M
 282% 1810M  138M| 922   154    46M   50M| 524  1.94 |   0     0 |  97M   56M
 219% 1811M  141M| 873   143    46M   45M| 488  1.87 |   0     0 | 103M   53M
 209% 1811M  140M| 923   138    47M   50M| 509  1.84 |   0     0 |  99M   54M
 216% 1811M  137M| 885   154    47M   45M| 518  1.82 |   0     0 |  98M   53M
 221% 1811M  137M| 859   145    46M   43M| 473  1.88 |   0     0 | 101M   53M
 190% 1811M  140M| 859   142    46M   44M| 451  1.76 |   0     0 | 102M   48M
 204% 1811M  144M| 875   136    47M   45M| 474  1.84 |   0     0 |  99M   53M
 199% 1811M  138M| 812   162    45M   40M| 458  1.83 |   0     0 | 102M   49M
 210% 1811M  142M| 919   151    46M   49M| 527  1.93 |   0     0 |  98M   59M
 205% 1811M  138M| 902   131    46M   49M| 490  1.81 |   0     0 | 101M   56M
 192% 1811M  142M| 778   174    44M   36M| 422  1.57 |   0     0 | 102M   42M
 232% 1811M  137M| 871   149    48M   43M| 510  1.83 |   0     0 |  99M   55M
 202% 1811M  145M| 843   138    44M   45M| 454  1.83 |   0     0 |  99M   53M
 202% 1811M  143M| 845   158    46M   42M| 452  1.78 |   0     0 | 101M   51M
 247% 1811M  138M| 883   142    46M   45M| 528  2.07 |   0     0 | 102M   61M
 189% 1811M  139M| 845   155    43M   44M| 449  1.72 |   0     0 |  98M   47M
 208% 1811M  145M| 964   133    48M   54M| 513  1.82 |   0     0 | 100M   59M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 217% 1811M  143M| 946   131    43M   57M| 518  2.05 |   0     0 |  97M   63M
 217% 1811M  143M| 825   156    49M   38M| 470  1.81 |   0     0 | 104M   47M
 203% 1811M  135M| 852   150    44M   44M| 500  1.78 |   0     0 |  98M   56M
 212% 1811M  140M| 812   165    46M   39M| 452  1.90 |   0     0 | 102M   49M
 189% 1811M  140M| 966   124    48M   52M| 516  1.53 |   0     0 | 101M   53M
 201% 1811M  146M| 815   150    44M   41M| 435  1.78 |   0     0 | 101M   49M
 216% 1811M  139M| 884   155    44M   49M| 516  2.11 |   0     0 |  98M   64M
 201% 1811M  148M| 818   156    45M   41M| 446  1.85 |   0     0 |  99M   46M
 231% 1811M  136M| 903   141    47M   47M| 510  1.90 |   0     0 | 101M   59M
 219% 1811M  144M| 916   135    46M   49M| 483  1.81 |   0     0 | 102M   53M
 202% 1811M  139M| 891   140    47M   46M| 511  1.71 |   0     0 | 104M   54M
 211% 1811M  145M| 837   156    44M   44M| 459  1.97 |   0     0 |  97M   52M
 193% 1812M  142M| 859   150    44M   45M| 485  1.84 |   0     0 |  98M   57M
 198% 1812M  147M| 856   150    44M   45M| 463  1.98 |   0     0 |  96M   51M
 211% 1812M  135M| 838   153    43M   44M| 500  2.06 |   0     0 |  98M   60M
 193% 1812M  143M| 818   162    42M   42M| 444  1.72 |   0     0 |  98M   51M
 224% 1796M  143M| 896   137    46M   48M| 483  1.78 |   0     0 |  98M   55M
 224% 1796M  138M| 938   134    46M   52M| 542  2.02 |   0     0 | 100M   63M
 217% 1796M  143M| 887   141    50M   42M| 473  1.85 |   0     0 | 102M   46M
 216% 1796M  135M| 867   153    46M   44M| 504  1.82 |   0     0 | 100M   53M
 207% 1796M  144M| 800   159    45M   39M| 425  1.88 |   0     0 | 102M   44M
 204% 1797M  140M| 893   145    50M   43M| 508  1.61 |   0     0 | 100M   50M
 184% 1797M  139M| 749   166    43M   35M| 408  1.72 |   0     0 | 102M   43M
 210% 1797M  137M| 849   156    46M   42M| 478  1.90 |   0     0 | 100M   53M
 198% 1797M  143M| 939   130    46M   52M| 495  1.75 |   0     0 | 101M   54M
 315% 1193M  135M| 934   150    47M   52M| 551  2.20 |   0     0 |  98M   63M
 250%  788M  137M| 886   141    47M   45M| 500  1.88 |   0     0 | 102M   53M
 188%  788M  137M| 843   147    46M   42M| 455  1.66 |   0     0 | 102M   49M
 201%  788M  143M| 910   133    43M   52M| 492  1.84 |   0     0 |  96M   56M
 216%  788M  139M| 944   137    49M   51M| 529  1.93 |   0     0 |  99M   58M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 215%  788M  142M| 967   141    45M   56M| 537  2.07 |   0     0 |  98M   64M
 210%  788M  138M| 852   148    47M   41M| 490  1.81 |   0     0 | 101M   51M
 123%  788M   13M| 503   209    27M 1024K|  57  1.77 |   0     0 | 100M   38M
 112%  788M   14M|  14  0.29     0     0 |   3  1.23 |   0     0 |  79M   78M
 140%  788M   12M|  13  0.38     0     0 |   1  0.62 |   0     0 |  78M   80M
 124%  788M   11M|  14  0.35     0     0 |   2  0.75 |   0     0 |  77M   77M
 268%  788M 9728K|  13  0.32     0     0 |   1  0.66 |   0     0 |  71M   72M
 263%  759M 8192K|  14  0.38     0     0 |   2  0.80 |   0     0 |9088K 9984K
 207%  759M 8192K|  13  0.25     0     0 |   1  0.54 |   0     0 |   0     0 
 176%  759M 8192K|  14  0.35     0     0 |   2  0.88 |   0     0 |   0     0 
