------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  231M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 104%  353M  131M|1746  0.17     0   215M|  11  0.83 |   0     0 |   0    84M
 106%  520M  300M|2259  0.19     0   280M|   3  2.60 |   0     0 |   0   111M
58.5%  521M  299M| 898  0.84     0   110M|   4  2.41 |   0     0 |   0   111M
59.3%  521M  300M| 909  0.84     0   111M|   2  2.50 |   0     0 |   0   111M
51.6%  521M  299M| 912  0.84     0   112M|   4  2.40 |   0     0 |   0   112M
52.9%  521M  299M| 911  0.87     0   111M|   5  2.29 |   0     0 |   0   111M
54.9%  521M  299M| 896  0.85     0   110M|   2  2.14 |   0     0 |   0   110M
56.5%  521M  299M| 914  0.83     0   112M|   4  2.36 |   0     0 |   0   113M
58.2%  521M  299M| 907  0.83     0   111M|   2  2.38 |   0     0 |   0   111M
56.3%  521M  299M| 908  0.83     0   111M|   4  2.51 |   0     0 |   0   111M
51.3%  522M  299M| 908  0.85     0   111M|   4  2.12 |   0     0 |   0   112M
53.7%  522M  299M| 912  0.84     0   112M|   3  2.89 |   0     0 |   0   112M
49.9%  522M  299M| 907  0.85     0   111M|   4  1.94 |   0     0 |   0   111M
54.4%  523M  300M| 903  0.84     0   111M|   2  2.40 |   0     0 |   0   110M
57.2%  523M  299M| 903  0.84     0   111M|   4  2.55 |   0     0 |   0   112M
52.5%  523M  299M| 911  0.83     0   111M|   4  1.87 |   0     0 |   0   111M
46.7%  523M  300M| 917  0.86     0   113M|   3  1.93 |   0     0 |   0   112M
54.5%  523M  300M| 906  0.84     0   111M|   4  2.26 |   0     0 |   0   111M
51.0%  523M  300M| 903  0.87     0   111M|   3  2.79 |   0     0 |   0   111M
57.2%  524M  299M| 906  0.83     0   111M|   4  2.44 |   0     0 |   0   112M
56.9%  524M  300M| 910  0.81     0   112M|   3  2.03 |   0     0 |   0   111M
48.2%  524M  300M| 906  0.86     0   111M|   3  2.62 |   0     0 |   0   111M
46.4%  525M  300M| 907  0.88     0   111M|   4  1.93 |   0     0 |   0   112M
67.3%  526M  299M| 906  0.85     0   111M|   2  2.28 |   0     0 |   0   111M
54.6%  526M  300M| 913  0.82     0   112M|   4  2.41 |   0     0 |   0   112M
65.7%  530M  299M| 909  0.81     0   111M|   5  2.68 |   0     0 |   0   111M
63.3%  531M  299M| 910  0.82     0   112M|   3  2.91 |   0     0 |   0   112M
53.9%  532M  300M| 910  0.84     0   112M|   4  2.36 |   0     0 |   0   111M
52.1%  532M  300M| 899  0.85     0   110M|   2  2.60 |   0     0 |   0   110M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
50.9%  532M  300M| 910  0.86     0   112M|   4  2.15 |   0     0 |   0   112M
56.0%  532M  300M| 912  0.84     0   112M|   4  2.49 |   0     0 |   0   112M
52.6%  532M  299M| 899  0.84     0   110M|   3  2.69 |   0     0 |   0   111M
50.2%  532M  298M| 904  0.85     0   111M|   3  1.87 |   0     0 |   0   112M
49.1%  532M  300M| 908  0.89     0   111M|   3  2.40 |   0     0 |   0   111M
50.2%  532M  299M| 909  0.28     0   111M|   4  2.22 |   0     0 |   0   111M
53.2%  532M  299M| 912  0.83     0   112M|   3  1.70 |   0     0 |   0   112M
56.5%  532M  300M| 911  0.82     0   112M|   4  2.64 |   0     0 |   0   111M
58.6%  532M  298M| 901  0.83     0   110M|   4  2.38 |   0     0 |   0   112M
50.4%  532M  299M| 904  0.85     0   111M|   3  2.49 |   0     0 |   0   111M
52.6%  532M  299M| 910  0.82     0   112M|   4  2.29 |   0     0 |   0   112M
52.7%  532M  299M| 914  0.83     0   112M|   3  1.84 |   0     0 |   0   112M
