Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

21:16:37      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:16:38        0    195206   57.00   69.00    0.00    0.00  126.00    22  juicefs.v1.3.1
21:16:39        0    195206   43.00   45.00    0.00    0.00   88.00    22  juicefs.v1.3.1
21:16:40        0    195206   46.00   32.00    0.00    0.00   78.00    20  juicefs.v1.3.1
21:16:41        0    195206   39.00   30.00    0.00    0.00   69.00    22  juicefs.v1.3.1
21:16:42        0    195206   42.00   34.00    0.00    0.00   76.00    22  juicefs.v1.3.1
21:16:43        0    195206   40.00   29.00    0.00    0.00   69.00    22  juicefs.v1.3.1
21:16:44        0    195206   39.00   31.00    0.00    0.00   70.00    22  juicefs.v1.3.1
21:16:45        0    195206   40.00   21.00    0.00    0.00   61.00    22  juicefs.v1.3.1
21:16:46        0    195206   31.00   26.00    0.00    0.00   57.00    22  juicefs.v1.3.1
21:16:47        0    195206   36.00   20.00    0.00    0.00   56.00    22  juicefs.v1.3.1
21:16:48        0    195206   38.00   29.00    0.00    0.00   67.00    22  juicefs.v1.3.1
21:16:49        0    195206   48.00   23.00    0.00    0.00   71.00    22  juicefs.v1.3.1
21:16:50        0    195206   35.00   31.00    0.00    0.00   66.00    22  juicefs.v1.3.1
21:16:51        0    195206   41.00   24.00    0.00    0.00   65.00    22  juicefs.v1.3.1
21:16:52        0    195206   30.00   24.00    0.00    0.00   54.00    22  juicefs.v1.3.1
21:16:53        0    195206   37.00   20.00    0.00    0.00   57.00    22  juicefs.v1.3.1
21:16:54        0    195206   44.00   23.00    0.00    0.00   67.00    30  juicefs.v1.3.1
21:16:55        0    195206   43.00   29.00    0.00    0.00   72.00    20  juicefs.v1.3.1
21:16:56        0    195206   41.00   26.00    0.00    0.00   67.00    20  juicefs.v1.3.1
21:16:57        0    195206   37.00   24.00    0.00    0.00   61.00    20  juicefs.v1.3.1
21:16:58        0    195206   35.00   21.00    0.00    0.00   56.00    20  juicefs.v1.3.1
21:16:59        0    195206   37.00   24.00    0.00    0.00   61.00    30  juicefs.v1.3.1
21:17:00        0    195206   43.00   31.00    0.00    0.00   74.00    30  juicefs.v1.3.1
21:17:01        0    195206   40.00   31.00    0.00    0.00   71.00    36  juicefs.v1.3.1
21:17:02        0    195206   39.00   22.00    0.00    0.00   61.00    20  juicefs.v1.3.1
21:17:03        0    195206   41.00   18.00    0.00    0.00   59.00    20  juicefs.v1.3.1
21:17:04        0    195206   28.00   30.00    0.00    0.00   58.00    20  juicefs.v1.3.1
21:17:05        0    195206   71.00   35.00    0.00    0.00  106.00    20  juicefs.v1.3.1
21:17:06        0    195206   46.00   27.00    0.00    0.00   73.00    20  juicefs.v1.3.1
21:17:07        0    195206   37.00   28.00    0.00    0.00   65.00    20  juicefs.v1.3.1
21:17:08        0    195206   34.00   31.00    0.00    0.00   65.00    20  juicefs.v1.3.1
21:17:09        0    195206   29.00   25.00    0.00    0.00   54.00    20  juicefs.v1.3.1
21:17:10        0    195206   38.00   24.00    0.00    0.00   62.00    20  juicefs.v1.3.1
21:17:11        0    195206   38.00   34.00    0.00    0.00   72.00    20  juicefs.v1.3.1
21:17:12        0    195206   42.00   31.00    0.00    0.00   73.00    20  juicefs.v1.3.1
21:17:13        0    195206   38.00   29.00    0.00    0.00   67.00    20  juicefs.v1.3.1
21:17:14        0    195206   40.00   21.00    0.00    0.00   61.00    20  juicefs.v1.3.1
21:17:15        0    195206   34.00   22.00    0.00    0.00   56.00    20  juicefs.v1.3.1
21:17:16        0    195206   39.00   28.00    0.00    0.00   67.00    20  juicefs.v1.3.1
21:17:17        0    195206   44.00   24.00    0.00    0.00   68.00    20  juicefs.v1.3.1
21:17:18        0    195206   42.00   27.00    0.00    0.00   69.00    20  juicefs.v1.3.1
21:17:19        0    195206   36.00   29.00    0.00    0.00   65.00    20  juicefs.v1.3.1
21:17:20        0    195206   36.00   26.00    0.00    0.00   62.00    36  juicefs.v1.3.1
21:17:21        0    195206   31.00   27.00    0.00    0.00   58.00    36  juicefs.v1.3.1
21:17:22        0    195206   43.00   30.00    0.00    0.00   73.00    40  juicefs.v1.3.1
21:17:23        0    195206   41.00   30.00    0.00    0.00   71.00    40  juicefs.v1.3.1
21:17:24        0    195206   45.00   27.00    0.00    0.00   72.00    40  juicefs.v1.3.1
21:17:25        0    195206   36.00   26.00    0.00    0.00   62.00    40  juicefs.v1.3.1
21:17:26        0    195206   34.00   20.00    0.00    0.00   54.00    40  juicefs.v1.3.1
21:17:27        0    195206   35.00   27.00    0.00    0.00   62.00    40  juicefs.v1.3.1
21:17:28        0    195206   44.00   26.00    0.00    0.00   70.00    40  juicefs.v1.3.1
21:17:29        0    195206   42.00   30.00    0.00    0.00   72.00    40  juicefs.v1.3.1
21:17:30        0    195206   42.00   25.00    0.00    0.00   67.00    44  juicefs.v1.3.1
21:17:31        0    195206   39.00   28.00    0.00    0.00   67.00    44  juicefs.v1.3.1
21:17:32        0    195206   33.00   21.00    0.00    0.00   54.00    40  juicefs.v1.3.1
21:17:33        0    195206   36.00   27.00    0.00    0.00   63.00    40  juicefs.v1.3.1
21:17:34        0    195206   42.00   30.00    0.00    0.00   72.00    40  juicefs.v1.3.1
21:17:35        0    195206   43.00   26.00    0.00    0.00   69.00    40  juicefs.v1.3.1
21:17:36        0    195206   37.00   24.00    0.00    0.00   61.00    40  juicefs.v1.3.1
21:17:37        0    195206   27.00   29.00    0.00    0.00   56.00    44  juicefs.v1.3.1
21:17:38        0    195206   36.00   24.00    0.00    0.00   60.00    44  juicefs.v1.3.1
21:17:39        0    195206   42.00   29.00    0.00    0.00   71.00    44  juicefs.v1.3.1
21:17:40        0    195206   37.00   33.00    0.00    0.00   70.00    44  juicefs.v1.3.1
21:17:41        0    195206   43.00   35.00    0.00    0.00   78.00    44  juicefs.v1.3.1
21:17:42        0    195206   40.00   32.00    0.00    0.00   72.00    44  juicefs.v1.3.1
21:17:43        0    195206   34.00   29.00    0.00    0.00   63.00    44  juicefs.v1.3.1
21:17:44        0    195206   43.00   31.00    0.00    0.00   74.00    44  juicefs.v1.3.1
21:17:45        0    195206   46.00   34.00    0.00    0.00   80.00    40  juicefs.v1.3.1
21:17:46        0    195206   41.00   31.00    0.00    0.00   72.00    40  juicefs.v1.3.1
21:17:47        0    195206   42.00   24.00    0.00    0.00   66.00    40  juicefs.v1.3.1
21:17:48        0    195206   38.00   22.00    0.00    0.00   60.00    40  juicefs.v1.3.1
21:17:49        0    195206   34.00   21.00    0.00    0.00   55.00    40  juicefs.v1.3.1
21:17:50        0    195206   37.00   33.00    0.00    0.00   70.00    40  juicefs.v1.3.1
21:17:51        0    195206   45.00   30.00    0.00    0.00   75.00    40  juicefs.v1.3.1
21:17:52        0    195206   44.00   26.00    0.00    0.00   70.00    40  juicefs.v1.3.1
21:17:53        0    195206   42.00   22.00    0.00    0.00   64.00    40  juicefs.v1.3.1
21:17:54        0    195206   30.00   27.00    0.00    0.00   57.00    40  juicefs.v1.3.1
21:17:55        0    195206   35.00   24.00    0.00    0.00   59.00    55  juicefs.v1.3.1
21:17:56        0    195206   43.00   27.00    0.00    0.00   70.00    55  juicefs.v1.3.1
21:17:57        0    195206   40.00   30.00    0.00    0.00   70.00    36  juicefs.v1.3.1
21:17:58        0    195206   37.00   30.00    0.00    0.00   67.00    36  juicefs.v1.3.1
21:17:59        0    195206   34.00   22.00    0.00    0.00   56.00    36  juicefs.v1.3.1
21:18:00        0    195206   32.00   21.00    0.00    0.00   53.00    36  juicefs.v1.3.1
21:18:01        0    195206   37.00   29.00    0.00    0.00   66.00    36  juicefs.v1.3.1
21:18:02        0    195206   44.00   25.00    0.00    0.00   69.00    36  juicefs.v1.3.1
21:18:03        0    195206   37.00   32.00    0.00    0.00   69.00    36  juicefs.v1.3.1
21:18:04        0    195206   40.00   25.00    0.00    0.00   65.00    36  juicefs.v1.3.1
21:18:05        0    195206   35.00   29.00    0.00    0.00   64.00    36  juicefs.v1.3.1
21:18:06        0    195206   32.00   24.00    0.00    0.00   56.00    34  juicefs.v1.3.1
21:18:07        0    195206   41.00   24.00    0.00    0.00   65.00    34  juicefs.v1.3.1
21:18:08        0    195206   39.00   33.00    0.00    0.00   72.00    34  juicefs.v1.3.1
21:18:09        0    195206   41.00   29.00    0.00    0.00   70.00    34  juicefs.v1.3.1
21:18:10        0    195206   39.00   25.00    0.00    0.00   64.00    34  juicefs.v1.3.1
21:18:11        0    195206   34.00   22.00    0.00    0.00   56.00    32  juicefs.v1.3.1
21:18:12        0    195206   31.00   32.00    0.00    0.00   63.00    32  juicefs.v1.3.1
21:18:13        0    195206   41.00   29.00    0.00    0.00   70.00    32  juicefs.v1.3.1
21:18:14        0    195206   35.00   37.00    0.00    0.00   72.00    32  juicefs.v1.3.1
21:18:15        0    195206   42.00   33.00    0.00    0.00   75.00    32  juicefs.v1.3.1
21:18:16        0    195206   32.00   35.00    0.00    0.00   67.00    32  juicefs.v1.3.1
21:18:17        0    195206   30.00   29.00    0.00    0.00   59.00    32  juicefs.v1.3.1
21:18:18        0    195206   42.00   26.00    0.00    0.00   68.00    32  juicefs.v1.3.1
21:18:19        0    195206   40.00   35.00    0.00    0.00   75.00    32  juicefs.v1.3.1
21:18:20        0    195206   41.00   26.00    0.00    0.00   67.00    32  juicefs.v1.3.1
21:18:21        0    195206   38.00   29.00    0.00    0.00   67.00    32  juicefs.v1.3.1
21:18:22        0    195206   42.00   13.00    0.00    0.00   55.00    28  juicefs.v1.3.1
21:18:23        0    195206   32.00   24.00    0.00    0.00   56.00    28  juicefs.v1.3.1
21:18:24        0    195206   39.00   31.00    0.00    0.00   70.00    32  juicefs.v1.3.1
21:18:25        0    195206   43.00   31.00    0.00    0.00   74.00    41  juicefs.v1.3.1
21:18:26        0    195206   38.00   29.00    0.00    0.00   67.00    43  juicefs.v1.3.1
21:18:27        0    195206   33.00   29.00    0.00    0.00   62.00     0  juicefs.v1.3.1
21:18:28        0    195206   34.00   23.00    0.00    0.00   57.00    41  juicefs.v1.3.1
21:18:29        0    195206   39.00   25.00    0.00    0.00   64.00    41  juicefs.v1.3.1
21:18:30        0    195206   42.00   29.00    0.00    0.00   71.00    41  juicefs.v1.3.1
21:18:31        0    195206   39.00   32.00    0.00    0.00   71.00    41  juicefs.v1.3.1
21:18:32        0    195206   36.00   30.00    0.00    0.00   66.00    41  juicefs.v1.3.1
21:18:33        0    195206   34.00   28.00    0.00    0.00   62.00    41  juicefs.v1.3.1
21:18:34        0    195206   30.00   27.00    0.00    0.00   57.00    41  juicefs.v1.3.1
21:18:35        0    195206   32.00   30.00    0.00    0.00   62.00    41  juicefs.v1.3.1
21:18:36        0    195206   40.00   31.00    0.00    0.00   71.00     0  juicefs.v1.3.1
21:18:37        0    195206   35.00   30.00    0.00    0.00   65.00     8  juicefs.v1.3.1
21:18:38        0    195206   39.00   30.00    0.00    0.00   69.00     8  juicefs.v1.3.1
21:18:39        0    195206   37.00   20.00    0.00    0.00   57.00     8  juicefs.v1.3.1
21:18:40        0    195206   35.00   20.00    0.00    0.00   55.00     8  juicefs.v1.3.1
21:18:41        0    195206   38.00   25.00    0.00    0.00   63.00     8  juicefs.v1.3.1
21:18:42        0    195206   40.00   32.00    0.00    0.00   72.00    42  juicefs.v1.3.1
21:18:43        0    195206   44.00   24.00    0.00    0.00   68.00    42  juicefs.v1.3.1
21:18:44        0    195206   38.00   26.00    0.00    0.00   64.00    42  juicefs.v1.3.1
21:18:45        0    195206   35.00   22.00    0.00    0.00   57.00    42  juicefs.v1.3.1
21:18:46        0    195206   34.00   25.00    0.00    0.00   59.00    42  juicefs.v1.3.1
21:18:47        0    195206   34.00   33.00    0.00    0.00   67.00     8  juicefs.v1.3.1
21:18:48        0    195206   47.00   20.00    0.00    0.00   67.00     8  juicefs.v1.3.1
21:18:49        0    195206   41.00   26.00    0.00    0.00   67.00     8  juicefs.v1.3.1
21:18:50        0    195206   41.00   20.00    0.00    0.00   61.00     8  juicefs.v1.3.1
21:18:51        0    195206   37.00   21.00    0.00    0.00   58.00     8  juicefs.v1.3.1
21:18:52        0    195206   40.00   27.00    0.00    0.00   67.00    37  juicefs.v1.3.1
21:18:53        0    195206   37.00   33.00    0.00    0.00   70.00    46  juicefs.v1.3.1
21:18:54        0    195206   42.00   25.00    0.00    0.00   67.00    10  juicefs.v1.3.1
21:18:55        0    195206   39.00   34.00    0.00    0.00   73.00    10  juicefs.v1.3.1
21:18:56        0    195206   31.00   32.00    0.00    0.00   63.00    10  juicefs.v1.3.1
21:18:57        0    195206   41.00   25.00    0.00    0.00   66.00    10  juicefs.v1.3.1
21:18:58        0    195206   41.00   35.00    0.00    0.00   76.00    10  juicefs.v1.3.1
21:18:59        0    195206   40.00   38.00    0.00    0.00   78.00    10  juicefs.v1.3.1
21:19:00        0    195206   41.00   34.00    0.00    0.00   75.00    10  juicefs.v1.3.1
21:19:01        0    195206   49.00   21.00    0.00    0.00   70.00    46  juicefs.v1.3.1
21:19:02        0    195206   34.00   22.00    0.00    0.00   56.00    46  juicefs.v1.3.1
21:19:03        0    195206   33.00   26.00    0.00    0.00   59.00    10  juicefs.v1.3.1
21:19:04        0    195206   45.00   27.00    0.00    0.00   72.00    10  juicefs.v1.3.1
21:19:05        0    195206   73.00   35.00    0.00    0.00  108.00    46  juicefs.v1.3.1
21:19:06        0    195206   42.00   25.00    0.00    0.00   67.00    46  juicefs.v1.3.1
21:19:07        0    195206   35.00   26.00    0.00    0.00   61.00    46  juicefs.v1.3.1
21:19:08        0    195206   32.00   23.00    0.00    0.00   55.00    46  juicefs.v1.3.1
21:19:09        0    195206   41.00   25.00    0.00    0.00   66.00    46  juicefs.v1.3.1
21:19:10        0    195206   43.00   27.00    0.00    0.00   70.00    46  juicefs.v1.3.1
21:19:11        0    195206   38.00   30.00    0.00    0.00   68.00    46  juicefs.v1.3.1
21:19:12        0    195206   44.00   24.00    0.00    0.00   68.00    46  juicefs.v1.3.1
21:19:13        0    195206   32.00   24.00    0.00    0.00   56.00    46  juicefs.v1.3.1
21:19:14        0    195206   36.00   21.00    0.00    0.00   57.00    10  juicefs.v1.3.1
21:19:15        0    195206   39.00   31.00    0.00    0.00   70.00    10  juicefs.v1.3.1
21:19:16        0    195206   46.00   25.00    0.00    0.00   71.00    10  juicefs.v1.3.1
21:19:17        0    195206   41.00   23.00    0.00    0.00   64.00    10  juicefs.v1.3.1
21:19:18        0    195206   44.00   21.00    0.00    0.00   65.00    10  juicefs.v1.3.1
21:19:19        0    195206   35.00   16.00    0.00    0.00   51.00    46  juicefs.v1.3.1
21:19:20        0    195206   37.00   26.00    0.00    0.00   63.00    46  juicefs.v1.3.1
21:19:21        0    195206   42.57   27.72    0.00    0.00   70.30    46  juicefs.v1.3.1
21:19:22        0    195206   43.00   26.00    0.00    0.00   69.00    46  juicefs.v1.3.1
21:19:23        0    195206   39.00   29.00    0.00    0.00   68.00    46  juicefs.v1.3.1
21:19:24        0    195206   35.00   23.00    0.00    0.00   58.00    46  juicefs.v1.3.1
21:19:25        0    195206   35.00   19.00    0.00    0.00   54.00    46  juicefs.v1.3.1
21:19:26        0    195206   38.00   29.00    0.00    0.00   67.00    46  juicefs.v1.3.1
21:19:27        0    195206   38.00   31.00    0.00    0.00   69.00    46  juicefs.v1.3.1
21:19:28        0    195206   43.00   27.00    0.00    0.00   70.00    46  juicefs.v1.3.1
21:19:29        0    195206   43.00   25.00    0.00    0.00   68.00    46  juicefs.v1.3.1
21:19:30        0    195206   37.00   25.00    0.00    0.00   62.00    46  juicefs.v1.3.1
21:19:31        0    195206   32.00   28.00    0.00    0.00   60.00    46  juicefs.v1.3.1
21:19:32        0    195206   43.00   29.00    0.00    0.00   72.00    46  juicefs.v1.3.1
21:19:33        0    195206   40.00   30.00    0.00    0.00   70.00    48  juicefs.v1.3.1
21:19:34        0    195206   43.00   26.00    0.00    0.00   69.00    19  juicefs.v1.3.1
21:19:35        0    195206   37.00   26.00    0.00    0.00   63.00    19  juicefs.v1.3.1
21:19:36        0    195206   34.00   22.00    0.00    0.00   56.00    19  juicefs.v1.3.1
21:19:37        0    195206   40.00   23.00    0.00    0.00   63.00    16  juicefs.v1.3.1
21:19:38        0    195206   36.00   23.00    0.00    0.00   59.00    16  juicefs.v1.3.1
21:19:39        0    195206   28.00   14.00    0.00    0.00   42.00    16  juicefs.v1.3.1
21:19:40        0    195206   30.00   12.00    0.00    0.00   42.00    46  juicefs.v1.3.1
21:19:41        0    195206   20.00   17.00    0.00    0.00   37.00    62  juicefs.v1.3.1
21:19:42        0    195206   22.00   14.00    0.00    0.00   36.00    62  juicefs.v1.3.1
21:19:43        0    195206   19.00   12.00    0.00    0.00   31.00    62  juicefs.v1.3.1
21:19:44        0    195206    1.00    1.00    0.00    0.00    2.00    62  juicefs.v1.3.1
21:19:45        0    195206    2.00    1.00    0.00    0.00    3.00    62  juicefs.v1.3.1
21:19:46        0    195206    1.00    0.00    0.00    0.00    1.00    62  juicefs.v1.3.1
21:19:47        0    195206    1.00    0.00    0.00    0.00    1.00    62  juicefs.v1.3.1
Average:        0    195206   37.75   26.38    0.00    0.00   64.13     -  juicefs.v1.3.1
