Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

21:47:26      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:47:27        0    195206  163.00   64.00    0.00    0.00  227.00    56  juicefs.v1.3.1
21:47:28        0    195206  117.00   85.00    0.00    0.00  202.00     5  juicefs.v1.3.1
21:47:29        0    195206  118.00  104.00    0.00    0.00  222.00    15  juicefs.v1.3.1
21:47:30        0    195206  113.00  113.00    0.00    0.00  226.00    15  juicefs.v1.3.1
21:47:31        0    195206  133.00  107.00    0.00    0.00  240.00     5  juicefs.v1.3.1
21:47:32        0    195206   91.00   88.00    0.00    0.00  179.00    56  juicefs.v1.3.1
21:47:33        0    195206   84.00   77.00    0.00    0.00  161.00     3  juicefs.v1.3.1
21:47:34        0    195206   87.00   89.00    0.00    0.00  176.00    56  juicefs.v1.3.1
21:47:35        0    195206   95.00  107.00    0.00    0.00  202.00     3  juicefs.v1.3.1
21:47:36        0    195206  109.00   95.00    0.00    0.00  204.00     3  juicefs.v1.3.1
21:47:37        0    195206   95.00   87.00    0.00    0.00  182.00    62  juicefs.v1.3.1
21:47:38        0    195206   75.00   79.00    0.00    0.00  154.00    41  juicefs.v1.3.1
21:47:39        0    195206   76.00   86.00    0.00    0.00  162.00     6  juicefs.v1.3.1
21:47:40        0    195206   91.00  101.00    0.00    0.00  192.00     6  juicefs.v1.3.1
21:47:41        0    195206   96.00   99.00    0.00    0.00  195.00    11  juicefs.v1.3.1
21:47:42        0    195206  133.00   97.00    0.00    0.00  230.00    11  juicefs.v1.3.1
21:47:43        0    195206   83.00  106.00    0.00    0.00  189.00    11  juicefs.v1.3.1
21:47:44        0    195206   78.00   78.00    0.00    0.00  156.00    13  juicefs.v1.3.1
21:47:45        0    195206   81.00   80.00    0.00    0.00  161.00    48  juicefs.v1.3.1
21:47:46        0    195206   93.00   86.00    0.00    0.00  179.00    48  juicefs.v1.3.1
21:47:47        0    195206  104.00   93.00    0.00    0.00  197.00    50  juicefs.v1.3.1
21:47:48        0    195206   99.00  102.00    0.00    0.00  201.00    52  juicefs.v1.3.1
21:47:49        0    195206   86.00   95.00    0.00    0.00  181.00    43  juicefs.v1.3.1
21:47:50        0    195206   74.00   75.00    0.00    0.00  149.00    43  juicefs.v1.3.1
21:47:51        0    195206   89.00   99.00    0.00    0.00  188.00    47  juicefs.v1.3.1
21:47:52        0    195206   96.00  103.00    0.00    0.00  199.00    16  juicefs.v1.3.1
21:47:53        0    195206   99.00   93.00    0.00    0.00  192.00    16  juicefs.v1.3.1
21:47:54        0    195206   96.00  100.00    0.00    0.00  196.00    16  juicefs.v1.3.1
21:47:55        0    195206   86.00   79.00    0.00    0.00  165.00    30  juicefs.v1.3.1
21:47:56        0    195206   60.00   84.00    0.00    0.00  144.00    30  juicefs.v1.3.1
21:47:57        0    195206   89.00   99.00    0.00    0.00  188.00    49  juicefs.v1.3.1
21:47:58        0    195206   89.00  105.00    0.00    0.00  194.00    51  juicefs.v1.3.1
21:47:59        0    195206  101.00   96.00    0.00    0.00  197.00    51  juicefs.v1.3.1
21:48:00        0    195206   95.00  110.00    0.00    0.00  205.00    12  juicefs.v1.3.1
21:48:01        0    195206   73.00   89.00    0.00    0.00  162.00    12  juicefs.v1.3.1
21:48:02        0    195206   93.00   93.00    0.00    0.00  186.00    14  juicefs.v1.3.1
21:48:03        0    195206   90.00  110.00    0.00    0.00  200.00    23  juicefs.v1.3.1
21:48:04        0    195206   91.00  106.00    0.00    0.00  197.00    23  juicefs.v1.3.1
21:48:05        0    195206   93.00  105.00    0.00    0.00  198.00    25  juicefs.v1.3.1
21:48:06        0    195206   90.00   95.00    0.00    0.00  185.00     6  juicefs.v1.3.1
21:48:07        0    195206   69.00   79.00    0.00    0.00  148.00    10  juicefs.v1.3.1
21:48:08        0    195206   77.00   84.00    0.00    0.00  161.00     8  juicefs.v1.3.1
21:48:09        0    195206   90.00  106.00    0.00    0.00  196.00    13  juicefs.v1.3.1
21:48:10        0    195206  101.00  104.00    0.00    0.00  205.00    50  juicefs.v1.3.1
21:48:11        0    195206   96.00  101.00    0.00    0.00  197.00    18  juicefs.v1.3.1
21:48:12        0    195206   78.00   98.00    0.00    0.00  176.00    18  juicefs.v1.3.1
21:48:13        0    195206   77.00   76.00    0.00    0.00  153.00    22  juicefs.v1.3.1
21:48:14        0    195206   86.00  108.00    0.00    0.00  194.00    22  juicefs.v1.3.1
21:48:15        0    195206  116.00  112.00    0.00    0.00  228.00     6  juicefs.v1.3.1
21:48:16        0    195206  113.00  112.00    0.00    0.00  225.00    43  juicefs.v1.3.1
21:48:17        0    195206  107.00  111.00    0.00    0.00  218.00    34  juicefs.v1.3.1
21:48:18        0    195206   91.00   91.00    0.00    0.00  182.00     8  juicefs.v1.3.1
21:48:19        0    195206   84.00   83.00    0.00    0.00  167.00     8  juicefs.v1.3.1
21:48:20        0    195206   90.00  112.00    0.00    0.00  202.00    27  juicefs.v1.3.1
21:48:21        0    195206  149.00  134.00    0.00    0.00  283.00    29  juicefs.v1.3.1
21:48:22        0    195206  120.00  121.00    0.00    0.00  241.00     9  juicefs.v1.3.1
21:48:23        0    195206  104.00  105.00    0.00    0.00  209.00    12  juicefs.v1.3.1
21:48:24        0    195206   77.00   91.00    0.00    0.00  168.00    62  juicefs.v1.3.1
21:48:25        0    195206   83.00   95.00    0.00    0.00  178.00    62  juicefs.v1.3.1
21:48:26        0    195206   96.00  104.00    0.00    0.00  200.00    12  juicefs.v1.3.1
21:48:27        0    195206  103.00   98.00    0.00    0.00  201.00     7  juicefs.v1.3.1
21:48:28        0    195206  100.00  104.00    0.00    0.00  204.00     4  juicefs.v1.3.1
21:48:29        0    195206   92.00   85.00    0.00    0.00  177.00     2  juicefs.v1.3.1
21:48:30        0    195206   79.00   75.00    0.00    0.00  154.00     2  juicefs.v1.3.1
21:48:31        0    195206   84.00  100.00    0.00    0.00  184.00     7  juicefs.v1.3.1
21:48:32        0    195206   98.00   98.00    0.00    0.00  196.00    40  juicefs.v1.3.1
