Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

20:57:05      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
20:57:06        0    195206   26.00   23.00    0.00    0.00   49.00    60  juicefs.v1.3.1
20:57:07        0    195206   32.00   41.00    0.00    0.00   73.00    60  juicefs.v1.3.1
20:57:08        0    195206   37.00   38.00    0.00    0.00   75.00    60  juicefs.v1.3.1
20:57:09        0    195206   35.00   40.00    0.00    0.00   75.00    60  juicefs.v1.3.1
20:57:10        0    195206   45.00   36.00    0.00    0.00   81.00    60  juicefs.v1.3.1
20:57:11        0    195206   38.00   35.00    0.00    0.00   73.00    60  juicefs.v1.3.1
20:57:12        0    195206   46.00   35.00    0.00    0.00   81.00    60  juicefs.v1.3.1
20:57:13        0    195206   35.00   41.00    0.00    0.00   76.00    60  juicefs.v1.3.1
20:57:14        0    195206   42.00   38.00    0.00    0.00   80.00    60  juicefs.v1.3.1
20:57:15        0    195206   34.00   42.00    0.00    0.00   76.00    60  juicefs.v1.3.1
20:57:16        0    195206   36.00   42.00    0.00    0.00   78.00    60  juicefs.v1.3.1
20:57:17        0    195206   29.00   45.00    0.00    0.00   74.00    60  juicefs.v1.3.1
20:57:18        0    195206   38.00   40.00    0.00    0.00   78.00    60  juicefs.v1.3.1
20:57:19        0    195206   38.00   34.00    0.00    0.00   72.00    60  juicefs.v1.3.1
20:57:20        0    195206   36.00   41.00    0.00    0.00   77.00    60  juicefs.v1.3.1
20:57:21        0    195206   41.00   37.00    0.00    0.00   78.00    60  juicefs.v1.3.1
20:57:22        0    195206   39.00   35.00    0.00    0.00   74.00    60  juicefs.v1.3.1
20:57:23        0    195206   54.00   45.00    0.00    0.00   99.00    60  juicefs.v1.3.1
20:57:24        0    195206   36.00   32.00    0.00    0.00   68.00    60  juicefs.v1.3.1
20:57:25        0    195206   38.00   40.00    0.00    0.00   78.00    60  juicefs.v1.3.1
20:57:26        0    195206   36.00   33.00    0.00    0.00   69.00    60  juicefs.v1.3.1
20:57:27        0    195206   39.00   39.00    0.00    0.00   78.00    60  juicefs.v1.3.1
20:57:28        0    195206   37.00   43.00    0.00    0.00   80.00    60  juicefs.v1.3.1
20:57:29        0    195206   38.00   40.00    0.00    0.00   78.00    60  juicefs.v1.3.1
20:57:30        0    195206   39.00   33.00    0.00    0.00   72.00    60  juicefs.v1.3.1
20:57:31        0    195206   36.00   40.00    0.00    0.00   76.00    60  juicefs.v1.3.1
20:57:32        0    195206   39.00   36.00    0.00    0.00   75.00    60  juicefs.v1.3.1
20:57:33        0    195206   32.00   42.00    0.00    0.00   74.00    60  juicefs.v1.3.1
20:57:34        0    195206   39.00   37.00    0.00    0.00   76.00    60  juicefs.v1.3.1
20:57:35        0    195206   37.00   34.00    0.00    0.00   71.00    60  juicefs.v1.3.1
20:57:36        0    195206   31.00   41.00    0.00    0.00   72.00    60  juicefs.v1.3.1
20:57:37        0    195206   41.00   34.00    0.00    0.00   75.00    60  juicefs.v1.3.1
20:57:38        0    195206   35.00   41.00    0.00    0.00   76.00    60  juicefs.v1.3.1
20:57:39        0    195206   37.00   37.00    0.00    0.00   74.00    60  juicefs.v1.3.1
20:57:40        0    195206   39.00   41.00    0.00    0.00   80.00    60  juicefs.v1.3.1
20:57:41        0    195206   37.00   37.00    0.00    0.00   74.00    60  juicefs.v1.3.1
20:57:42        0    195206   43.00   35.00    0.00    0.00   78.00    60  juicefs.v1.3.1
20:57:43        0    195206   33.00   39.00    0.00    0.00   72.00    60  juicefs.v1.3.1
20:57:44        0    195206   43.00   35.00    0.00    0.00   78.00    60  juicefs.v1.3.1
20:57:45        0    195206   39.00   34.00    0.00    0.00   73.00    60  juicefs.v1.3.1
20:57:46        0    195206   37.00   38.00    0.00    0.00   75.00    60  juicefs.v1.3.1
20:57:47        0    195206   36.00   33.00    0.00    0.00   69.00    60  juicefs.v1.3.1
20:57:48        0    195206   33.00   42.00    0.00    0.00   75.00    60  juicefs.v1.3.1
20:57:49        0    195206   39.00   38.00    0.00    0.00   77.00    60  juicefs.v1.3.1
20:57:50        0    195206   34.00   36.00    0.00    0.00   70.00    60  juicefs.v1.3.1
20:57:51        0    195206   40.00   36.00    0.00    0.00   76.00    60  juicefs.v1.3.1
20:57:52        0    195206   36.00   35.00    0.00    0.00   71.00    60  juicefs.v1.3.1
20:57:53        0    195206   38.00   41.00    0.00    0.00   79.00    60  juicefs.v1.3.1
20:57:54        0    195206   39.00   34.00    0.00    0.00   73.00    60  juicefs.v1.3.1
20:57:55        0    195206   40.00   42.00    0.00    0.00   82.00    60  juicefs.v1.3.1
20:57:56        0    195206   39.00   34.00    0.00    0.00   73.00    60  juicefs.v1.3.1
