Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

21:00:16      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:00:17        0    195206   60.00   38.00    0.00    0.00   98.00    52  juicefs.v1.3.1
21:00:18        0    195206   55.00   48.00    0.00    0.00  103.00    60  juicefs.v1.3.1
21:00:19        0    195206   37.00   21.00    0.00    0.00   58.00    60  juicefs.v1.3.1
21:00:20        0    195206   32.00   21.00    0.00    0.00   53.00    60  juicefs.v1.3.1
21:00:21        0    195206   33.00   25.00    0.00    0.00   58.00    61  juicefs.v1.3.1
21:00:22        0    195206   31.00   23.00    0.00    0.00   54.00    16  juicefs.v1.3.1
21:00:23        0    195206   30.00   25.00    0.00    0.00   55.00    16  juicefs.v1.3.1
21:00:24        0    195206   30.00   22.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:25        0    195206   26.00   27.00    0.00    0.00   53.00    16  juicefs.v1.3.1
21:00:26        0    195206   32.00   20.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:27        0    195206   32.00   24.00    0.00    0.00   56.00    14  juicefs.v1.3.1
21:00:28        0    195206   37.00   21.00    0.00    0.00   58.00    14  juicefs.v1.3.1
21:00:29        0    195206   32.00   20.00    0.00    0.00   52.00    28  juicefs.v1.3.1
21:00:30        0    195206   28.00   22.00    0.00    0.00   50.00    28  juicefs.v1.3.1
21:00:31        0    195206   30.00   26.00    0.00    0.00   56.00    28  juicefs.v1.3.1
21:00:32        0    195206   27.00   26.00    0.00    0.00   53.00    28  juicefs.v1.3.1
21:00:33        0    195206   28.00   24.00    0.00    0.00   52.00    28  juicefs.v1.3.1
21:00:34        0    195206   37.00   20.00    0.00    0.00   57.00    28  juicefs.v1.3.1
21:00:35        0    195206   28.00   22.00    0.00    0.00   50.00    16  juicefs.v1.3.1
21:00:36        0    195206   46.00   22.00    0.00    0.00   68.00    16  juicefs.v1.3.1
21:00:37        0    195206   32.00   21.00    0.00    0.00   53.00    16  juicefs.v1.3.1
21:00:38        0    195206   28.00   27.00    0.00    0.00   55.00    16  juicefs.v1.3.1
21:00:39        0    195206   31.00   21.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:40        0    195206   31.00   21.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:41        0    195206   28.00   22.00    0.00    0.00   50.00    16  juicefs.v1.3.1
21:00:42        0    195206   29.00   25.00    0.00    0.00   54.00    16  juicefs.v1.3.1
21:00:43        0    195206   29.00   23.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:44        0    195206   33.00   21.00    0.00    0.00   54.00    16  juicefs.v1.3.1
21:00:45        0    195206   31.00   23.00    0.00    0.00   54.00    16  juicefs.v1.3.1
21:00:46        0    195206   28.00   20.00    0.00    0.00   48.00    16  juicefs.v1.3.1
21:00:47        0    195206   28.00   21.00    0.00    0.00   49.00    16  juicefs.v1.3.1
21:00:48        0    195206   30.00   22.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:49        0    195206   25.00   28.00    0.00    0.00   53.00    16  juicefs.v1.3.1
21:00:50        0    195206   31.00   21.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:51        0    195206   28.00   20.00    0.00    0.00   48.00    16  juicefs.v1.3.1
21:00:52        0    195206   25.00   23.00    0.00    0.00   48.00    16  juicefs.v1.3.1
21:00:53        0    195206   33.00   19.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:54        0    195206   27.00   26.00    0.00    0.00   53.00    16  juicefs.v1.3.1
21:00:55        0    195206   28.00   26.00    0.00    0.00   54.00    16  juicefs.v1.3.1
21:00:56        0    195206   26.00   26.00    0.00    0.00   52.00    16  juicefs.v1.3.1
21:00:57        0    195206   29.00   18.00    0.00    0.00   47.00    16  juicefs.v1.3.1
21:00:58        0    195206   25.00   28.00    0.00    0.00   53.00    16  juicefs.v1.3.1
21:00:59        0    195206   34.00   25.00    0.00    0.00   59.00    28  juicefs.v1.3.1
21:01:00        0    195206   34.00   18.00    0.00    0.00   52.00    28  juicefs.v1.3.1
21:01:01        0    195206   23.00   27.00    0.00    0.00   50.00    28  juicefs.v1.3.1
21:01:02        0    195206   35.00   23.00    0.00    0.00   58.00    28  juicefs.v1.3.1
21:01:03        0    195206   30.00   20.00    0.00    0.00   50.00    28  juicefs.v1.3.1
21:01:04        0    195206   31.00   20.00    0.00    0.00   51.00    30  juicefs.v1.3.1
21:01:05        0    195206   32.00   23.00    0.00    0.00   55.00    30  juicefs.v1.3.1
21:01:06        0    195206   30.00   23.00    0.00    0.00   53.00    30  juicefs.v1.3.1
21:01:07        0    195206   30.00   23.00    0.00    0.00   53.00    30  juicefs.v1.3.1
21:01:08        0    195206   32.00   20.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:01:09        0    195206   31.00   18.00    0.00    0.00   49.00    32  juicefs.v1.3.1
21:01:10        0    195206   34.00   21.00    0.00    0.00   55.00    32  juicefs.v1.3.1
21:01:11        0    195206   32.00   22.00    0.00    0.00   54.00    32  juicefs.v1.3.1
21:01:12        0    195206   28.00   24.00    0.00    0.00   52.00    32  juicefs.v1.3.1
21:01:13        0    195206   30.00   23.00    0.00    0.00   53.00    32  juicefs.v1.3.1
21:01:14        0    195206   30.00   18.00    0.00    0.00   48.00    32  juicefs.v1.3.1
21:01:15        0    195206   23.00   26.00    0.00    0.00   49.00    32  juicefs.v1.3.1
21:01:16        0    195206   34.00   22.00    0.00    0.00   56.00    32  juicefs.v1.3.1
21:01:17        0    195206   31.00   20.00    0.00    0.00   51.00    32  juicefs.v1.3.1
21:01:18        0    195206   31.00   20.00    0.00    0.00   51.00    32  juicefs.v1.3.1
21:01:19        0    195206   33.00   20.00    0.00    0.00   53.00    32  juicefs.v1.3.1
21:01:20        0    195206   28.00   19.00    0.00    0.00   47.00    32  juicefs.v1.3.1
21:01:21        0    195206   34.00   18.00    0.00    0.00   52.00    32  juicefs.v1.3.1
21:01:22        0    195206   34.00   23.00    0.00    0.00   57.00    32  juicefs.v1.3.1
21:01:23        0    195206   24.00   27.00    0.00    0.00   51.00    32  juicefs.v1.3.1
21:01:24        0    195206   32.00   18.00    0.00    0.00   50.00    32  juicefs.v1.3.1
21:01:25        0    195206   27.00   23.00    0.00    0.00   50.00    32  juicefs.v1.3.1
21:01:26        0    195206   25.00   23.00    0.00    0.00   48.00    32  juicefs.v1.3.1
21:01:27        0    195206   31.00   23.00    0.00    0.00   54.00    32  juicefs.v1.3.1
21:01:28        0    195206   27.00   23.00    0.00    0.00   50.00    30  juicefs.v1.3.1
21:01:29        0    195206   30.00   23.00    0.00    0.00   53.00    30  juicefs.v1.3.1
21:01:30        0    195206   29.00   23.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:01:31        0    195206   30.00   18.00    0.00    0.00   48.00    36  juicefs.v1.3.1
21:01:32        0    195206   28.00   19.00    0.00    0.00   47.00    30  juicefs.v1.3.1
21:01:33        0    195206   28.00   31.00    0.00    0.00   59.00    30  juicefs.v1.3.1
21:01:34        0    195206   25.00   25.00    0.00    0.00   50.00    30  juicefs.v1.3.1
21:01:35        0    195206   31.00   23.00    0.00    0.00   54.00    30  juicefs.v1.3.1
21:01:36        0    195206   35.00   16.00    0.00    0.00   51.00    30  juicefs.v1.3.1
21:01:37        0    195206   33.00   15.00    0.00    0.00   48.00    30  juicefs.v1.3.1
21:01:38        0    195206   33.00   18.00    0.00    0.00   51.00    30  juicefs.v1.3.1
21:01:39        0    195206   33.00   23.00    0.00    0.00   56.00    30  juicefs.v1.3.1
21:01:40        0    195206   31.00   18.00    0.00    0.00   49.00    30  juicefs.v1.3.1
21:01:41        0    195206   31.00   21.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:01:42        0    195206   31.00   19.00    0.00    0.00   50.00    30  juicefs.v1.3.1
21:01:43        0    195206   27.00   20.00    0.00    0.00   47.00    30  juicefs.v1.3.1
21:01:44        0    195206   34.00   24.00    0.00    0.00   58.00    30  juicefs.v1.3.1
21:01:45        0    195206   30.00   22.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:01:46        0    195206   27.00   23.00    0.00    0.00   50.00    30  juicefs.v1.3.1
21:01:47        0    195206   31.00   21.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:01:48        0    195206   26.00   23.00    0.00    0.00   49.00    30  juicefs.v1.3.1
21:01:49        0    195206   29.00   20.00    0.00    0.00   49.00    30  juicefs.v1.3.1
21:01:50        0    195206   36.00   22.00    0.00    0.00   58.00    30  juicefs.v1.3.1
21:01:51        0    195206   33.00   20.00    0.00    0.00   53.00    30  juicefs.v1.3.1
21:01:52        0    195206   31.00   20.00    0.00    0.00   51.00    36  juicefs.v1.3.1
21:01:53        0    195206   31.00   19.00    0.00    0.00   50.00    36  juicefs.v1.3.1
21:01:54        0    195206   26.00   24.00    0.00    0.00   50.00    36  juicefs.v1.3.1
21:01:55        0    195206   32.00   25.00    0.00    0.00   57.00    36  juicefs.v1.3.1
21:01:56        0    195206   33.00   24.00    0.00    0.00   57.00    36  juicefs.v1.3.1
21:01:57        0    195206   32.00   19.00    0.00    0.00   51.00    36  juicefs.v1.3.1
21:01:58        0    195206   32.00   24.00    0.00    0.00   56.00    36  juicefs.v1.3.1
21:01:59        0    195206   29.00   25.00    0.00    0.00   54.00    36  juicefs.v1.3.1
21:02:00        0    195206   31.00   18.00    0.00    0.00   49.00    36  juicefs.v1.3.1
21:02:01        0    195206   32.00   25.00    0.00    0.00   57.00    36  juicefs.v1.3.1
21:02:02        0    195206   35.00   19.00    0.00    0.00   54.00    36  juicefs.v1.3.1
21:02:03        0    195206   32.00   21.00    0.00    0.00   53.00    36  juicefs.v1.3.1
21:02:04        0    195206   25.00   18.00    0.00    0.00   43.00    36  juicefs.v1.3.1
21:02:05        0    195206   34.00   23.00    0.00    0.00   57.00    30  juicefs.v1.3.1
21:02:06        0    195206   29.00   22.00    0.00    0.00   51.00    30  juicefs.v1.3.1
21:02:07        0    195206   29.00   30.00    0.00    0.00   59.00    30  juicefs.v1.3.1
21:02:08        0    195206   30.00   22.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:02:09        0    195206   29.00   26.00    0.00    0.00   55.00    30  juicefs.v1.3.1
21:02:10        0    195206   36.00   21.00    0.00    0.00   57.00    40  juicefs.v1.3.1
21:02:11        0    195206   27.00   21.00    0.00    0.00   48.00    40  juicefs.v1.3.1
21:02:12        0    195206   30.00   26.00    0.00    0.00   56.00    40  juicefs.v1.3.1
21:02:13        0    195206   33.00   23.00    0.00    0.00   56.00    40  juicefs.v1.3.1
21:02:14        0    195206   30.00   19.00    0.00    0.00   49.00    32  juicefs.v1.3.1
21:02:15        0    195206   34.00   23.00    0.00    0.00   57.00    34  juicefs.v1.3.1
21:02:16        0    195206   29.00   20.00    0.00    0.00   49.00    34  juicefs.v1.3.1
21:02:17        0    195206   31.00   18.00    0.00    0.00   49.00    34  juicefs.v1.3.1
21:02:18        0    195206   37.00   24.00    0.00    0.00   61.00    34  juicefs.v1.3.1
21:02:19        0    195206   29.00   21.00    0.00    0.00   50.00    34  juicefs.v1.3.1
21:02:20        0    195206   27.00   25.00    0.00    0.00   52.00    34  juicefs.v1.3.1
21:02:21        0    195206   32.00   24.00    0.00    0.00   56.00    34  juicefs.v1.3.1
21:02:22        0    195206   27.00   23.00    0.00    0.00   50.00    34  juicefs.v1.3.1
21:02:23        0    195206   29.00   33.00    0.00    0.00   62.00    34  juicefs.v1.3.1
21:02:24        0    195206   37.00   28.00    0.00    0.00   65.00    34  juicefs.v1.3.1
21:02:25        0    195206   33.00   22.00    0.00    0.00   55.00    34  juicefs.v1.3.1
21:02:26        0    195206   30.00   24.00    0.00    0.00   54.00    34  juicefs.v1.3.1
21:02:27        0    195206   30.00   22.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:02:28        0    195206   23.00   25.00    0.00    0.00   48.00    30  juicefs.v1.3.1
21:02:29        0    195206   32.00   23.00    0.00    0.00   55.00    30  juicefs.v1.3.1
21:02:30        0    195206   31.00   27.00    0.00    0.00   58.00    30  juicefs.v1.3.1
21:02:31        0    195206   30.00   21.00    0.00    0.00   51.00    30  juicefs.v1.3.1
21:02:32        0    195206   31.00   24.00    0.00    0.00   55.00    34  juicefs.v1.3.1
21:02:33        0    195206   29.00   23.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:02:34        0    195206   22.00   26.00    0.00    0.00   48.00    30  juicefs.v1.3.1
21:02:35        0    195206   30.00   25.00    0.00    0.00   55.00    30  juicefs.v1.3.1
21:02:36        0    195206   47.00   23.00    0.00    0.00   70.00    30  juicefs.v1.3.1
21:02:37        0    195206   25.00   25.00    0.00    0.00   50.00    30  juicefs.v1.3.1
21:02:38        0    195206   30.69   25.74    0.00    0.00   56.44    30  juicefs.v1.3.1
21:02:39        0    195206   27.00   25.00    0.00    0.00   52.00    30  juicefs.v1.3.1
21:02:40        0    195206   32.00   19.00    0.00    0.00   51.00     0  juicefs.v1.3.1
21:02:41        0    195206   30.00   22.00    0.00    0.00   52.00    32  juicefs.v1.3.1
21:02:42        0    195206   25.00   25.00    0.00    0.00   50.00    32  juicefs.v1.3.1
21:02:43        0    195206   33.00   24.00    0.00    0.00   57.00    32  juicefs.v1.3.1
21:02:44        0    195206   29.00   24.00    0.00    0.00   53.00    32  juicefs.v1.3.1
21:02:45        0    195206   24.00   25.00    0.00    0.00   49.00    32  juicefs.v1.3.1
21:02:46        0    195206   28.00   22.00    0.00    0.00   50.00    32  juicefs.v1.3.1
21:02:47        0    195206   29.00   28.00    0.00    0.00   57.00    32  juicefs.v1.3.1
