------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1271M 2688K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 212% 1310M  361M|3251  2.00     0   359M| 361  1.26 |   0     0 |   0    11M
 126% 1314M  599M|2802  39.6     0   348M|   1  1.00 |   0     0 |   0   112M
56.9% 1314M  600M| 888   148     0   109M|   2  1.25 |   0     0 |   0   109M
72.1% 1315M  599M| 925   123     0   113M|   2  1.18 |   0     0 |   0   114M
73.1% 1316M  600M| 903   143     0   111M|   1  1.26 |   0     0 |   0   111M
71.9% 1318M  599M| 972   139     0   119M|   2  0.93 |   0     0 |   0   112M
92.7% 1327M  600M| 799   146     0    98M|   1  1.15 |   0     0 |   0   112M
60.2% 1327M  597M| 892   144     0   109M|   2  0.89 |   0     0 |   0   112M
60.9% 1328M  599M| 938   153     0   115M|   3  1.31 |   0     0 |   0   112M
69.8% 1328M  599M| 878   103     0   108M|   1  1.35 |   0     0 |   0   110M
85.6% 1329M  598M| 941   167     0   115M|  48  4.09 |   0     0 |   0   112M
88.1% 1330M  600M| 908   143     0   111M|  83  3.64 |   0     0 |   0   112M
65.7% 1331M  597M| 900   140     0   110M|   2  0.98 |   0     0 |   0   112M
60.4% 1331M  599M| 920   131     0   113M|   2  1.07 |   0     0 |   0   112M
69.5% 1331M  596M| 887   146     0   109M|   1  1.28 |   0     0 |   0   112M
89.3% 1331M  600M| 956   142     0   117M|  57  3.37 |   0     0 |   0   111M
82.5% 1332M  594M| 830   146     0   102M|  49  3.36 |   0     0 |   0   111M
76.6% 1332M  598M| 922   142     0   113M|  27  3.19 |   0     0 |   0   111M
66.8% 1332M  600M| 947   140     0   116M|   3  1.18 |   0     0 |   0   111M
57.9% 1332M  597M| 866   132     0   106M|   1  0.96 |   0     0 |   0   111M
77.5% 1333M  599M| 937   152     0   115M|  23  3.46 |   0     0 |   0   112M
93.4% 1333M  595M| 902   126     0   111M|  84  3.27 |   0     0 |   0   111M
79.5% 1333M  598M| 916   150     0   112M|  26  3.06 |   0     0 |   0   112M
70.0% 1333M  600M| 925   115     0   113M|   2  0.92 |   0     0 |   0   113M
61.4% 1333M  597M| 885   143     0   109M|   1  0.97 |   0     0 |   0   111M
64.4% 1333M  598M| 920   156     0   113M|  15  3.01 |   0     0 |   0   112M
94.8% 1333M  600M| 975   144     0   120M|  76  3.30 |   0     0 |   0   111M
80.7% 1333M  597M| 823   137     0   101M|  42  3.21 |   0     0 |   0   112M
67.9% 1333M  599M| 945   140     0   116M|   2  0.96 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
65.2% 1333M  600M| 901   134     0   111M|   4  2.40 |   0     0 |   0   112M
61.3% 1334M  597M| 896   146     0   110M|  10  2.76 |   0     0 |   0   112M
87.9% 1334M  600M| 990   135     0   122M|  69  3.24 |   0     0 |   0   111M
83.8% 1334M  596M| 805   155     0    98M|  52  3.39 |   0     0 |   0   112M
71.9% 1334M  599M| 945   143     0   116M|   2  1.00 |   0     0 |   0   112M
66.5% 1334M  597M| 895   133     0   110M|   3  3.06 |   0     0 |   0   111M
69.1% 1334M  599M| 938   131     0   115M|   2  0.84 |   0     0 |   0   112M
78.8% 1335M  600M| 945   143     0   116M|  72  2.90 |   0     0 |   0   111M
86.0% 1335M  597M| 869   150     0   106M|  56  3.35 |   0     0 |   0   111M
69.1% 1335M  600M| 908   136     0   111M|   3  2.04 |   0     0 |   0   111M
70.7% 1335M  595M| 876   138     0   108M|   4  2.96 |   0     0 |   0   112M
67.1% 1335M  597M| 931   149     0   114M|   6  2.86 |   0     0 |   0   111M
69.4% 1335M  600M| 986   141     0   121M|  44  2.86 |   0     0 |   0   112M
81.8% 1335M  598M| 850   129     0   104M|  73  3.02 |   0     0 |   0   112M
75.4% 1335M  600M| 900   142     0   110M|  11  3.35 |   0     0 |   0   111M
72.0% 1335M  596M| 884   150     0   108M|   2  2.78 |   0     0 |   0   112M
71.9% 1335M  599M| 939   129     0   115M|   2  0.90 |   0     0 |   0   112M
70.9% 1335M  600M| 938   132     0   115M|  38  2.96 |   0     0 |   0   111M
71.7% 1335M  595M| 879   154     0   108M|  76  2.59 |   0     0 |   0   111M
70.8% 1335M  600M| 904   144     0   111M|  17  3.02 |   0     0 |   0   112M
71.5% 1335M  597M| 879   135     0   108M|   4  3.07 |   0     0 |   0   111M
69.8% 1335M  599M| 916   149     0   112M|   5  3.00 |   0     0 |   0   111M
72.7% 1335M  600M| 938   134     0   115M|  31  2.97 |   0     0 |   0   111M
70.2% 1335M  597M| 886   146     0   109M|  66  2.71 |   0     0 |   0   112M
66.6% 1335M  599M| 896   144     0   110M|  31  2.71 |   0     0 |   0   112M
68.5% 1335M  597M| 884   135     0   108M|   6  3.37 |   0     0 |   0   111M
65.9% 1335M  596M| 915   126     0   112M|   2  0.90 |   0     0 |   0   111M
64.7% 1335M  600M| 944   169     0   116M|  19  3.77 |   0     0 |   0   111M
73.6% 1335M  596M| 909   111     0   111M|  63  2.97 |   0     0 |   0   112M
64.2% 1335M  597M| 869   154     0   106M|  43  3.20 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
69.5% 1335M  600M| 933   145     0   115M|   7  3.59 |   0     0 |   0   111M
74.3% 1335M  596M| 873   130     0   107M|   4  3.13 |   0     0 |   0   112M
75.5% 1335M  599M| 938   156     0   115M|  20  4.05 |   0     0 |   0   111M
83.5% 1335M  600M| 968   116     0   119M|  58  3.69 |   0     0 |   0   111M
75.6% 1335M  597M| 864   154     0   106M|  54  3.24 |   0     0 |   0   113M
64.2% 1335M  598M| 883   149     0   108M|   4  2.96 |   0     0 |   0   111M
79.0% 1335M  600M| 948   139     0   116M|  12  3.43 |   0     0 |   0   112M
78.9% 1336M  595M| 870   142     0   107M|  13  3.95 |   0     0 |   0   112M
88.0% 1336M  599M| 975   142     0   120M|  56  3.29 |   0     0 |   0   112M
78.9% 1336M  594M| 856   137     0   105M|  58  3.12 |   0     0 |   0   111M
62.9% 1336M  599M| 915   133     0   112M|  12  3.18 |   0     0 |   0   111M
62.9% 1336M  600M| 900   148     0   110M|   9  3.03 |   0     0 |   0   113M
79.6% 1336M  597M| 921   138     0   113M|  15  3.87 |   0     0 |   0   111M
81.5% 1336M  600M| 933   143     0   114M|  31  3.54 |   0     0 |   0   111M
85.4% 1336M  596M| 900   138     0   110M|  58  3.25 |   0     0 |   0   112M
70.1% 1336M  599M| 894   138     0   110M|  28  3.38 |   0     0 |   0   111M
58.9% 1336M  594M| 875   146     0   107M|  13  2.90 |   0     0 |   0   111M
77.3% 1336M  598M| 941   136     0   116M|  23  3.54 |   0     0 |   0   112M
