------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  464M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 243%  394M   45M| 716  30.0    24M    0 | 693  1.14 |   0     0 |  29M 2560K
 238%  398M   45M| 864   145    96M    0 | 420  1.13 |   0     0 | 112M   16M
 217%  399M   45M| 859   148    94M    0 | 356  1.17 |   0     0 | 112M   17M
 211%  410M   44M| 909   133    99M    0 | 335  1.13 |   0     0 | 112M   14M
 201%  419M   46M| 902   144    97M    0 | 285  1.07 |   0     0 | 112M   13M
 173%  426M   43M| 895   148    97M    0 | 244  0.95 |   0     0 | 110M   15M
 175%  430M   44M| 893   142    97M    0 | 223  0.85 |   0     0 | 109M   12M
 202%  431M   45M| 887   145    95M    0 | 227  1.03 |   0     0 | 112M   15M
 208%  431M   44M| 900   142    98M    0 | 195  1.04 |   0     0 | 112M   14M
 199%  432M   43M| 885   135    97M    0 | 160  1.01 |   0     0 | 112M   15M
 201%  432M   45M| 895   139    98M    0 | 152  0.95 |   0     0 | 111M   12M
 162%  432M   45M| 853   148    94M    0 | 121  0.75 |   0     0 | 108M   15M
 167%  433M   44M| 923   143   100M    0 | 149  0.78 |   0     0 | 111M   12M
 188%  434M   44M| 874   149    95M    0 | 123  0.87 |   0     0 | 112M   16M
 201%  434M   44M| 902   144    99M    0 | 122  0.90 |   0     0 | 112M   13M
 188%  435M   45M| 895   138    97M    0 | 127  0.91 |   0     0 | 112M   14M
 174%  436M   44M| 909   146    98M    0 | 128  0.81 |   0     0 | 111M   13M
 164%  439M   44M| 875   145    95M    0 | 113  0.74 |   0     0 | 108M   13M
 159%  439M   44M| 915   137   100M    0 | 107  0.77 |   0     0 | 112M   12M
 189%  439M   44M| 891   142    98M    0 | 104  0.88 |   0     0 | 112M   14M
 188%  439M   44M| 919   143   100M    0 | 113  0.85 |   0     0 | 112M   11M
 193%  439M   45M| 912   137   100M    0 |  98  0.87 |   0     0 | 112M   10M
 160%  439M   44M| 899   143    98M    0 | 104  0.71 |   0     0 | 110M   13M
 139%  439M   43M| 895   145    97M    0 | 107  0.67 |   0     0 | 109M   12M
 174%  439M   44M| 908   136   100M    0 |  96  0.82 |   0     0 | 112M   11M
 193%  439M   43M| 914   143   100M    0 |  98  0.83 |   0     0 | 112M   12M
 192%  439M   44M| 897   137   100M    0 |  88  0.88 |   0     0 | 112M   12M
 182%  439M   44M| 898   141    98M    0 |  97  0.81 |   0     0 | 112M   13M
 155%  439M   44M| 887   150    96M    0 | 108  0.67 |   0     0 | 110M   14M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 146%  439M   44M| 872   151    94M    0 | 107  0.69 |   0     0 | 110M   15M
 176%  439M   46M| 898   139    98M    0 | 100  0.80 |   0     0 | 112M   13M
 189%  439M   46M| 874   150    95M    0 |  97  0.83 |   0     0 | 112M   16M
 193%  439M   45M| 899   139    98M    0 | 103  0.84 |   0     0 | 112M   15M
 177%  439M   45M| 890   145    96M    0 | 107  0.77 |   0     0 | 111M   15M
 152%  439M   45M| 864   154    93M    0 | 107  0.70 |   0     0 | 108M   15M
 164%  439M   44M| 895   142    97M    0 | 107  0.74 |   0     0 | 112M   16M
 186%  439M   45M| 899   139    98M    0 |  98  0.83 |   0     0 | 112M   12M
 198%  439M   44M| 913   144    98M    0 | 112  0.84 |   0     0 | 112M   14M
 198%  439M   44M| 923   136   100M    0 | 108  0.85 |   0     0 | 112M   12M
 179%  439M   45M| 898   143    97M    0 | 109  0.73 |   0     0 | 110M   13M
 153%  439M   44M| 899   145    97M    0 | 107  0.67 |   0     0 | 109M   13M
 198%  441M   44M| 910   138    99M    0 | 102  0.81 |   0     0 | 112M   12M
 238%  442M   43M| 937   137   101M    0 | 112  0.80 |   0     0 | 112M   11M
 199%  442M   43M| 931   137   102M    0 | 101  0.78 |   0     0 | 112M   10M
 194%  442M   43M| 940   134   102M    0 | 106  0.81 |   0     0 | 112M 9216K
 172%  442M   44M| 896   140    98M    0 |  98  0.65 |   0     0 | 110M   12M
 158%  442M   43M| 915   142   101M    0 |  96  0.61 |   0     0 | 109M 8704K
