------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  413M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
25.0%  418M   13M| 328  1.04     0     9M| 236  1.39 |   0     0 |   0     0 
 344%  959M  599M|5760  18.0     0   695M| 204  1.07 |   0     0 |   0   112M
 178% 1035M  596M| 897   138     0   110M| 747  12.1 |   0     0 |   0   111M
 149% 1062M  598M| 917   142     0   112M| 426  2.61 |   0     0 |   0   111M
 239% 1095M  599M| 898   135     0   110M| 435  2.96 |   0     0 |   0   112M
 179% 1097M  597M| 898   154     0   110M| 441  3.20 |   0     0 |   0   111M
 196% 1099M  596M| 905   134     0   111M| 556  3.37 |   0     0 |   0   112M
 187% 1104M  600M| 948   135     0   116M| 491  2.92 |   0     0 |   0   112M
 144% 1129M  592M| 844   132     0   103M| 455  2.41 |   0     0 |   0   112M
 165% 1157M  598M| 973   152     0   119M| 450  2.73 |   0     0 |   0   112M
 186% 1186M  593M| 871   133     0   107M| 448  3.12 |   0     0 |   0   113M
 187% 1214M  597M| 945   148     0   116M| 453  3.11 |   0     0 |   0   112M
 186% 1241M  595M| 884   125     0   108M| 453  3.18 |   0     0 |   0   111M
 171% 1272M  599M| 935   147     0   115M| 449  2.79 |   0     0 |   0   112M
 146% 1300M  598M| 920   147     0   113M| 452  2.36 |   0     0 |   0   112M
 177% 1325M  600M| 915   143     0   112M| 451  2.88 |   0     0 |   0   113M
 182% 1351M  594M| 880   137     0   108M| 443  3.09 |   0     0 |   0   112M
 189% 1381M  600M| 956   141     0   117M| 447  3.10 |   0     0 |   0   112M
 182% 1412M  595M| 874   137     0   107M| 449  3.08 |   0     0 |   0   112M
 152% 1440M  594M| 898   143     0   110M| 453  2.44 |   0     0 |   0   111M
 157% 1470M  596M| 921   136     0   113M| 453  2.57 |   0     0 |   0   112M
 184% 1499M  600M| 927   145     0   114M| 448  3.08 |   0     0 |   0   111M
 184% 1528M  594M| 877   141     0   107M| 445  3.13 |   0     0 |   0   111M
 185% 1557M  600M| 938   134     0   115M| 446  3.13 |   0     0 |   0   111M
 172% 1588M  597M| 894   145     0   110M| 442  2.89 |   0     0 |   0   111M
 142% 1617M  600M| 931   136     0   114M| 449  2.35 |   0     0 |   0   112M
 164% 1647M  598M| 882   153     0   108M| 445  2.72 |   0     0 |   0   111M
 180% 1676M  596M| 903   130     0   111M| 447  3.07 |   0     0 |   0   112M
 263% 1704M  598M| 918   142     0   113M| 447  3.26 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 181% 1705M  595M| 899   140     0   110M| 446  3.05 |   0     0 |   0   112M
 163% 1706M  599M| 916   129     0   112M| 454  2.65 |   0     0 |   0   112M
 146% 1706M  597M| 904   151     0   111M| 450  2.43 |   0     0 |   0   111M
 167% 1706M  599M| 917   146     0   113M| 442  2.79 |   0     0 |   0   111M
 175% 1706M  595M| 880   145     0   108M| 448  3.03 |   0     0 |   0   111M
 173% 1706M  600M| 959   138     0   118M| 454  2.91 |   0     0 |   0   113M
 172% 1706M  595M| 868   140     0   106M| 451  2.96 |   0     0 |   0   111M
 143% 1706M  600M| 925   139     0   113M| 441  2.40 |   0     0 |   0   111M
 141% 1707M  597M| 890   138     0   109M| 451  2.45 |   0     0 |   0   112M
 171% 1707M  590M| 882   147     0   108M| 451  2.91 |   0     0 |   0   112M
 181% 1707M  597M| 955   132     0   117M| 446  3.15 |   0     0 |   0   111M
 183% 1707M  590M| 851   145     0   104M| 447  3.12 |   0     0 |   0   112M
 172% 1708M  600M| 995   143     0   122M| 446  2.88 |   0     0 |   0   111M
 140% 1708M  597M| 876   135     0   107M| 452  2.32 |   0     0 |   0   111M
 168% 1708M  599M| 921   137     0   113M| 443  2.80 |   0     0 |   0   111M
 173% 1708M  598M| 919   146     0   113M| 446  2.95 |   0     0 |   0   112M
 177% 1708M  597M| 888   141     0   109M| 454  3.02 |   0     0 |   0   112M
 177% 1709M  600M| 946   128     0   116M| 440  3.05 |   0     0 |   0   111M
 160% 1709M  596M| 860   160     0   105M| 448  2.70 |   0     0 |   0   112M
 146% 1709M  600M| 947   145     0   116M| 451  2.38 |   0     0 |   0   111M
 156% 1709M  598M| 875   140     0   107M| 455  2.67 |   0     0 |   0   112M
 175% 1710M  591M| 880   135     0   108M| 452  3.01 |   0     0 |   0   112M
 294% 1711M  596M| 936   133     0   115M| 438  3.31 |   0     0 |   0   111M
 180% 1711M  593M| 891   153     0   109M| 457  3.18 |   0     0 |   0   111M
 149% 1711M  598M| 948   131     0   116M| 438  2.58 |   0     0 |   0   111M
 149% 1711M  600M| 924   145     0   113M| 462  2.48 |   0     0 |   0   112M
 171% 1711M  594M| 856   148     0   105M| 439  3.11 |   0     0 |   0   111M
 180% 1711M  598M| 952   141     0   117M| 452  3.12 |   0     0 |   0   111M
 180% 1711M  597M| 883   129     0   108M| 444  3.18 |   0     0 |   0   112M
 170% 1711M  600M| 936   151     0   115M| 442  2.92 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 142% 1711M  597M| 881   125     0   108M| 452  2.37 |   0     0 |   0   112M
 149% 1711M  600M| 935   153     0   115M| 448  2.58 |   0     0 |   0   112M
 149% 1711M  515M| 214   146     0    25M| 454  3.05 |   0     0 |   0   111M
 141% 1711M  412M|  13  0.37     0     0 | 442  3.14 |   0     0 |4864K  111M
 137% 1711M  300M|  14  0.34     0     0 | 450  3.07 |   0     0 | 512K  112M
 126% 1711M  198M|  14  0.35     0     0 | 453  2.69 |   0     0 |8960K  111M
 111% 1711M   93M|  23  1068     0     0 | 444  2.39 |   0     0 |6656K  111M
 104% 1711M   13M| 260  2494     0     0 | 259  2.88 |   0     0 |  23M  103M
 107% 1711M   13M|  13  0.38     0     0 |   1  1.10 |   0     0 |  85M   86M
 111% 1711M   14M|  14  0.40     0     0 |   2  1.14 |   0     0 |  88M   87M
