Linux 5.15.0-181-generic (tikv-node) 	07/11/26 	_x86_64_	(64 CPU)

01:21:52      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:21:53        0    816986   41.00   12.00    0.00    0.00   53.00    42  juicefs.v1.3.1
01:21:54        0    816986  137.00  146.00    0.00    0.00  283.00    42  juicefs.v1.3.1
01:21:55        0    816986   47.00   29.00    0.00    0.00   76.00    42  juicefs.v1.3.1
01:21:56        0    816986   44.00   18.00    0.00    0.00   62.00    42  juicefs.v1.3.1
01:21:57        0    816986   35.00   19.00    0.00    0.00   54.00    42  juicefs.v1.3.1
01:21:58        0    816986   41.00   24.00    0.00    0.00   65.00    42  juicefs.v1.3.1
01:21:59        0    816986   40.00   34.00    0.00    0.00   74.00    42  juicefs.v1.3.1
01:22:00        0    816986   47.00   23.00    0.00    0.00   70.00    42  juicefs.v1.3.1
01:22:01        0    816986   47.00   25.00    0.00    0.00   72.00    42  juicefs.v1.3.1
01:22:02        0    816986   33.00   25.00    0.00    0.00   58.00    42  juicefs.v1.3.1
01:22:03        0    816986   36.00   20.00    0.00    0.00   56.00    42  juicefs.v1.3.1
01:22:04        0    816986   56.00   35.00    0.00    0.00   91.00    42  juicefs.v1.3.1
01:22:05        0    816986   56.00   28.00    0.00    0.00   84.00    42  juicefs.v1.3.1
01:22:06        0    816986   44.00   28.00    0.00    0.00   72.00    42  juicefs.v1.3.1
01:22:07        0    816986   41.00   29.00    0.00    0.00   70.00    42  juicefs.v1.3.1
01:22:08        0    816986   36.00   18.00    0.00    0.00   54.00    42  juicefs.v1.3.1
01:22:09        0    816986   42.00   29.00    0.00    0.00   71.00    42  juicefs.v1.3.1
01:22:10        0    816986   55.00   35.00    0.00    0.00   90.00    42  juicefs.v1.3.1
01:22:11        0    816986   48.00   27.00    0.00    0.00   75.00    42  juicefs.v1.3.1
01:22:12        0    816986   43.00   26.00    0.00    0.00   69.00    42  juicefs.v1.3.1
01:22:13        0    816986   40.00   26.00    0.00    0.00   66.00    42  juicefs.v1.3.1
01:22:14        0    816986   35.00   26.00    0.00    0.00   61.00    42  juicefs.v1.3.1
01:22:15        0    816986   49.00   32.00    0.00    0.00   81.00    42  juicefs.v1.3.1
01:22:16        0    816986   47.00   26.00    0.00    0.00   73.00    42  juicefs.v1.3.1
01:22:17        0    816986   40.00   34.00    0.00    0.00   74.00    42  juicefs.v1.3.1
01:22:18        0    816986   38.00   31.00    0.00    0.00   69.00    42  juicefs.v1.3.1
01:22:19        0    816986   33.00   29.00    0.00    0.00   62.00    42  juicefs.v1.3.1
01:22:20        0    816986   48.00   25.00    0.00    0.00   73.00    42  juicefs.v1.3.1
01:22:21        0    816986   44.00   31.00    0.00    0.00   75.00    42  juicefs.v1.3.1
01:22:22        0    816986   39.00   35.00    0.00    0.00   74.00    42  juicefs.v1.3.1
01:22:23        0    816986   39.00   34.00    0.00    0.00   73.00    42  juicefs.v1.3.1
01:22:24        0    816986   43.00   30.00    0.00    0.00   73.00    42  juicefs.v1.3.1
01:22:25        0    816986   45.00   27.00    0.00    0.00   72.00    42  juicefs.v1.3.1
01:22:26        0    816986   43.00   24.00    0.00    0.00   67.00    42  juicefs.v1.3.1
01:22:27        0    816986   45.00   26.00    0.00    0.00   71.00    42  juicefs.v1.3.1
01:22:28        0    816986   35.00   38.00    0.00    0.00   73.00    42  juicefs.v1.3.1
01:22:29        0    816986   43.00   29.00    0.00    0.00   72.00    42  juicefs.v1.3.1
01:22:30        0    816986   47.00   35.00    0.00    0.00   82.00    42  juicefs.v1.3.1
01:22:31        0    816986   39.00   28.00    0.00    0.00   67.00    42  juicefs.v1.3.1
01:22:32        0    816986   38.00   32.00    0.00    0.00   70.00    42  juicefs.v1.3.1
01:22:33        0    816986   49.00   26.00    0.00    0.00   75.00    42  juicefs.v1.3.1
01:22:34        0    816986   46.00   30.00    0.00    0.00   76.00    42  juicefs.v1.3.1
01:22:35        0    816986   56.00   29.00    0.00    0.00   85.00    42  juicefs.v1.3.1
01:22:36        0    816986   41.00   30.00    0.00    0.00   71.00    42  juicefs.v1.3.1
01:22:37        0    816986   35.00   29.00    0.00    0.00   64.00    42  juicefs.v1.3.1
01:22:38        0    816986   42.00   30.00    0.00    0.00   72.00    42  juicefs.v1.3.1
01:22:39        0    816986   45.00   29.00    0.00    0.00   74.00    42  juicefs.v1.3.1
01:22:40        0    816986   50.00   30.00    0.00    0.00   80.00    42  juicefs.v1.3.1
01:22:41        0    816986   54.00   37.00    0.00    0.00   91.00    42  juicefs.v1.3.1
01:22:42        0    816986   34.00   27.00    0.00    0.00   61.00    42  juicefs.v1.3.1
01:22:43        0    816986   75.00   25.00    0.00    0.00  100.00    42  juicefs.v1.3.1
01:22:44        0    816986   45.00   28.00    0.00    0.00   73.00    42  juicefs.v1.3.1
01:22:45        0    816986   46.00   33.00    0.00    0.00   79.00    42  juicefs.v1.3.1
01:22:46        0    816986   52.00   32.00    0.00    0.00   84.00    42  juicefs.v1.3.1
01:22:47        0    816986   45.00   31.00    0.00    0.00   76.00    42  juicefs.v1.3.1
01:22:48        0    816986   30.00   28.00    0.00    0.00   58.00    42  juicefs.v1.3.1
01:22:49        0    816986   43.00   28.00    0.00    0.00   71.00    42  juicefs.v1.3.1
01:22:50        0    816986   49.00   29.00    0.00    0.00   78.00    42  juicefs.v1.3.1
01:22:51        0    816986   54.00   34.00    0.00    0.00   88.00    42  juicefs.v1.3.1
01:22:52        0    816986   54.00   28.00    0.00    0.00   82.00    42  juicefs.v1.3.1
01:22:53        0    816986   40.00   22.00    0.00    0.00   62.00    42  juicefs.v1.3.1
