Linux 5.15.0-181-generic (tikv-node) 	07/11/26 	_x86_64_	(64 CPU)

00:13:11      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
00:13:12        0    816986   42.00   15.00    0.00    0.00   57.00    36  juicefs.v1.3.1
00:13:13        0    816986  132.00  140.00    0.00    0.00  272.00    38  juicefs.v1.3.1
00:13:14        0    816986   40.00   32.00    0.00    0.00   72.00    38  juicefs.v1.3.1
00:13:15        0    816986   38.00   25.00    0.00    0.00   63.00    38  juicefs.v1.3.1
00:13:16        0    816986   39.00   27.00    0.00    0.00   66.00    38  juicefs.v1.3.1
00:13:17        0    816986   35.00   26.00    0.00    0.00   61.00    38  juicefs.v1.3.1
00:13:18        0    816986   38.00   25.00    0.00    0.00   63.00    36  juicefs.v1.3.1
00:13:19        0    816986   38.00   23.00    0.00    0.00   61.00    36  juicefs.v1.3.1
00:13:20        0    816986   46.00   24.00    0.00    0.00   70.00    36  juicefs.v1.3.1
00:13:21        0    816986   40.00   27.00    0.00    0.00   67.00    36  juicefs.v1.3.1
00:13:22        0    816986   33.00   30.00    0.00    0.00   63.00    40  juicefs.v1.3.1
00:13:23        0    816986   45.00   33.00    0.00    0.00   78.00    40  juicefs.v1.3.1
00:13:24        0    816986   39.00   31.00    0.00    0.00   70.00    40  juicefs.v1.3.1
00:13:25        0    816986   44.00   20.00    0.00    0.00   64.00    40  juicefs.v1.3.1
00:13:26        0    816986   38.00   31.00    0.00    0.00   69.00    40  juicefs.v1.3.1
00:13:27        0    816986   36.00   27.00    0.00    0.00   63.00    40  juicefs.v1.3.1
00:13:28        0    816986   47.00   27.00    0.00    0.00   74.00    40  juicefs.v1.3.1
00:13:29        0    816986   44.00   26.00    0.00    0.00   70.00    40  juicefs.v1.3.1
00:13:30        0    816986   34.00   25.00    0.00    0.00   59.00    29  juicefs.v1.3.1
00:13:31        0    816986   45.00   25.00    0.00    0.00   70.00    27  juicefs.v1.3.1
00:13:32        0    816986   39.00   25.00    0.00    0.00   64.00     0  juicefs.v1.3.1
00:13:33        0    816986   51.00   27.00    0.00    0.00   78.00     4  juicefs.v1.3.1
00:13:34        0    816986   43.00   32.00    0.00    0.00   75.00     6  juicefs.v1.3.1
00:13:35        0    816986   35.00   26.00    0.00    0.00   61.00     6  juicefs.v1.3.1
00:13:36        0    816986   41.00   23.00    0.00    0.00   64.00    23  juicefs.v1.3.1
00:13:37        0    816986   40.00   27.00    0.00    0.00   67.00    23  juicefs.v1.3.1
00:13:38        0    816986   48.00   25.00    0.00    0.00   73.00    23  juicefs.v1.3.1
00:13:39        0    816986   51.00   27.00    0.00    0.00   78.00    23  juicefs.v1.3.1
00:13:40        0    816986   41.00   28.00    0.00    0.00   69.00    23  juicefs.v1.3.1
00:13:41        0    816986   39.00   22.00    0.00    0.00   61.00    23  juicefs.v1.3.1
00:13:42        0    816986   45.00   21.00    0.00    0.00   66.00    23  juicefs.v1.3.1
00:13:43        0    816986   41.00   27.00    0.00    0.00   68.00    23  juicefs.v1.3.1
00:13:44        0    816986   49.00   27.00    0.00    0.00   76.00    10  juicefs.v1.3.1
00:13:45        0    816986   44.00   28.00    0.00    0.00   72.00    10  juicefs.v1.3.1
00:13:46        0    816986   37.00   25.00    0.00    0.00   62.00    10  juicefs.v1.3.1
00:13:47        0    816986   38.00   26.00    0.00    0.00   64.00    10  juicefs.v1.3.1
00:13:48        0    816986   38.00   31.00    0.00    0.00   69.00    10  juicefs.v1.3.1
00:13:49        0    816986   93.00   35.00    0.00    0.00  128.00    10  juicefs.v1.3.1
00:13:50        0    816986   45.00   28.00    0.00    0.00   73.00    10  juicefs.v1.3.1
00:13:51        0    816986   40.00   23.00    0.00    0.00   63.00    10  juicefs.v1.3.1
00:13:52        0    816986   34.00   26.00    0.00    0.00   60.00    10  juicefs.v1.3.1
00:13:53        0    816986   39.00   23.00    0.00    0.00   62.00    10  juicefs.v1.3.1
00:13:54        0    816986   48.00   36.00    0.00    0.00   84.00    10  juicefs.v1.3.1
00:13:55        0    816986   53.00   23.00    0.00    0.00   76.00    10  juicefs.v1.3.1
00:13:56        0    816986   41.00   24.00    0.00    0.00   65.00    10  juicefs.v1.3.1
00:13:57        0    816986   38.00   24.00    0.00    0.00   62.00    10  juicefs.v1.3.1
00:13:58        0    816986   37.00   24.00    0.00    0.00   61.00    10  juicefs.v1.3.1
00:13:59        0    816986   45.00   26.00    0.00    0.00   71.00    10  juicefs.v1.3.1
00:14:00        0    816986   49.00   29.00    0.00    0.00   78.00    10  juicefs.v1.3.1
00:14:01        0    816986   42.00   29.00    0.00    0.00   71.00    10  juicefs.v1.3.1
00:14:02        0    816986   39.00   26.00    0.00    0.00   65.00    10  juicefs.v1.3.1
00:14:03        0    816986   35.00   24.00    0.00    0.00   59.00    10  juicefs.v1.3.1
00:14:04        0    816986   36.00   29.00    0.00    0.00   65.00    10  juicefs.v1.3.1
00:14:05        0    816986   49.00   32.00    0.00    0.00   81.00    10  juicefs.v1.3.1
00:14:06        0    816986   46.00   25.00    0.00    0.00   71.00    10  juicefs.v1.3.1
00:14:07        0    816986   42.00   19.00    0.00    0.00   61.00    10  juicefs.v1.3.1
00:14:08        0    816986   36.00   27.00    0.00    0.00   63.00    10  juicefs.v1.3.1
00:14:09        0    816986   39.00   25.00    0.00    0.00   64.00    10  juicefs.v1.3.1
00:14:10        0    816986   45.54   30.69    0.00    0.00   76.24    10  juicefs.v1.3.1
00:14:11        0    816986   49.00   30.00    0.00    0.00   79.00    10  juicefs.v1.3.1
00:14:12        0    816986   43.00   25.00    0.00    0.00   68.00    10  juicefs.v1.3.1
00:14:13        0    816986   41.00   24.00    0.00    0.00   65.00    10  juicefs.v1.3.1
00:14:14        0    816986   42.00   21.00    0.00    0.00   63.00    10  juicefs.v1.3.1
00:14:15        0    816986   47.00   28.00    0.00    0.00   75.00    10  juicefs.v1.3.1
00:14:16        0    816986   47.00   23.00    0.00    0.00   70.00    10  juicefs.v1.3.1
00:14:17        0    816986   42.00   26.00    0.00    0.00   68.00    10  juicefs.v1.3.1
00:14:18        0    816986   42.00   27.00    0.00    0.00   69.00    10  juicefs.v1.3.1
00:14:19        0    816986   39.00   26.00    0.00    0.00   65.00    10  juicefs.v1.3.1
00:14:20        0    816986   49.00   24.00    0.00    0.00   73.00    10  juicefs.v1.3.1
