Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

23:41:07      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:41:08        0    816986   52.00   57.00    0.00    0.00  109.00     6  juicefs.v1.3.1
23:41:09        0    816986   77.00   86.00    0.00    0.00  163.00     6  juicefs.v1.3.1
23:41:10        0    816986   62.00   81.00    0.00    0.00  143.00     6  juicefs.v1.3.1
23:41:11        0    816986   64.00   74.00    0.00    0.00  138.00     6  juicefs.v1.3.1
23:41:12        0    816986   71.00   96.00    0.00    0.00  167.00     6  juicefs.v1.3.1
23:41:13        0    816986   72.00   96.00    0.00    0.00  168.00     6  juicefs.v1.3.1
23:41:14        0    816986   72.00  104.00    0.00    0.00  176.00     6  juicefs.v1.3.1
23:41:15        0    816986   70.00   80.00    0.00    0.00  150.00     6  juicefs.v1.3.1
23:41:16        0    816986   72.00   79.00    0.00    0.00  151.00     6  juicefs.v1.3.1
23:41:17        0    816986   61.00   75.00    0.00    0.00  136.00     6  juicefs.v1.3.1
23:41:18        0    816986   72.00   89.00    0.00    0.00  161.00     6  juicefs.v1.3.1
23:41:19        0    816986   78.00   98.00    0.00    0.00  176.00     6  juicefs.v1.3.1
23:41:20        0    816986   75.00   95.00    0.00    0.00  170.00     6  juicefs.v1.3.1
23:41:21        0    816986   74.00   92.00    0.00    0.00  166.00     6  juicefs.v1.3.1
23:41:22        0    816986   64.00   74.00    0.00    0.00  138.00     6  juicefs.v1.3.1
23:41:23        0    816986   73.00   93.00    0.00    0.00  166.00     6  juicefs.v1.3.1
23:41:24        0    816986   79.00   93.00    0.00    0.00  172.00     6  juicefs.v1.3.1
23:41:25        0    816986   80.00  100.00    0.00    0.00  180.00     6  juicefs.v1.3.1
23:41:26        0    816986   85.00   92.00    0.00    0.00  177.00     6  juicefs.v1.3.1
23:41:27        0    816986   72.00   70.00    0.00    0.00  142.00     6  juicefs.v1.3.1
23:41:28        0    816986   58.00   73.00    0.00    0.00  131.00     6  juicefs.v1.3.1
23:41:29        0    816986   78.00   97.00    0.00    0.00  175.00     6  juicefs.v1.3.1
23:41:30        0    816986   74.00  100.00    0.00    0.00  174.00     6  juicefs.v1.3.1
23:41:31        0    816986   78.00   99.00    0.00    0.00  177.00     6  juicefs.v1.3.1
23:41:32        0    816986   82.00   82.00    0.00    0.00  164.00     6  juicefs.v1.3.1
23:41:33        0    816986   71.00   69.00    0.00    0.00  140.00     6  juicefs.v1.3.1
23:41:34        0    816986   72.00   80.00    0.00    0.00  152.00     6  juicefs.v1.3.1
23:41:35        0    816986   85.00   92.00    0.00    0.00  177.00     6  juicefs.v1.3.1
23:41:36        0    816986   78.00   96.00    0.00    0.00  174.00     6  juicefs.v1.3.1
23:41:37        0    816986   75.00   91.00    0.00    0.00  166.00     6  juicefs.v1.3.1
23:41:38        0    816986   69.00   91.00    0.00    0.00  160.00     6  juicefs.v1.3.1
23:41:39        0    816986   59.00   79.00    0.00    0.00  138.00     6  juicefs.v1.3.1
23:41:40        0    816986   63.00   87.00    0.00    0.00  150.00     6  juicefs.v1.3.1
23:41:41        0    816986   64.00  105.00    0.00    0.00  169.00     6  juicefs.v1.3.1
23:41:42        0    816986   82.00   89.00    0.00    0.00  171.00     6  juicefs.v1.3.1
23:41:43        0    816986   73.00  101.00    0.00    0.00  174.00     6  juicefs.v1.3.1
23:41:44        0    816986   64.00   84.00    0.00    0.00  148.00     6  juicefs.v1.3.1
23:41:45        0    816986   59.00   77.00    0.00    0.00  136.00     6  juicefs.v1.3.1
23:41:46        0    816986   66.00  102.00    0.00    0.00  168.00     6  juicefs.v1.3.1
23:41:47        0    816986   80.00   93.00    0.00    0.00  173.00     6  juicefs.v1.3.1
23:41:48        0    816986   75.00   94.00    0.00    0.00  169.00     6  juicefs.v1.3.1
23:41:49        0    816986   72.00   90.00    0.00    0.00  162.00     6  juicefs.v1.3.1
23:41:50        0    816986   63.00   85.00    0.00    0.00  148.00     6  juicefs.v1.3.1
23:41:51        0    816986   57.00   76.00    0.00    0.00  133.00     6  juicefs.v1.3.1
23:41:52        0    816986   66.00  102.00    0.00    0.00  168.00     6  juicefs.v1.3.1
23:41:53        0    816986   83.00   87.00    0.00    0.00  170.00     6  juicefs.v1.3.1
23:41:54        0    816986   76.00   89.00    0.00    0.00  165.00     6  juicefs.v1.3.1
23:41:55        0    816986   79.00   73.00    0.00    0.00  152.00     6  juicefs.v1.3.1
23:41:56        0    816986   59.00   78.00    0.00    0.00  137.00     6  juicefs.v1.3.1
23:41:57        0    816986   64.00   81.00    0.00    0.00  145.00     6  juicefs.v1.3.1
23:41:58        0    816986   79.00   91.00    0.00    0.00  170.00     6  juicefs.v1.3.1
23:41:59        0    816986   81.00   93.00    0.00    0.00  174.00     6  juicefs.v1.3.1
23:42:00        0    816986   83.00   94.00    0.00    0.00  177.00     6  juicefs.v1.3.1
23:42:01        0    816986   71.00   88.00    0.00    0.00  159.00     6  juicefs.v1.3.1
23:42:02        0    816986   66.00   80.00    0.00    0.00  146.00     6  juicefs.v1.3.1
23:42:03        0    816986   69.00   95.00    0.00    0.00  164.00     6  juicefs.v1.3.1
23:42:04        0    816986   75.00  105.00    0.00    0.00  180.00     6  juicefs.v1.3.1
23:42:05        0    816986   69.00  106.00    0.00    0.00  175.00     6  juicefs.v1.3.1
23:42:06        0    816986   66.00   96.00    0.00    0.00  162.00     6  juicefs.v1.3.1
23:42:07        0    816986   60.00   93.00    0.00    0.00  153.00     6  juicefs.v1.3.1
23:42:08        0    816986   66.00   77.00    0.00    0.00  143.00     6  juicefs.v1.3.1
23:42:09        0    816986   79.21   94.06    0.00    0.00  173.27     6  juicefs.v1.3.1
23:42:10        0    816986   74.00  105.00    0.00    0.00  179.00     6  juicefs.v1.3.1
23:42:11        0    816986   72.00  107.00    0.00    0.00  179.00     6  juicefs.v1.3.1
23:42:12        0    816986   69.00   96.00    0.00    0.00  165.00     6  juicefs.v1.3.1
23:42:13        0    816986   61.00   77.00    0.00    0.00  138.00     6  juicefs.v1.3.1
23:42:14        0    816986   67.00   95.00    0.00    0.00  162.00     6  juicefs.v1.3.1
23:42:15        0    816986   88.00  100.00    0.00    0.00  188.00     6  juicefs.v1.3.1
23:42:16        0    816986   84.00  103.00    0.00    0.00  187.00     6  juicefs.v1.3.1
23:42:17        0    816986   79.00  102.00    0.00    0.00  181.00     6  juicefs.v1.3.1
23:42:18        0    816986   68.00   86.00    0.00    0.00  154.00     6  juicefs.v1.3.1
23:42:19        0    816986   58.00   83.00    0.00    0.00  141.00     6  juicefs.v1.3.1
23:42:20        0    816986   77.00   84.00    0.00    0.00  161.00     6  juicefs.v1.3.1
23:42:21        0    816986   79.00   95.00    0.00    0.00  174.00     6  juicefs.v1.3.1
23:42:22        0    816986   79.00   99.00    0.00    0.00  178.00     6  juicefs.v1.3.1
23:42:23        0    816986   75.00   95.00    0.00    0.00  170.00     6  juicefs.v1.3.1
23:42:24        0    816986   64.00   78.00    0.00    0.00  142.00     6  juicefs.v1.3.1
23:42:25        0    816986   57.00   70.00    0.00    0.00  127.00     6  juicefs.v1.3.1
