Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

23:44:20      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:44:21        0    816986   96.00   72.00    0.00    0.00  168.00     6  juicefs.v1.3.1
23:44:22        0    816986   50.00   42.00    0.00    0.00   92.00     6  juicefs.v1.3.1
23:44:23        0    816986   45.00   42.00    0.00    0.00   87.00     6  juicefs.v1.3.1
23:44:24        0    816986   43.00   32.00    0.00    0.00   75.00     6  juicefs.v1.3.1
23:44:25        0    816986   76.00   37.00    0.00    0.00  113.00     6  juicefs.v1.3.1
23:44:26        0    816986   43.00   28.00    0.00    0.00   71.00    18  juicefs.v1.3.1
23:44:27        0    816986   41.00   25.00    0.00    0.00   66.00    18  juicefs.v1.3.1
23:44:28        0    816986   40.00   28.00    0.00    0.00   68.00    18  juicefs.v1.3.1
23:44:29        0    816986   36.00   26.00    0.00    0.00   62.00    18  juicefs.v1.3.1
23:44:30        0    816986   31.00   22.00    0.00    0.00   53.00     6  juicefs.v1.3.1
23:44:31        0    816986   41.00   27.00    0.00    0.00   68.00     6  juicefs.v1.3.1
23:44:32        0    816986   37.00   32.00    0.00    0.00   69.00     6  juicefs.v1.3.1
23:44:33        0    816986   36.00   32.00    0.00    0.00   68.00     6  juicefs.v1.3.1
23:44:34        0    816986   40.00   27.00    0.00    0.00   67.00     8  juicefs.v1.3.1
23:44:35        0    816986   37.00   21.00    0.00    0.00   58.00     8  juicefs.v1.3.1
23:44:36        0    816986   39.00   20.00    0.00    0.00   59.00     8  juicefs.v1.3.1
23:44:37        0    816986   40.00   24.00    0.00    0.00   64.00     8  juicefs.v1.3.1
23:44:38        0    816986   42.00   26.00    0.00    0.00   68.00     8  juicefs.v1.3.1
23:44:39        0    816986   40.00   28.00    0.00    0.00   68.00     8  juicefs.v1.3.1
23:44:40        0    816986   36.00   29.00    0.00    0.00   65.00     8  juicefs.v1.3.1
23:44:41        0    816986   34.00   20.00    0.00    0.00   54.00     8  juicefs.v1.3.1
23:44:42        0    816986   37.00   22.00    0.00    0.00   59.00     8  juicefs.v1.3.1
23:44:43        0    816986   39.00   31.00    0.00    0.00   70.00     8  juicefs.v1.3.1
23:44:44        0    816986   38.00   33.00    0.00    0.00   71.00     8  juicefs.v1.3.1
23:44:45        0    816986   43.00   25.00    0.00    0.00   68.00     8  juicefs.v1.3.1
23:44:46        0    816986   39.00   24.00    0.00    0.00   63.00     8  juicefs.v1.3.1
23:44:47        0    816986   32.00   20.00    0.00    0.00   52.00     8  juicefs.v1.3.1
23:44:48        0    816986   35.00   29.00    0.00    0.00   64.00     8  juicefs.v1.3.1
23:44:49        0    816986   37.00   33.00    0.00    0.00   70.00     8  juicefs.v1.3.1
23:44:50        0    816986   44.00   27.00    0.00    0.00   71.00     8  juicefs.v1.3.1
23:44:51        0    816986   36.00   29.00    0.00    0.00   65.00     6  juicefs.v1.3.1
23:44:52        0    816986   31.00   27.00    0.00    0.00   58.00    45  juicefs.v1.3.1
23:44:53        0    816986   32.00   23.00    0.00    0.00   55.00    45  juicefs.v1.3.1
23:44:54        0    816986   42.00   31.00    0.00    0.00   73.00    45  juicefs.v1.3.1
23:44:55        0    816986   42.00   28.00    0.00    0.00   70.00    45  juicefs.v1.3.1
23:44:56        0    816986   45.00   26.00    0.00    0.00   71.00     4  juicefs.v1.3.1
23:44:57        0    816986   36.00   27.00    0.00    0.00   63.00     4  juicefs.v1.3.1
23:44:58        0    816986   37.00   19.00    0.00    0.00   56.00     4  juicefs.v1.3.1
23:44:59        0    816986   37.00   28.00    0.00    0.00   65.00     4  juicefs.v1.3.1
23:45:00        0    816986   43.00   29.00    0.00    0.00   72.00     4  juicefs.v1.3.1
23:45:01        0    816986   38.00   31.00    0.00    0.00   69.00     4  juicefs.v1.3.1
23:45:02        0    816986   40.00   28.00    0.00    0.00   68.00     4  juicefs.v1.3.1
23:45:03        0    816986   40.00   26.00    0.00    0.00   66.00     4  juicefs.v1.3.1
23:45:04        0    816986   34.65   18.81    0.00    0.00   53.47     4  juicefs.v1.3.1
23:45:05        0    816986   45.00   24.00    0.00    0.00   69.00     4  juicefs.v1.3.1
23:45:06        0    816986   43.00   28.00    0.00    0.00   71.00     4  juicefs.v1.3.1
23:45:07        0    816986   42.00   28.00    0.00    0.00   70.00     6  juicefs.v1.3.1
23:45:08        0    816986   39.00   30.00    0.00    0.00   69.00     6  juicefs.v1.3.1
23:45:09        0    816986   30.00   29.00    0.00    0.00   59.00     6  juicefs.v1.3.1
23:45:10        0    816986   36.00   23.00    0.00    0.00   59.00     6  juicefs.v1.3.1
23:45:11        0    816986   44.00   27.00    0.00    0.00   71.00     6  juicefs.v1.3.1
23:45:12        0    816986   44.00   28.00    0.00    0.00   72.00     6  juicefs.v1.3.1
23:45:13        0    816986   40.00   33.00    0.00    0.00   73.00     6  juicefs.v1.3.1
23:45:14        0    816986   39.00   27.00    0.00    0.00   66.00     6  juicefs.v1.3.1
23:45:15        0    816986   33.00   22.00    0.00    0.00   55.00     6  juicefs.v1.3.1
23:45:16        0    816986   37.00   28.00    0.00    0.00   65.00     6  juicefs.v1.3.1
23:45:17        0    816986   43.00   26.00    0.00    0.00   69.00     6  juicefs.v1.3.1
23:45:18        0    816986   39.00   29.00    0.00    0.00   68.00     4  juicefs.v1.3.1
23:45:19        0    816986   40.00   28.00    0.00    0.00   68.00    48  juicefs.v1.3.1
23:45:20        0    816986   34.00   27.00    0.00    0.00   61.00    48  juicefs.v1.3.1
23:45:21        0    816986   35.00   20.00    0.00    0.00   55.00    14  juicefs.v1.3.1
23:45:22        0    816986   37.00   30.00    0.00    0.00   67.00    14  juicefs.v1.3.1
23:45:23        0    816986   38.00   32.00    0.00    0.00   70.00    14  juicefs.v1.3.1
23:45:24        0    816986   41.00   30.00    0.00    0.00   71.00    14  juicefs.v1.3.1
23:45:25        0    816986   38.00   30.00    0.00    0.00   68.00    14  juicefs.v1.3.1
23:45:26        0    816986   38.00   21.00    0.00    0.00   59.00    14  juicefs.v1.3.1
23:45:27        0    816986   33.00   27.00    0.00    0.00   60.00    25  juicefs.v1.3.1
23:45:28        0    816986   39.00   30.00    0.00    0.00   69.00    25  juicefs.v1.3.1
23:45:29        0    816986   43.00   25.00    0.00    0.00   68.00    25  juicefs.v1.3.1
23:45:30        0    816986   37.00   31.00    0.00    0.00   68.00    25  juicefs.v1.3.1
23:45:31        0    816986   32.00   28.00    0.00    0.00   60.00    25  juicefs.v1.3.1
23:45:32        0    816986   31.00   21.00    0.00    0.00   52.00     2  juicefs.v1.3.1
23:45:33        0    816986   45.00   22.00    0.00    0.00   67.00     2  juicefs.v1.3.1
23:45:34        0    816986   40.00   30.00    0.00    0.00   70.00     2  juicefs.v1.3.1
23:45:35        0    816986   39.00   31.00    0.00    0.00   70.00     2  juicefs.v1.3.1
23:45:36        0    816986   38.00   28.00    0.00    0.00   66.00     2  juicefs.v1.3.1
23:45:37        0    816986   37.00   22.00    0.00    0.00   59.00     4  juicefs.v1.3.1
23:45:38        0    816986   32.00   22.00    0.00    0.00   54.00     4  juicefs.v1.3.1
23:45:39        0    816986   38.00   30.00    0.00    0.00   68.00     4  juicefs.v1.3.1
23:45:40        0    816986   43.00   26.00    0.00    0.00   69.00     4  juicefs.v1.3.1
23:45:41        0    816986   39.00   31.00    0.00    0.00   70.00     4  juicefs.v1.3.1
23:45:42        0    816986   41.00   24.00    0.00    0.00   65.00     4  juicefs.v1.3.1
23:45:43        0    816986   34.00   22.00    0.00    0.00   56.00     4  juicefs.v1.3.1
23:45:44        0    816986   38.00   22.00    0.00    0.00   60.00     2  juicefs.v1.3.1
23:45:45        0    816986   43.00   27.00    0.00    0.00   70.00     6  juicefs.v1.3.1
23:45:46        0    816986   43.00   26.00    0.00    0.00   69.00     2  juicefs.v1.3.1
23:45:47        0    816986   38.00   27.00    0.00    0.00   65.00    55  juicefs.v1.3.1
23:45:48        0    816986   35.00   27.00    0.00    0.00   62.00    55  juicefs.v1.3.1
23:45:49        0    816986   32.00   21.00    0.00    0.00   53.00    55  juicefs.v1.3.1
23:45:50        0    816986   41.00   26.00    0.00    0.00   67.00    55  juicefs.v1.3.1
23:45:51        0    816986   42.00   27.00    0.00    0.00   69.00    55  juicefs.v1.3.1
23:45:52        0    816986   40.00   30.00    0.00    0.00   70.00    55  juicefs.v1.3.1
23:45:53        0    816986   42.00   27.00    0.00    0.00   69.00    55  juicefs.v1.3.1
23:45:54        0    816986   32.00   26.00    0.00    0.00   58.00    30  juicefs.v1.3.1
23:45:55        0    816986   33.00   23.00    0.00    0.00   56.00    30  juicefs.v1.3.1
23:45:56        0    816986   38.00   29.00    0.00    0.00   67.00    30  juicefs.v1.3.1
23:45:57        0    816986   36.00   30.00    0.00    0.00   66.00    30  juicefs.v1.3.1
23:45:58        0    816986   46.00   26.00    0.00    0.00   72.00    30  juicefs.v1.3.1
23:45:59        0    816986   39.00   25.00    0.00    0.00   64.00    30  juicefs.v1.3.1
23:46:00        0    816986   35.00   23.00    0.00    0.00   58.00    30  juicefs.v1.3.1
23:46:01        0    816986   37.00   27.00    0.00    0.00   64.00    30  juicefs.v1.3.1
23:46:02        0    816986   41.00   28.00    0.00    0.00   69.00    30  juicefs.v1.3.1
23:46:03        0    816986   45.00   25.00    0.00    0.00   70.00    30  juicefs.v1.3.1
23:46:04        0    816986   41.00   27.00    0.00    0.00   68.00    30  juicefs.v1.3.1
23:46:05        0    816986   41.00   25.00    0.00    0.00   66.00    32  juicefs.v1.3.1
23:46:06        0    816986   33.00   20.00    0.00    0.00   53.00    32  juicefs.v1.3.1
23:46:07        0    816986   41.00   23.00    0.00    0.00   64.00    32  juicefs.v1.3.1
23:46:08        0    816986   42.00   28.00    0.00    0.00   70.00    49  juicefs.v1.3.1
23:46:09        0    816986   43.00   28.00    0.00    0.00   71.00    44  juicefs.v1.3.1
23:46:10        0    816986   37.00   27.00    0.00    0.00   64.00    44  juicefs.v1.3.1
23:46:11        0    816986   36.00   19.00    0.00    0.00   55.00    44  juicefs.v1.3.1
23:46:12        0    816986   40.00   21.00    0.00    0.00   61.00    44  juicefs.v1.3.1
23:46:13        0    816986   45.00   23.00    0.00    0.00   68.00    46  juicefs.v1.3.1
23:46:14        0    816986   41.00   28.00    0.00    0.00   69.00    46  juicefs.v1.3.1
23:46:15        0    816986   38.00   32.00    0.00    0.00   70.00    46  juicefs.v1.3.1
23:46:16        0    816986   39.00   25.00    0.00    0.00   64.00    46  juicefs.v1.3.1
23:46:17        0    816986   33.00   22.00    0.00    0.00   55.00    46  juicefs.v1.3.1
23:46:18        0    816986   37.00   26.00    0.00    0.00   63.00    44  juicefs.v1.3.1
23:46:19        0    816986   38.00   32.00    0.00    0.00   70.00    44  juicefs.v1.3.1
23:46:20        0    816986   40.00   31.00    0.00    0.00   71.00    44  juicefs.v1.3.1
23:46:21        0    816986   38.00   31.00    0.00    0.00   69.00    44  juicefs.v1.3.1
23:46:22        0    816986   35.00   26.00    0.00    0.00   61.00    44  juicefs.v1.3.1
23:46:23        0    816986   35.00   17.00    0.00    0.00   52.00    44  juicefs.v1.3.1
23:46:24        0    816986   38.00   30.00    0.00    0.00   68.00    44  juicefs.v1.3.1
23:46:25        0    816986   52.00   28.00    0.00    0.00   80.00    44  juicefs.v1.3.1
23:46:26        0    816986   46.00   33.00    0.00    0.00   79.00    44  juicefs.v1.3.1
23:46:27        0    816986   32.00   32.00    0.00    0.00   64.00    46  juicefs.v1.3.1
23:46:28        0    816986   30.00   24.00    0.00    0.00   54.00    44  juicefs.v1.3.1
23:46:29        0    816986   29.00   29.00    0.00    0.00   58.00    44  juicefs.v1.3.1
23:46:30        0    816986   41.00   28.00    0.00    0.00   69.00    44  juicefs.v1.3.1
23:46:31        0    816986   41.00   27.00    0.00    0.00   68.00    46  juicefs.v1.3.1
23:46:32        0    816986   43.00   24.00    0.00    0.00   67.00    46  juicefs.v1.3.1
23:46:33        0    816986   38.00   24.00    0.00    0.00   62.00    46  juicefs.v1.3.1
23:46:34        0    816986   34.00   18.00    0.00    0.00   52.00    46  juicefs.v1.3.1
23:46:35        0    816986   39.00   27.00    0.00    0.00   66.00    46  juicefs.v1.3.1
23:46:36        0    816986   39.00   29.00    0.00    0.00   68.00    46  juicefs.v1.3.1
23:46:37        0    816986   40.00   26.00    0.00    0.00   66.00    44  juicefs.v1.3.1
23:46:38        0    816986   38.00   27.00    0.00    0.00   65.00    44  juicefs.v1.3.1
23:46:39        0    816986   32.00   23.00    0.00    0.00   55.00    44  juicefs.v1.3.1
23:46:40        0    816986   35.00   20.00    0.00    0.00   55.00    44  juicefs.v1.3.1
23:46:41        0    816986   40.00   29.00    0.00    0.00   69.00    46  juicefs.v1.3.1
23:46:42        0    816986   42.00   28.00    0.00    0.00   70.00    46  juicefs.v1.3.1
23:46:43        0    816986   40.00   27.00    0.00    0.00   67.00    46  juicefs.v1.3.1
23:46:44        0    816986   40.00   27.00    0.00    0.00   67.00    46  juicefs.v1.3.1
23:46:45        0    816986   33.00   19.00    0.00    0.00   52.00    44  juicefs.v1.3.1
23:46:46        0    816986   33.00   25.00    0.00    0.00   58.00    46  juicefs.v1.3.1
23:46:47        0    816986   37.00   27.00    0.00    0.00   64.00    44  juicefs.v1.3.1
23:46:48        0    816986   38.00   31.00    0.00    0.00   69.00    44  juicefs.v1.3.1
23:46:49        0    816986   39.00   30.00    0.00    0.00   69.00    44  juicefs.v1.3.1
23:46:50        0    816986   35.00   27.00    0.00    0.00   62.00    46  juicefs.v1.3.1
23:46:51        0    816986   34.00   19.00    0.00    0.00   53.00    46  juicefs.v1.3.1
23:46:52        0    816986   35.00   22.00    0.00    0.00   57.00    46  juicefs.v1.3.1
23:46:53        0    816986   40.00   21.00    0.00    0.00   61.00    46  juicefs.v1.3.1
23:46:54        0    816986   32.00   26.00    0.00    0.00   58.00    46  juicefs.v1.3.1
23:46:55        0    816986   33.00   29.00    0.00    0.00   62.00    46  juicefs.v1.3.1
23:46:56        0    816986   36.00   25.00    0.00    0.00   61.00     6  juicefs.v1.3.1
23:46:57        0    816986   32.00   22.00    0.00    0.00   54.00     6  juicefs.v1.3.1
23:46:58        0    816986   40.00   27.00    0.00    0.00   67.00    19  juicefs.v1.3.1
23:46:59        0    816986   38.00   32.00    0.00    0.00   70.00    19  juicefs.v1.3.1
23:47:00        0    816986   40.00   27.00    0.00    0.00   67.00    19  juicefs.v1.3.1
23:47:01        0    816986   33.00   28.00    0.00    0.00   61.00    19  juicefs.v1.3.1
23:47:02        0    816986   32.00   24.00    0.00    0.00   56.00    15  juicefs.v1.3.1
23:47:03        0    816986   34.00   30.00    0.00    0.00   64.00    15  juicefs.v1.3.1
23:47:04        0    816986   34.00   32.00    0.00    0.00   66.00    15  juicefs.v1.3.1
23:47:05        0    816986   39.00   29.00    0.00    0.00   68.00    15  juicefs.v1.3.1
23:47:06        0    816986   36.00   31.00    0.00    0.00   67.00    15  juicefs.v1.3.1
23:47:07        0    816986   36.00   25.00    0.00    0.00   61.00    15  juicefs.v1.3.1
23:47:08        0    816986   31.00   20.00    0.00    0.00   51.00    15  juicefs.v1.3.1
23:47:09        0    816986   34.00   31.00    0.00    0.00   65.00    15  juicefs.v1.3.1
23:47:10        0    816986   44.00   26.00    0.00    0.00   70.00    15  juicefs.v1.3.1
23:47:11        0    816986   38.00   32.00    0.00    0.00   70.00    15  juicefs.v1.3.1
23:47:12        0    816986   36.00   30.00    0.00    0.00   66.00    15  juicefs.v1.3.1
23:47:13        0    816986   32.00   24.00    0.00    0.00   56.00    15  juicefs.v1.3.1
23:47:14        0    816986   29.00   25.00    0.00    0.00   54.00    15  juicefs.v1.3.1
23:47:15        0    816986   39.00   30.00    0.00    0.00   69.00    15  juicefs.v1.3.1
23:47:16        0    816986   37.00   32.00    0.00    0.00   69.00    15  juicefs.v1.3.1
23:47:17        0    816986   36.00   29.00    0.00    0.00   65.00    15  juicefs.v1.3.1
23:47:18        0    816986   41.00   23.00    0.00    0.00   64.00    34  juicefs.v1.3.1
23:47:19        0    816986   27.00   29.00    0.00    0.00   56.00    36  juicefs.v1.3.1
23:47:20        0    816986   40.00   24.00    0.00    0.00   64.00    36  juicefs.v1.3.1
23:47:21        0    816986   33.00   23.00    0.00    0.00   56.00    36  juicefs.v1.3.1
23:47:22        0    816986   28.00   14.00    0.00    0.00   42.00    36  juicefs.v1.3.1
23:47:23        0    816986   23.00   17.00    0.00    0.00   40.00    36  juicefs.v1.3.1
23:47:24        0    816986   23.00   13.00    0.00    0.00   36.00    36  juicefs.v1.3.1
23:47:25        0    816986   18.00   13.00    0.00    0.00   31.00    36  juicefs.v1.3.1
23:47:26        0    816986   14.00   15.00    0.00    0.00   29.00    36  juicefs.v1.3.1
23:47:27        0    816986    2.00    0.00    0.00    0.00    2.00    36  juicefs.v1.3.1
23:47:28        0    816986    1.00    1.00    0.00    0.00    2.00    36  juicefs.v1.3.1
23:47:29        0    816986    1.00    1.00    0.00    0.00    2.00    36  juicefs.v1.3.1
23:47:30        0    816986    1.00    0.00    0.00    0.00    1.00    36  juicefs.v1.3.1
Average:        0    816986   37.27   26.09    0.00    0.00   63.37     -  juicefs.v1.3.1
