Linux 5.15.0-181-generic (tikv-node) 	07/10/26 	_x86_64_	(64 CPU)

23:27:55      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:27:56        0    816986   62.00   37.00    0.00    0.00   99.00    54  juicefs.v1.3.1
23:27:57        0    816986   76.00   47.00    0.00    0.00  123.00    54  juicefs.v1.3.1
23:27:58        0    816986   34.00   27.00    0.00    0.00   61.00    54  juicefs.v1.3.1
23:27:59        0    816986   32.00   30.00    0.00    0.00   62.00    54  juicefs.v1.3.1
23:28:00        0    816986   38.00   24.00    0.00    0.00   62.00    54  juicefs.v1.3.1
23:28:01        0    816986   26.00   23.00    0.00    0.00   49.00    54  juicefs.v1.3.1
23:28:02        0    816986   40.00   21.00    0.00    0.00   61.00    54  juicefs.v1.3.1
23:28:03        0    816986   36.00   31.00    0.00    0.00   67.00    54  juicefs.v1.3.1
23:28:04        0    816986   33.00   35.00    0.00    0.00   68.00    54  juicefs.v1.3.1
23:28:05        0    816986   40.00   28.00    0.00    0.00   68.00    54  juicefs.v1.3.1
23:28:06        0    816986   35.00   25.00    0.00    0.00   60.00    54  juicefs.v1.3.1
23:28:07        0    816986   30.00   15.00    0.00    0.00   45.00    54  juicefs.v1.3.1
23:28:08        0    816986   30.00   28.00    0.00    0.00   58.00    54  juicefs.v1.3.1
23:28:09        0    816986   33.00   22.00    0.00    0.00   55.00    54  juicefs.v1.3.1
23:28:10        0    816986   33.00   26.00    0.00    0.00   59.00    54  juicefs.v1.3.1
23:28:11        0    816986   32.00   28.00    0.00    0.00   60.00    54  juicefs.v1.3.1
23:28:12        0    816986   33.00   18.00    0.00    0.00   51.00    54  juicefs.v1.3.1
23:28:13        0    816986   26.00   22.00    0.00    0.00   48.00    54  juicefs.v1.3.1
23:28:14        0    816986   32.00   26.00    0.00    0.00   58.00    54  juicefs.v1.3.1
23:28:15        0    816986   31.00   28.00    0.00    0.00   59.00    54  juicefs.v1.3.1
23:28:16        0    816986   32.00   27.00    0.00    0.00   59.00    54  juicefs.v1.3.1
23:28:17        0    816986   33.00   25.00    0.00    0.00   58.00    54  juicefs.v1.3.1
23:28:18        0    816986   25.00   23.00    0.00    0.00   48.00    54  juicefs.v1.3.1
23:28:19        0    816986   29.00   20.00    0.00    0.00   49.00    54  juicefs.v1.3.1
23:28:20        0    816986   33.00   24.00    0.00    0.00   57.00    54  juicefs.v1.3.1
23:28:21        0    816986   34.00   27.00    0.00    0.00   61.00    54  juicefs.v1.3.1
23:28:22        0    816986   34.00   27.00    0.00    0.00   61.00    54  juicefs.v1.3.1
