------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  378M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
55.8%  378M 8192K| 820  0.85     0     0 | 629  1.09 |   0     0 |   0     0 
 290%  978M  597M|5432  5.20     0   617M| 406  1.13 |   0     0 |   0    39M
68.5%  980M  599M| 973   127     0   120M|   2  1.70 |   0     0 |   0   113M
60.8%  980M  599M| 884   119     0   108M|   2  0.95 |   0     0 |   0   110M
55.5%  980M  598M| 902   165     0   111M|   1  1.00 |   0     0 |   0   111M
65.2%  980M  600M| 927   130     0   114M|   2  1.23 |   0     0 |   0   111M
72.7%  980M  593M| 892   138     0   109M|   1  1.34 |   0     0 |   0   111M
71.4%  980M  600M| 849   152     0   104M|   2  1.09 |   0     0 |   0   112M
71.2%  981M  598M| 885   141     0   109M|   1  1.24 |   0     0 |   0   110M
58.6%  981M  597M| 918   144     0   113M|   2  0.94 |   0     0 |   0   111M
56.1%  981M  600M| 903   134     0   111M|   4  2.92 |   0     0 |   0   111M
91.2%  984M  597M|1002   140     0   123M|  76  3.35 |   0     0 |   0   112M
85.4%  986M  600M| 823   148     0   101M|  54  3.30 |   0     0 |   0   112M
70.5%  986M  600M| 916   139     0   112M|   1  1.63 |   0     0 |   0   111M
68.2%  987M  598M| 891   133     0   109M|   2  0.92 |   0     0 |   0   112M
54.9%  988M  597M| 900   150     0   111M|   1  1.18 |   0     0 |   0   111M
73.9%  989M  600M| 991   141     0   121M|  50  2.81 |   0     0 |   0   111M
87.6%  991M  595M| 810   142     0    99M|  81  3.01 |   0     0 |   0   112M
74.9%  992M  598M| 924   138     0   113M|   2  2.40 |   0     0 |   0   111M
70.1%  993M  600M| 920   144     0   113M|   3  2.06 |   0     0 |   0   111M
63.2%  994M  592M| 852   138     0   104M|   2  2.33 |   0     0 |   0   112M
63.9%  996M  600M|1009   138     0   124M|  48  2.44 |   0     0 |   0   111M
80.5%  999M  598M| 883   143     0   108M|  74  2.91 |   0     0 |   0   111M
73.9% 1000M  598M| 875   155     0   107M|  10  2.98 |   0     0 |   0   111M
72.3% 1001M  600M| 931   137     0   114M|   2  1.10 |   0     0 |   0   112M
69.3% 1001M  598M| 882   140     0   108M|   2  2.77 |   0     0 |   0   111M
62.8% 1002M  599M| 948   134     0   116M|  29  2.61 |   0     0 |   0   111M
71.6% 1006M  598M| 935   135     0   115M|  80  2.50 |   0     0 |   0   111M
75.2% 1007M  594M| 823   153     0   101M|  23  3.18 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
75.2% 1008M  600M| 929   140     0   114M|   2  1.26 |   0     0 |   0   111M
71.6% 1009M  596M| 893   138     0   110M|   4  3.28 |   0     0 |   0   111M
72.7% 1011M  599M| 929   146     0   114M|  16  2.79 |   0     0 |   0   111M
71.8% 1015M  596M| 929   136     0   114M|  81  2.38 |   0     0 |   0   112M
68.3% 1017M  597M| 861   144     0   106M|  33  2.78 |   0     0 |   0   111M
71.6% 1019M  600M| 933   149     0   114M|   3  2.09 |   0     0 |   0   111M
72.9% 1019M  596M| 875   124     0   107M|   2  2.66 |   0     0 |   0   111M
72.1% 1019M  598M| 923   160     0   113M|  10  3.11 |   0     0 |   0   112M
79.6% 1022M  595M| 933   130     0   114M|  62  2.87 |   0     0 |   0   111M
67.4% 1024M  598M| 892   138     0   109M|  55  2.57 |   0     0 |   0   111M
70.8% 1025M  597M| 888   149     0   109M|   7  2.82 |   0     0 |   0   111M
75.6% 1025M  598M| 924   139     0   113M|   1  1.32 |   0     0 |   0   112M
76.0% 1027M  596M| 922   143     0   113M|   5  2.93 |   0     0 |   0   112M
86.2% 1030M  596M| 968   129     0   119M|  59  3.07 |   0     0 |   0   111M
68.7% 1034M  600M| 841   160     0   103M|  44  2.79 |   0     0 |   0   110M
62.6% 1035M  597M| 890   129     0   109M|  28  2.53 |   0     0 |   0   111M
74.1% 1036M  598M| 893   142     0   110M|   1  1.49 |   0     0 |   0   110M
73.6% 1038M  595M| 889   132     0   109M|   3  2.30 |   0     0 |   0   110M
83.5% 1039M  596M| 967   143     0   119M|  47  3.13 |   0     0 |   0   112M
88.8% 1042M  600M| 909   139     0   112M|  65  3.06 |   0     0 |   0   112M
64.3% 1045M  597M| 879   141     0   108M|  20  2.53 |   0     0 |   0   112M
95.9% 1046M  599M| 926   147     0   114M|   1  1.18 |   0     0 |   0   111M
72.8% 1047M  595M| 876   141     0   107M|   4  2.91 |   0     0 |   0   112M
81.2% 1047M  599M| 963   126     0   118M|  33  3.18 |   0     0 |   0   111M
83.1% 1048M  600M| 894   158     0   110M|  54  3.06 |   0     0 |   0   112M
73.9% 1048M  596M| 868   130     0   106M|  45  2.91 |   0     0 |   0   111M
58.8% 1048M  599M| 929   143     0   115M|   1  1.15 |   0     0 |   0   111M
69.8% 1048M  594M| 863   147     0   105M|   3  2.34 |   0     0 |   0   111M
82.0% 1048M  598M| 968   136     0   119M|  25  3.16 |   0     0 |   0   112M
86.7% 1048M  600M| 945   144     0   116M|  67  2.90 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
81.0% 1048M  597M| 836   147     0   102M|  38  3.14 |   0     0 |   0   111M
61.4% 1048M  600M| 933   134     0   115M|   4  2.53 |   0     0 |   0   111M
57.9% 1048M  594M| 862   144     0   106M|   5  2.27 |   0     0 |   0   111M
79.1% 1048M  599M| 952   133     0   117M|  21  3.14 |   0     0 |   0   111M
88.2% 1048M  600M| 925   146     0   114M|  67  3.09 |   0     0 |   0   112M
78.6% 1049M  597M| 869   140     0   106M|  43  2.91 |   0     0 |   0   111M
74.1% 1049M  599M| 912   145     0   112M|   6  3.46 |   0     0 |   0   112M
62.2% 1049M  599M| 920   131     0   113M|  10  2.47 |   0     0 |   0   112M
64.7% 1049M  597M| 901   122     0   110M|  13  2.64 |   0     0 |   0   112M
89.8% 1049M  597M| 936   172     0   115M|  65  3.10 |   0     0 |   0   111M
83.2% 1049M  600M| 915   124     0   112M|  43  3.11 |   0     0 |   0   111M
70.3% 1050M  594M| 845   158     0   104M|   9  3.31 |   0     0 |   0   110M
70.8% 1050M  598M| 933   143     0   114M|  13  3.13 |   0     0 |   0   112M
61.9% 1050M  595M| 878   134     0   108M|  19  2.77 |   0     0 |   0   111M
82.5% 1051M  598M| 950   142     0   117M|  49  3.13 |   0     0 |   0   112M
81.0% 1051M  599M| 916   139     0   112M|  39  3.17 |   0     0 |   0   112M
76.0% 1051M  596M| 873   141     0   107M|  24  3.36 |   0     0 |   0   111M
79.0% 1051M  598M| 905   128     0   111M|  17  3.34 |   0     0 |   0   111M
63.4% 1051M  599M| 942   149     0   116M|  20  2.97 |   0     0 |   0   111M
64.9% 1051M  599M| 911   139     0   112M|  35  2.78 |   0     0 |   0   112M
82.3% 1051M  599M| 915   145     0   112M|  45  3.16 |   0     0 |   0   111M
78.8% 1052M  598M| 899   137     0   110M|  30  3.32 |   0     0 |   0   111M
78.7% 1052M  599M| 930   127     0   114M|  23  3.38 |   0     0 |   0   112M
74.3% 1052M  600M| 899   160     0   110M|  22  3.01 |   0     0 |   0   112M
59.7% 1052M  599M| 923   128     0   113M|  31  2.56 |   0     0 |   0   111M
69.2% 1052M  599M| 902   138     0   111M|  35  2.78 |   0     0 |   0   112M
80.7% 1052M  600M| 919   140     0   113M|  31  3.25 |   0     0 |   0   111M
77.0% 1052M  596M| 871   143     0   107M|  20  3.23 |   0     0 |   0   111M
81.6% 1053M  599M| 955   150     0   117M|  26  3.21 |   0     0 |   0   112M
68.5% 1053M  596M| 873   139     0   107M|  29  2.86 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
64.2% 1054M  598M| 941   140     0   116M|  34  2.55 |   0     0 |   0   111M
78.1% 1054M  600M| 907   140     0   111M|  27  3.18 |   0     0 |   0   111M
77.3% 1054M  595M| 854   144     0   105M|  23  3.26 |   0     0 |   0   111M
76.1% 1055M  599M| 945   135     0   116M|  29  3.14 |   0     0 |   0   112M
75.7% 1056M  596M| 881   146     0   108M|  20  3.30 |   0     0 |   0   111M
65.3% 1057M  598M| 923   142     0   113M|  30  2.71 |   0     0 |   0   111M
73.5% 1059M  598M| 902   147     0   110M|  31  2.98 |   0     0 |   0   111M
77.1% 1059M  596M| 896   125     0   110M|  21  3.23 |   0     0 |   0   111M
80.3% 1062M  599M| 942   153     0   116M|  26  3.32 |   0     0 |   0   112M
76.5% 1063M  598M| 867   131     0   106M|  25  3.46 |   0     0 |   0   111M
73.2% 1065M  600M| 930   141     0   114M|  21  3.10 |   0     0 |   0   111M
65.4% 1070M  600M| 910   130     0   112M|  28  2.70 |   0     0 |   0   111M
84.4% 1082M  597M| 889   152     0   109M|  33  3.14 |   0     0 |   0   113M
91.7% 1089M  598M| 906   135     0   111M|  27  3.40 |   0     0 |   0   111M
86.5% 1092M  597M| 904   140     0   111M|  29  3.39 |   0     0 |   0   111M
80.5% 1093M  596M| 917   137     0   112M|  15  3.20 |   0     0 |   0   112M
82.0% 1096M  600M| 950   139     0   117M|  37  3.09 |   0     0 |   0   112M
70.8% 1099M  598M| 876   142     0   107M|  25  2.71 |   0     0 |   0   111M
83.3% 1100M  597M| 908   141     0   111M|  26  3.19 |   0     0 |   0   112M
85.3% 1102M  600M| 923   159     0   113M|  24  3.29 |   0     0 |   0   111M
78.1% 1104M  595M| 869   131     0   106M|  23  3.17 |   0     0 |   0   112M
84.5% 1105M  600M| 947   141     0   116M|  23  3.48 |   0     0 |   0   111M
67.1% 1108M  596M| 892   138     0   109M|  33  2.82 |   0     0 |   0   111M
70.7% 1110M  598M| 923   136     0   113M|  29  3.04 |   0     0 |   0   112M
79.0% 1111M  599M| 915   141     0   112M|  27  3.28 |   0     0 |   0   111M
74.5% 1112M  596M| 880   139     0   108M|  19  3.24 |   0     0 |   0   112M
78.8% 1114M  599M| 921   148     0   113M|  31  3.24 |   0     0 |   0   111M
76.5% 1116M  600M| 929   147     0   114M|  20  3.30 |   0     0 |   0   112M
62.7% 1116M  596M| 865   134     0   106M|  38  2.74 |   0     0 |   0   110M
75.0% 1118M  600M| 944   139     0   116M|  21  3.18 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
76.9% 1118M  595M| 858   138     0   105M|  26  3.39 |   0     0 |   0   112M
74.6% 1120M  597M| 921   139     0   113M|  18  3.51 |   0     0 |   0   111M
78.2% 1121M  599M| 944   150     0   116M|  32  3.15 |   0     0 |   0   111M
70.0% 1123M  596M| 855   130     0   105M|  28  2.96 |   0     0 |   0   111M
63.4% 1125M  599M| 935   138     0   115M|  26  2.74 |   0     0 |   0   111M
71.3% 1127M  600M| 930   155     0   114M|  26  3.02 |   0     0 |   0   111M
78.2% 1128M  598M| 877   130     0   108M|  22  3.38 |   0     0 |   0   112M
78.8% 1130M  599M| 940   147     0   115M|  28  3.27 |   0     0 |   0   112M
77.8% 1132M  597M| 893   139     0   109M|  28  3.28 |   0     0 |   0   110M
67.0% 1135M  599M| 910   135     0   112M|  31  2.86 |   0     0 |   0   111M
63.4% 1137M  593M| 861   151     0   105M|  26  2.76 |   0     0 |   0   111M
77.7% 1138M  597M| 944   142     0   116M|  19  3.58 |   0     0 |   0   111M
77.7% 1140M  600M| 928   125     0   114M|  23  3.21 |   0     0 |   0   111M
75.6% 1142M  595M| 865   152     0   106M|  36  3.05 |   0     0 |   0   111M
74.0% 1144M  599M| 932   140     0   114M|  29  3.21 |   0     0 |   0   111M
62.1% 1146M  600M| 911   135     0   112M|  34  2.57 |   0     0 |   0   111M
73.3% 1148M  598M| 884   144     0   108M|  20  3.20 |   0     0 |   0   111M
79.4% 1150M  598M| 915   148     0   112M|  27  3.35 |   0     0 |   0   112M
77.4% 1152M  596M| 885   135     0   108M|  29  3.16 |   0     0 |   0   111M
78.8% 1154M  598M| 932   146     0   115M|  32  3.29 |   0     0 |   0   112M
69.6% 1155M  600M| 918   143     0   113M|  29  2.91 |   0     0 |   0   111M
63.6% 1157M  596M| 886   127     0   109M|  21  2.65 |   0     0 |   0   112M
77.8% 1159M  599M| 927   146     0   114M|  20  3.17 |   0     0 |   0   111M
83.2% 1161M  598M| 919   134     0   113M|  39  3.28 |   0     0 |   0   112M
79.7% 1163M  599M| 926   151     0   114M|  39  3.25 |   0     0 |   0   111M
71.9% 1165M  600M| 879   135     0   108M|  26  3.15 |   0     0 |   0   110M
60.5% 1168M  598M| 901   139     0   111M|  21  2.55 |   0     0 |   0   111M
66.5% 1170M  599M| 900   152     0   110M|  23  2.84 |   0     0 |   0   111M
79.6% 1173M  596M| 895   135     0   110M|  34  3.22 |   0     0 |   0   112M
81.2% 1176M  596M| 899   142     0   110M|  30  3.34 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
81.9% 1179M  600M| 943   133     0   116M|  31  3.26 |   0     0 |   0   111M
