------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  288M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
59.5%  293M 8192K| 976  0.73     0     0 | 741  0.94 |   0     0 |   0     0 
 273%  927M  596M|5436  8.27     0   640M| 269  0.97 |   0     0 |   0    61M
69.9%  928M  600M| 927   139     0   114M|   1  1.21 |   0     0 |   0   108M
65.1%  929M  599M| 943   141     0   116M|   2  0.91 |   0     0 |   0   116M
64.7%  929M  598M| 899   118     0   110M|   1  0.97 |   0     0 |   0   111M
60.9%  929M  599M| 905   152     0   111M|   2  1.05 |   0     0 |   0   112M
62.9%  933M  600M| 864   158     0   106M|   2  1.11 |   0     0 |   0   111M
61.3%  933M  598M| 910   123     0   112M|   2  1.62 |   0     0 |   0   112M
69.5%  934M  598M| 887   128     0   109M|   2  1.27 |   0     0 |   0   111M
67.9%  935M  600M| 910   170     0   112M|   1  1.25 |   0     0 |   0   111M
61.5%  935M  596M| 882   139     0   108M|   7  2.54 |   0     0 |   0   111M
79.3%  937M  598M|1021   133     0   125M|  69  2.88 |   0     0 |   0   112M
69.4%  939M  597M| 811   140     0    99M|  59  2.68 |   0     0 |   0   111M
65.2%  940M  597M| 906   132     0   111M|   2  1.12 |   0     0 |   0   112M
69.0%  941M  600M| 936   161     0   115M|   2  2.53 |   0     0 |   0   111M
60.6%  941M  598M| 897   122     0   110M|   3  1.83 |   0     0 |   0   112M
76.4%  944M  598M| 982   141     0   121M|  73  2.65 |   0     0 |   0   112M
68.7%  947M  597M| 815   156     0   100M|  56  2.53 |   0     0 |   0   112M
59.4%  947M  599M| 912   133     0   112M|   1  0.94 |   0     0 |   0   110M
70.5%  948M  598M| 918   143     0   113M|   5  2.89 |   0     0 |   0   112M
63.5%  949M  597M| 894   141     0   110M|   1  1.29 |   0     0 |   0   112M
79.2%  952M  598M| 965   135     0   118M|  64  2.68 |   0     0 |   0   111M
74.2%  955M  600M| 896   154     0   110M|  63  2.61 |   0     0 |   0   112M
