------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  499M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 174%  694M  332M|3221  2.34     0   378M| 146  1.26 |   0     0 |   0    55M
91.5%  761M  400M|1486  10.4     0   184M|   2  0.96 |   0     0 |   0   115M
87.9%  833M  473M|1501  10.4     0   186M|   1  1.18 |   0     0 |   0   111M
73.3%  904M  550M|1502  10.3     0   186M|   2  0.93 |   0     0 |   0   111M
 114%  954M  599M|1296  11.9     0   160M|   2  1.26 |   0     0 |   0   110M
67.9%  954M  596M| 878  16.9     0   108M|   1  1.00 |   0     0 |   0   111M
68.0%  954M  599M| 936  17.2     0   115M|   3  1.45 |   0     0 |   0   112M
67.5%  954M  598M| 906  17.3     0   111M|   2  1.05 |   0     0 |   0   112M
62.4%  954M  600M| 917  17.5     0   113M|   1  0.80 |   0     0 |   0   111M
52.4%  954M  599M| 900  17.7     0   110M|   3  1.72 |   0     0 |   0   112M
68.7%  954M  597M| 892  17.0     0   109M|  16  3.27 |   0     0 |   0   111M
68.8%  954M  598M| 909  17.8     0   111M|   2  1.20 |   0     0 |   0   111M
68.0%  954M  600M| 917  16.8     0   113M|   2  1.16 |   0     0 |   0   110M
65.7%  955M  597M| 877  18.2     0   108M|   1  1.15 |   0     0 |   0   112M
58.7%  956M  600M| 928  16.7     0   114M|   2  0.82 |   0     0 |   0   111M
58.6%  956M  599M| 909  16.8     0   112M|  17  2.69 |   0     0 |   0   111M
63.7%  957M  597M| 886  18.5     0   109M|   3  1.54 |   0     0 |   0   111M
68.7%  957M  598M| 913  17.2     0   112M|   2  1.19 |   0     0 |   0   111M
68.1%  957M  596M| 895  17.1     0   110M|   4  3.82 |   0     0 |   0   112M
64.3%  957M  595M| 902  17.7     0   110M|   9  3.14 |   0     0 |   0   111M
54.3%  957M  599M| 931  16.9     0   115M|   9  2.56 |   0     0 |   0   111M
59.8%  957M  599M| 906  17.3     0   111M|   2  1.27 |   0     0 |   0   110M
69.4%  957M  599M| 892  17.3     0   109M|   2  1.05 |   0     0 |   0   111M
71.1%  957M  597M| 899  17.3     0   110M|   6  3.15 |   0     0 |   0   112M
68.6%  957M  599M| 925  17.1     0   113M|   8  3.35 |   0     0 |   0   111M
61.6%  957M  599M| 912  17.3     0   112M|   7  2.90 |   0     0 |   0   111M
52.0%  957M  599M| 893  17.7     0   110M|   2  1.28 |   0     0 |   0   110M
65.5%  957M  597M| 884  17.1     0   108M|   4  2.52 |   0     0 |   0   111M
71.5%  957M  599M| 927  17.4     0   114M|  11  3.43 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
68.8%  957M  599M| 918  16.6     0   113M|   6  2.78 |   0     0 |   0   112M
64.3%  957M  597M| 884  17.5     0   108M|   3  2.85 |   0     0 |   0   110M
56.9%  958M  598M| 918  17.5     0   113M|   2  0.92 |   0     0 |   0   111M
