------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  746M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 219%  959M  414M|3796  2.88     0   430M| 340  0.97 |   0     0 |   0    20M
 197% 1109M  601M|2374  51.8     0   295M| 461  12.4 |   0     0 |   0   111M
 163% 1111M  597M| 906   122     0   111M| 416  2.93 |   0     0 |   0   112M
 165% 1123M  600M| 916   151     0   112M| 419  2.84 |   0     0 |   0   112M
 150% 1134M  599M| 914   140     0   112M| 431  2.57 |   0     0 |   0   112M
 143% 1145M  590M| 837   149     0   102M| 426  2.36 |   0     0 |   0   112M
 171% 1161M  599M| 970   134     0   119M| 547  2.62 |   0     0 |   0   112M
 178% 1174M  596M| 889   135     0   109M| 496  2.85 |   0     0 |   0   110M
 166% 1185M  597M| 927   141     0   114M| 451  2.71 |   0     0 |   0   112M
 160% 1194M  592M| 844   150     0   103M| 443  2.71 |   0     0 |   0   110M
 155% 1206M  599M| 984   142     0   121M| 442  2.56 |   0     0 |   0   112M
 142% 1223M  595M| 861   139     0   105M| 455  2.35 |   0     0 |   0   110M
 260% 1239M  601M| 956   142     0   117M| 446  2.73 |   0     0 |   0   112M
 169% 1240M  598M| 892   134     0   109M| 450  2.78 |   0     0 |   0   112M
 169% 1241M  599M| 912   143     0   112M| 448  2.80 |   0     0 |   0   111M
 164% 1242M  596M| 877   135     0   107M| 451  2.70 |   0     0 |   0   112M
 156% 1242M  600M| 943   149     0   116M| 453  2.55 |   0     0 |   0   111M
 149% 1242M  595M| 866   133     0   106M| 443  2.49 |   0     0 |   0   112M
 161% 1242M  599M| 944   139     0   116M| 442  2.64 |   0     0 |   0   111M
 167% 1243M  597M| 898   143     0   110M| 451  2.80 |   0     0 |   0   112M
 172% 1243M  600M| 929   136     0   114M| 449  2.74 |   0     0 |   0   112M
 168% 1244M  599M| 910   141     0   111M| 447  2.76 |   0     0 |   0   112M
 144% 1244M  601M| 912   155     0   112M| 451  2.38 |   0     0 |   0   110M
 146% 1245M  598M| 873   132     0   107M| 448  2.43 |   0     0 |   0   112M
 169% 1259M  599M| 933   142     0   115M| 433  2.77 |   0     0 |   0   111M
 162% 1278M  597M| 886   130     0   109M| 458  2.70 |   0     0 |   0   111M
 169% 1296M  602M| 938   160     0   115M| 431  2.93 |   0     0 |   0   110M
 161% 1312M  597M| 867   140     0   106M| 451  2.67 |   0     0 |   0   111M
 142% 1331M  596M| 868   132     0   106M| 452  2.33 |   0     0 |   0   110M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 152% 1349M  600M| 945   152     0   116M| 438  2.58 |   0     0 |   0   111M
 166% 1368M  598M| 906   129     0   111M| 442  2.79 |   0     0 |   0   112M
 174% 1385M  600M| 907   143     0   111M| 461  2.88 |   0     0 |   0   112M
 160% 1404M  598M| 897   142     0   110M| 446  2.68 |   0     0 |   0   111M
 157% 1423M  599M| 918   145     0   113M| 450  2.56 |   0     0 |   0   112M
 148% 1441M  596M| 876   133     0   107M| 443  2.44 |   0     0 |   0   111M
 167% 1461M  599M| 956   146     0   117M| 449  2.73 |   0     0 |   0   112M
 170% 1479M  597M| 892   135     0   109M| 449  2.83 |   0     0 |   0   112M
 173% 1498M  599M| 920   136     0   113M| 454  2.84 |   0     0 |   0   111M
 158% 1517M  595M| 851   158     0   104M| 443  2.64 |   0     0 |   0   110M
 145% 1537M  597M| 928   142     0   114M| 437  2.43 |   0     0 |   0   110M
 154% 1556M  598M| 915   128     0   112M| 453  2.59 |   0     0 |   0   111M
 164% 1573M  590M| 858   156     0   103M| 448  2.75 |   0     0 |   0   112M
 171% 1592M  598M| 936   128     0   117M| 448  2.87 |   0     0 |   0   110M
 170% 1612M  597M| 902   141     0   111M| 449  2.71 |   0     0 |   0   111M
 162% 1635M  599M| 921   150     0   113M| 437  2.65 |   0     0 |   0   110M
 156% 1663M  598M| 906   137     0   111M| 458  2.47 |   0     0 |   0   111M
 171% 1685M  599M| 915   146     0   112M| 447  2.74 |   0     0 |   0   112M
 177% 1705M  592M| 842   138     0   103M| 439  2.94 |   0     0 |   0   111M
