------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  824M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 207%  843M   10M| 625  3.17    74M    0 |  11  0.73 |   0     0 |  76M    0 
 190%  852M   11M| 832  3.28   103M    0 |   7  0.81 |   0     0 | 102M    0 
 193%  858M   11M| 831  3.42   100M    0 |  11  0.87 |   0     0 | 102M    0 
 183%  865M   10M| 842  3.33   104M    0 |   7  0.98 |   0     0 | 103M    0 
 161%  870M   11M| 837  3.36   102M    0 |   5  0.84 |   0     0 | 103M    0 
 149%  877M   11M| 838  3.54   103M    0 |   7  0.71 |   0     0 | 102M    0 
 186%  884M   11M| 847  3.33   104M    0 |   4  0.87 |   0     0 | 104M    0 
 185%  890M   11M| 842  3.42   103M    0 |   7  0.88 |   0     0 | 104M    0 
 198%  896M   11M| 859  3.24   105M    0 |   9  0.96 |   0     0 | 105M    0 
 188%  903M   11M| 831  3.33   102M    0 |   5  0.87 |   0     0 | 102M    0 
 158%  911M   12M| 837  3.49   103M    0 |   9  0.79 |   0     0 | 103M    0 
 183%  918M   11M| 836  3.50   102M    0 |   6  0.65 |   0     0 | 102M    0 
 189%  919M   11M| 861  3.29   105M    0 |  11  0.81 |   0     0 | 105M    0 
 188%  920M   10M| 853  3.26   104M    0 |   4  1.02 |   0     0 | 105M    0 
 204%  920M   11M| 863  3.26   106M    0 |   5  1.11 |   0     0 | 105M    0 
 203%  920M   11M| 855  3.22   105M    0 |  10  0.79 |   0     0 | 105M    0 
 156%  920M   11M| 825  3.53   101M    0 |   8  0.67 |   0     0 | 101M    0 
 165%  920M   11M| 839  3.38   103M    0 |   5  0.78 |   0     0 | 103M    0 
 188%  920M   10M| 842  3.31   103M    0 |   5  0.92 |   0     0 | 104M    0 
 198%  920M   10M| 855  3.21   105M    0 |   6  0.83 |   0     0 | 103M    0 
 188%  920M   10M| 810  3.53    99M    0 |   8  0.82 |   0     0 | 100M    0 
 170%  920M   11M| 835  3.55   102M    0 |   5  0.80 |   0     0 | 101M    0 
 143%  920M   11M| 812  3.60    99M    0 |   3  0.69 |   0     0 |  99M    0 
 164%  920M   11M| 841  3.48   103M    0 |   9  0.82 |   0     0 | 103M    0 
 171%  920M   12M| 851  3.29   104M    0 |   9  0.97 |   0     0 | 104M    0 
 188%  920M   12M| 841  3.23   103M    0 |   9  0.96 |   0     0 | 103M    0 
 189%  920M   11M| 850  3.28   104M    0 |   6  0.95 |   0     0 | 104M    0 
 166%  920M   11M| 821  3.55   100M    0 |   6  0.67 |   0     0 | 100M    0 
 150%  920M   11M| 832  3.61   102M    0 |   5  0.60 |   0     0 | 102M    0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 179%  920M   11M| 835  3.49   102M    0 |   6  0.92 |   0     0 | 102M    0 
 179%  920M   11M| 825  3.47   101M    0 |   4  0.88 |   0     0 | 101M    0 
 195%  920M   11M| 834  3.28   102M    0 |   8  0.87 |   0     0 | 102M    0 
 183%  920M   11M| 830  3.31   102M    0 |   4  0.79 |   0     0 | 101M    0 
 148%  920M   11M| 829  3.46   101M    0 |   9  0.63 |   0     0 | 102M    0 
 154%  921M   10M| 836  3.44   103M    0 |   5  0.98 |   0     0 | 103M    0 
 158%  921M   12M| 821  3.31   100M    0 |   8  0.83 |   0     0 | 101M    0 
 176%  921M   11M| 853  3.10   104M    0 |   7  0.83 |   0     0 | 103M    0 
 183%  921M   12M| 830  3.35   102M    0 |   3  0.82 |   0     0 | 101M    0 
 182%  921M   11M| 859  3.28   105M    0 |   5  0.81 |   0     0 | 105M    0 
 143%  921M   10M| 825  3.54   100M    0 |   4  0.73 |   0     0 | 101M    0 
 171%  921M   11M| 838  3.43   104M    0 |   6  0.74 |   0     0 | 103M    0 
 162%  921M   11M| 843  3.33   103M    0 |  10  0.76 |   0     0 | 103M    0 
 193%  921M   11M| 833  3.44   102M    0 |   5  0.92 |   0     0 | 102M    0 
 196%  921M   11M| 836  3.40   102M    0 |   8  0.87 |   0     0 | 102M    0 
 153%  921M   11M| 811  3.63    99M    0 |   5  0.85 |   0     0 |  99M    0 
 152%  921M   11M| 810  3.67    99M    0 |   7  0.68 |   0     0 | 100M    0 
