Linux 5.15.0-181-generic (tikv-node) 	07/11/26 	_x86_64_	(64 CPU)

16:54:11      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
16:54:12        0   1201640   41.00   14.00    0.00    0.00   55.00     0  juicefs.v1.3.1
16:54:13        0   1201640  146.00  133.00    0.00    0.00  279.00     0  juicefs.v1.3.1
16:54:14        0   1201640   59.00   50.00    0.00    0.00  109.00     0  juicefs.v1.3.1
16:54:15        0   1201640   33.00   23.00    0.00    0.00   56.00     0  juicefs.v1.3.1
16:54:16        0   1201640   38.00   28.00    0.00    0.00   66.00     0  juicefs.v1.3.1
16:54:17        0   1201640   43.00   29.00    0.00    0.00   72.00     0  juicefs.v1.3.1
16:54:18        0   1201640   45.00   30.00    0.00    0.00   75.00     0  juicefs.v1.3.1
16:54:19        0   1201640   47.00   25.00    0.00    0.00   72.00     0  juicefs.v1.3.1
16:54:20        0   1201640   38.00   25.00    0.00    0.00   63.00     0  juicefs.v1.3.1
16:54:21        0   1201640   31.00   25.00    0.00    0.00   56.00     0  juicefs.v1.3.1
16:54:22        0   1201640   40.00   33.00    0.00    0.00   73.00     0  juicefs.v1.3.1
16:54:23        0   1201640   51.00   37.00    0.00    0.00   88.00     0  juicefs.v1.3.1
16:54:24        0   1201640   57.00   31.00    0.00    0.00   88.00     0  juicefs.v1.3.1
16:54:25        0   1201640   39.00   35.00    0.00    0.00   74.00     0  juicefs.v1.3.1
16:54:26        0   1201640   39.00   19.00    0.00    0.00   58.00     0  juicefs.v1.3.1
16:54:27        0   1201640   39.00   24.00    0.00    0.00   63.00     0  juicefs.v1.3.1
16:54:28        0   1201640   49.00   35.00    0.00    0.00   84.00     0  juicefs.v1.3.1
16:54:29        0   1201640   58.00   32.00    0.00    0.00   90.00     0  juicefs.v1.3.1
16:54:30        0   1201640   47.00   27.00    0.00    0.00   74.00     0  juicefs.v1.3.1
16:54:31        0   1201640   42.00   28.00    0.00    0.00   70.00     0  juicefs.v1.3.1
16:54:32        0   1201640   28.00   26.00    0.00    0.00   54.00     0  juicefs.v1.3.1
16:54:33        0   1201640   44.00   33.00    0.00    0.00   77.00     0  juicefs.v1.3.1
16:54:34        0   1201640   55.00   39.00    0.00    0.00   94.00     0  juicefs.v1.3.1
16:54:35        0   1201640   50.00   27.00    0.00    0.00   77.00     0  juicefs.v1.3.1
16:54:36        0   1201640   40.00   30.00    0.00    0.00   70.00     0  juicefs.v1.3.1
16:54:37        0   1201640   37.00   26.00    0.00    0.00   63.00     0  juicefs.v1.3.1
16:54:38        0   1201640   33.00   28.00    0.00    0.00   61.00     0  juicefs.v1.3.1
16:54:39        0   1201640   54.00   33.00    0.00    0.00   87.00     0  juicefs.v1.3.1
16:54:40        0   1201640   45.00   34.00    0.00    0.00   79.00     0  juicefs.v1.3.1
16:54:41        0   1201640   40.00   35.00    0.00    0.00   75.00     0  juicefs.v1.3.1
16:54:42        0   1201640   42.00   30.00    0.00    0.00   72.00     0  juicefs.v1.3.1
16:54:43        0   1201640   39.00   23.00    0.00    0.00   62.00     0  juicefs.v1.3.1
16:54:44        0   1201640   53.00   25.00    0.00    0.00   78.00     0  juicefs.v1.3.1
16:54:45        0   1201640   47.00   31.00    0.00    0.00   78.00     0  juicefs.v1.3.1
16:54:46        0   1201640   42.00   30.00    0.00    0.00   72.00     0  juicefs.v1.3.1
16:54:47        0   1201640   41.00   31.00    0.00    0.00   72.00     0  juicefs.v1.3.1
16:54:48        0   1201640   47.00   26.00    0.00    0.00   73.00     0  juicefs.v1.3.1
16:54:49        0   1201640   40.00   25.00    0.00    0.00   65.00     0  juicefs.v1.3.1
16:54:50        0   1201640   48.00   28.00    0.00    0.00   76.00     0  juicefs.v1.3.1
16:54:51        0   1201640   47.00   29.00    0.00    0.00   76.00     0  juicefs.v1.3.1
16:54:52        0   1201640   43.00   30.00    0.00    0.00   73.00     0  juicefs.v1.3.1
16:54:53        0   1201640   48.00   29.00    0.00    0.00   77.00     0  juicefs.v1.3.1
16:54:54        0   1201640   47.00   24.00    0.00    0.00   71.00     0  juicefs.v1.3.1
16:54:55        0   1201640   43.00   24.00    0.00    0.00   67.00     0  juicefs.v1.3.1
16:54:56        0   1201640   39.00   28.00    0.00    0.00   67.00     0  juicefs.v1.3.1
16:54:57        0   1201640   44.00   27.00    0.00    0.00   71.00     0  juicefs.v1.3.1
16:54:58        0   1201640   47.00   29.00    0.00    0.00   76.00     0  juicefs.v1.3.1
16:54:59        0   1201640   54.00   32.00    0.00    0.00   86.00     0  juicefs.v1.3.1
16:55:00        0   1201640   40.00   24.00    0.00    0.00   64.00     0  juicefs.v1.3.1
16:55:01        0   1201640   41.00   25.00    0.00    0.00   66.00     0  juicefs.v1.3.1
16:55:02        0   1201640   47.00   26.00    0.00    0.00   73.00     0  juicefs.v1.3.1
16:55:03        0   1201640   46.00   29.00    0.00    0.00   75.00     0  juicefs.v1.3.1
16:55:04        0   1201640   47.00   38.00    0.00    0.00   85.00     0  juicefs.v1.3.1
16:55:05        0   1201640   50.00   31.00    0.00    0.00   81.00     0  juicefs.v1.3.1
16:55:06        0   1201640   41.00   16.00    0.00    0.00   57.00     0  juicefs.v1.3.1
16:55:07        0   1201640   42.00   28.00    0.00    0.00   70.00     0  juicefs.v1.3.1
16:55:08        0   1201640   43.00   31.00    0.00    0.00   74.00     0  juicefs.v1.3.1
16:55:09        0   1201640   44.00   40.00    0.00    0.00   84.00     0  juicefs.v1.3.1
16:55:10        0   1201640   56.00   32.00    0.00    0.00   88.00     0  juicefs.v1.3.1
16:55:11        0   1201640   40.00   21.00    0.00    0.00   61.00     0  juicefs.v1.3.1
