Linux 5.15.0-181-generic (tikv-node) 	07/11/26 	_x86_64_	(64 CPU)

15:45:01      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:45:02        0   1201640  124.00   52.00    0.00    0.00  176.00     0  juicefs.v1.3.1
15:45:03        0   1201640  131.00  114.00    0.00    0.00  245.00     0  juicefs.v1.3.1
15:45:04        0   1201640   40.00   28.00    0.00    0.00   68.00     0  juicefs.v1.3.1
15:45:05        0   1201640   43.00   25.00    0.00    0.00   68.00     0  juicefs.v1.3.1
15:45:06        0   1201640   39.00   30.00    0.00    0.00   69.00     0  juicefs.v1.3.1
15:45:07        0   1201640   45.00   24.00    0.00    0.00   69.00     0  juicefs.v1.3.1
15:45:08        0   1201640   43.00   33.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:45:09        0   1201640   46.00   24.00    0.00    0.00   70.00     0  juicefs.v1.3.1
15:45:10        0   1201640   42.00   23.00    0.00    0.00   65.00     0  juicefs.v1.3.1
15:45:11        0   1201640   38.00   35.00    0.00    0.00   73.00     0  juicefs.v1.3.1
15:45:12        0   1201640   46.00   26.00    0.00    0.00   72.00     0  juicefs.v1.3.1
15:45:13        0   1201640   55.00   35.00    0.00    0.00   90.00     0  juicefs.v1.3.1
15:45:14        0   1201640   51.00   30.00    0.00    0.00   81.00     0  juicefs.v1.3.1
15:45:15        0   1201640   50.00   22.00    0.00    0.00   72.00     0  juicefs.v1.3.1
15:45:16        0   1201640   43.00   27.00    0.00    0.00   70.00     0  juicefs.v1.3.1
15:45:17        0   1201640   43.00   29.00    0.00    0.00   72.00     0  juicefs.v1.3.1
15:45:18        0   1201640   50.00   34.00    0.00    0.00   84.00     0  juicefs.v1.3.1
15:45:19        0   1201640   44.00   37.00    0.00    0.00   81.00     0  juicefs.v1.3.1
15:45:20        0   1201640   49.00   25.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:21        0   1201640   44.00   30.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:22        0   1201640   43.00   26.00    0.00    0.00   69.00     0  juicefs.v1.3.1
15:45:23        0   1201640   50.00   30.00    0.00    0.00   80.00     0  juicefs.v1.3.1
15:45:24        0   1201640   54.00   29.00    0.00    0.00   83.00     0  juicefs.v1.3.1
15:45:25        0   1201640   47.00   28.00    0.00    0.00   75.00     0  juicefs.v1.3.1
15:45:26        0   1201640   42.00   29.00    0.00    0.00   71.00     0  juicefs.v1.3.1
15:45:27        0   1201640   39.00   23.00    0.00    0.00   62.00     0  juicefs.v1.3.1
15:45:28        0   1201640   50.00   24.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:29        0   1201640   53.00   33.00    0.00    0.00   86.00     0  juicefs.v1.3.1
15:45:30        0   1201640   38.00   36.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:31        0   1201640   43.00   33.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:45:32        0   1201640   36.00   35.00    0.00    0.00   71.00     0  juicefs.v1.3.1
15:45:33        0   1201640   35.00   31.00    0.00    0.00   66.00     0  juicefs.v1.3.1
15:45:34        0   1201640   50.00   36.00    0.00    0.00   86.00     0  juicefs.v1.3.1
15:45:35        0   1201640   49.00   26.00    0.00    0.00   75.00     0  juicefs.v1.3.1
15:45:36        0   1201640   43.00   28.00    0.00    0.00   71.00     0  juicefs.v1.3.1
15:45:37        0   1201640   47.00   26.00    0.00    0.00   73.00     0  juicefs.v1.3.1
15:45:38        0   1201640   39.00   30.00    0.00    0.00   69.00     0  juicefs.v1.3.1
15:45:39        0   1201640   56.00   29.00    0.00    0.00   85.00     0  juicefs.v1.3.1
15:45:40        0   1201640   44.00   30.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:41        0   1201640   41.00   33.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:42        0   1201640   44.00   32.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:45:43        0   1201640   45.00   28.00    0.00    0.00   73.00     0  juicefs.v1.3.1
15:45:44        0   1201640   43.00   31.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:45        0   1201640   44.00   29.00    0.00    0.00   73.00     0  juicefs.v1.3.1
15:45:46        0   1201640   42.00   29.00    0.00    0.00   71.00     0  juicefs.v1.3.1
15:45:47        0   1201640   36.00   33.00    0.00    0.00   69.00     0  juicefs.v1.3.1
15:45:48        0   1201640   46.00   24.00    0.00    0.00   70.00     0  juicefs.v1.3.1
15:45:49        0   1201640   46.00   34.00    0.00    0.00   80.00     0  juicefs.v1.3.1
15:45:50        0   1201640   47.00   26.00    0.00    0.00   73.00     0  juicefs.v1.3.1
15:45:51        0   1201640   40.00   34.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:52        0   1201640   50.00   24.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:53        0   1201640   43.00   31.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:54        0   1201640   49.00   30.00    0.00    0.00   79.00     0  juicefs.v1.3.1
15:45:55        0   1201640   48.00   31.00    0.00    0.00   79.00     0  juicefs.v1.3.1
15:45:56        0   1201640   43.00   24.00    0.00    0.00   67.00     0  juicefs.v1.3.1
15:45:57        0   1201640   44.00   30.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:45:58        0   1201640   42.00   28.00    0.00    0.00   70.00     0  juicefs.v1.3.1
15:45:59        0   1201640   50.00   30.00    0.00    0.00   80.00     0  juicefs.v1.3.1
15:46:00        0   1201640   42.00   38.00    0.00    0.00   80.00     0  juicefs.v1.3.1
15:46:01        0   1201640   44.00   23.00    0.00    0.00   67.00     0  juicefs.v1.3.1
15:46:02        0   1201640   47.00   26.00    0.00    0.00   73.00     0  juicefs.v1.3.1
15:46:03        0   1201640   48.51   27.72    0.00    0.00   76.24     0  juicefs.v1.3.1
15:46:04        0   1201640   47.00   25.00    0.00    0.00   72.00     0  juicefs.v1.3.1
15:46:05        0   1201640   47.00   33.00    0.00    0.00   80.00     0  juicefs.v1.3.1
15:46:06        0   1201640   45.00   31.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:07        0   1201640   41.00   26.00    0.00    0.00   67.00     0  juicefs.v1.3.1
15:46:08        0   1201640   43.00   32.00    0.00    0.00   75.00     0  juicefs.v1.3.1
15:46:09        0   1201640   46.00   26.00    0.00    0.00   72.00     0  juicefs.v1.3.1
15:46:10        0   1201640   49.00   29.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:11        0   1201640   50.00   29.00    0.00    0.00   79.00     0  juicefs.v1.3.1
15:46:12        0   1201640   47.00   29.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:13        0   1201640   50.00   28.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:14        0   1201640   47.00   31.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:15        0   1201640   46.00   31.00    0.00    0.00   77.00     0  juicefs.v1.3.1
15:46:16        0   1201640   43.00   30.00    0.00    0.00   73.00     0  juicefs.v1.3.1
15:46:17        0   1201640   46.00   28.00    0.00    0.00   74.00     0  juicefs.v1.3.1
15:46:18        0   1201640   45.00   31.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:19        0   1201640   45.00   32.00    0.00    0.00   77.00     0  juicefs.v1.3.1
15:46:20        0   1201640   51.00   29.00    0.00    0.00   80.00     0  juicefs.v1.3.1
15:46:21        0   1201640   43.00   32.00    0.00    0.00   75.00     0  juicefs.v1.3.1
15:46:22        0   1201640   51.00   26.00    0.00    0.00   77.00     0  juicefs.v1.3.1
15:46:23        0   1201640   50.00   28.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:24        0   1201640   49.00   30.00    0.00    0.00   79.00     0  juicefs.v1.3.1
15:46:25        0   1201640   50.00   26.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:26        0   1201640   46.00   32.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:27        0   1201640   51.00   35.00    0.00    0.00   86.00     0  juicefs.v1.3.1
15:46:28        0   1201640   40.00   39.00    0.00    0.00   79.00     0  juicefs.v1.3.1
15:46:29        0   1201640   51.00   43.00    0.00    0.00   94.00     0  juicefs.v1.3.1
15:46:30        0   1201640   45.00   42.00    0.00    0.00   87.00     0  juicefs.v1.3.1
15:46:31        0   1201640   52.00   35.00    0.00    0.00   87.00     0  juicefs.v1.3.1
15:46:32        0   1201640   46.00   32.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:33        0   1201640   47.00   31.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:34        0   1201640   43.00   34.00    0.00    0.00   77.00     0  juicefs.v1.3.1
15:46:35        0   1201640   43.00   33.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:36        0   1201640   48.00   31.00    0.00    0.00   79.00     0  juicefs.v1.3.1
15:46:37        0   1201640   40.00   36.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:38        0   1201640   43.00   36.00    0.00    0.00   79.00     0  juicefs.v1.3.1
15:46:39        0   1201640   47.00   30.00    0.00    0.00   77.00     0  juicefs.v1.3.1
15:46:40        0   1201640   50.00   28.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:41        0   1201640   47.00   24.00    0.00    0.00   71.00     0  juicefs.v1.3.1
15:46:42        0   1201640   48.00   30.00    0.00    0.00   78.00     0  juicefs.v1.3.1
15:46:43        0   1201640   62.00   41.00    0.00    0.00  103.00     0  juicefs.v1.3.1
15:46:44        0   1201640   45.00   24.00    0.00    0.00   69.00     0  juicefs.v1.3.1
15:46:45        0   1201640   49.00   34.00    0.00    0.00   83.00     0  juicefs.v1.3.1
15:46:46        0   1201640   44.00   24.00    0.00    0.00   68.00     0  juicefs.v1.3.1
15:46:47        0   1201640   39.00   32.00    0.00    0.00   71.00     0  juicefs.v1.3.1
15:46:48        0   1201640   43.00   33.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:49        0   1201640   44.00   27.00    0.00    0.00   71.00     0  juicefs.v1.3.1
15:46:50        0   1201640   44.00   32.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:51        0   1201640   47.00   28.00    0.00    0.00   75.00     0  juicefs.v1.3.1
15:46:52        0   1201640   48.00   22.00    0.00    0.00   70.00     0  juicefs.v1.3.1
15:46:53        0   1201640   45.00   34.00    0.00    0.00   79.00     0  juicefs.v1.3.1
15:46:54        0   1201640   47.00   28.00    0.00    0.00   75.00     0  juicefs.v1.3.1
15:46:55        0   1201640   47.00   30.00    0.00    0.00   77.00     0  juicefs.v1.3.1
15:46:56        0   1201640   46.00   26.00    0.00    0.00   72.00     0  juicefs.v1.3.1
15:46:57        0   1201640   45.00   31.00    0.00    0.00   76.00     0  juicefs.v1.3.1
15:46:58        0   1201640   46.00   26.00    0.00    0.00   72.00     0  juicefs.v1.3.1
15:46:59        0   1201640   45.00   32.00    0.00    0.00   77.00     0  juicefs.v1.3.1
15:47:00        0   1201640   46.00   34.00    0.00    0.00   80.00     0  juicefs.v1.3.1
15:47:01        0   1201640   44.00   25.00    0.00    0.00   69.00     0  juicefs.v1.3.1
15:47:02        0   1201640   45.00   23.00    0.00    0.00   68.00     0  juicefs.v1.3.1
15:47:03        0   1201640   53.00   20.00    0.00    0.00   73.00     0  juicefs.v1.3.1
