Linux 5.15.0-181-generic (tikv-node) 	07/11/26 	_x86_64_	(64 CPU)

15:37:11      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
15:37:12        0   1201640   49.00   51.00    0.00    0.00  100.00     0  juicefs.v1.3.1
15:37:13        0   1201640   77.00   88.00    0.00    0.00  165.00     0  juicefs.v1.3.1
15:37:14        0   1201640   75.00   81.00    0.00    0.00  156.00     0  juicefs.v1.3.1
15:37:15        0   1201640   72.00   77.00    0.00    0.00  149.00     0  juicefs.v1.3.1
15:37:16        0   1201640   74.00   82.00    0.00    0.00  156.00     0  juicefs.v1.3.1
15:37:17        0   1201640   75.00   81.00    0.00    0.00  156.00     0  juicefs.v1.3.1
15:37:18        0   1201640   72.00   91.00    0.00    0.00  163.00     0  juicefs.v1.3.1
15:37:19        0   1201640   85.00   84.00    0.00    0.00  169.00     0  juicefs.v1.3.1
15:37:20        0   1201640   75.00   76.00    0.00    0.00  151.00     0  juicefs.v1.3.1
15:37:21        0   1201640   72.00   83.00    0.00    0.00  155.00     0  juicefs.v1.3.1
15:37:22        0   1201640   79.00   81.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:37:23        0   1201640   74.00   83.00    0.00    0.00  157.00     0  juicefs.v1.3.1
15:37:24        0   1201640   80.00   77.00    0.00    0.00  157.00     0  juicefs.v1.3.1
15:37:25        0   1201640   82.00   85.00    0.00    0.00  167.00     0  juicefs.v1.3.1
15:37:26        0   1201640   75.00   86.00    0.00    0.00  161.00     0  juicefs.v1.3.1
15:37:27        0   1201640   78.00   69.00    0.00    0.00  147.00     0  juicefs.v1.3.1
15:37:28        0   1201640   68.00   86.00    0.00    0.00  154.00     0  juicefs.v1.3.1
15:37:29        0   1201640   76.00   85.00    0.00    0.00  161.00     0  juicefs.v1.3.1
15:37:30        0   1201640   91.00   80.00    0.00    0.00  171.00     0  juicefs.v1.3.1
15:37:31        0   1201640   70.00   92.00    0.00    0.00  162.00     0  juicefs.v1.3.1
15:37:32        0   1201640   75.00   76.00    0.00    0.00  151.00     0  juicefs.v1.3.1
15:37:33        0   1201640   70.00   84.00    0.00    0.00  154.00     0  juicefs.v1.3.1
15:37:34        0   1201640   64.00   81.00    0.00    0.00  145.00     0  juicefs.v1.3.1
15:37:35        0   1201640   74.00   77.00    0.00    0.00  151.00     0  juicefs.v1.3.1
15:37:36        0   1201640   78.00   82.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:37:37        0   1201640   73.00   81.00    0.00    0.00  154.00     0  juicefs.v1.3.1
15:37:38        0   1201640   73.00   78.00    0.00    0.00  151.00     0  juicefs.v1.3.1
15:37:39        0   1201640   77.00   99.00    0.00    0.00  176.00     0  juicefs.v1.3.1
15:37:40        0   1201640   74.00   71.00    0.00    0.00  145.00     0  juicefs.v1.3.1
15:37:41        0   1201640   73.00   64.00    0.00    0.00  137.00     0  juicefs.v1.3.1
15:37:42        0   1201640   85.00   76.00    0.00    0.00  161.00     0  juicefs.v1.3.1
15:37:43        0   1201640   69.00   92.00    0.00    0.00  161.00     0  juicefs.v1.3.1
15:37:44        0   1201640   84.00   72.00    0.00    0.00  156.00     0  juicefs.v1.3.1
15:37:45        0   1201640   81.00   80.00    0.00    0.00  161.00     0  juicefs.v1.3.1
15:37:46        0   1201640   71.00   76.00    0.00    0.00  147.00     0  juicefs.v1.3.1
15:37:47        0   1201640   75.00   84.00    0.00    0.00  159.00     0  juicefs.v1.3.1
15:37:48        0   1201640   74.00   95.00    0.00    0.00  169.00     0  juicefs.v1.3.1
15:37:49        0   1201640   83.00   72.00    0.00    0.00  155.00     0  juicefs.v1.3.1
15:37:50        0   1201640   71.00   92.00    0.00    0.00  163.00     0  juicefs.v1.3.1
15:37:51        0   1201640   77.00   82.00    0.00    0.00  159.00     0  juicefs.v1.3.1
15:37:52        0   1201640   74.00   75.00    0.00    0.00  149.00     0  juicefs.v1.3.1
15:37:53        0   1201640   86.00   81.00    0.00    0.00  167.00     0  juicefs.v1.3.1
15:37:54        0   1201640   85.00   86.00    0.00    0.00  171.00     0  juicefs.v1.3.1
15:37:55        0   1201640   82.00   78.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:37:56        0   1201640   78.00   84.00    0.00    0.00  162.00     0  juicefs.v1.3.1
15:37:57        0   1201640   70.00   81.00    0.00    0.00  151.00     0  juicefs.v1.3.1
15:37:58        0   1201640   83.00   88.00    0.00    0.00  171.00     0  juicefs.v1.3.1
15:37:59        0   1201640   69.00   95.00    0.00    0.00  164.00     0  juicefs.v1.3.1
15:38:00        0   1201640   77.00   82.00    0.00    0.00  159.00     0  juicefs.v1.3.1
15:38:01        0   1201640   78.00   82.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:38:02        0   1201640   72.00   87.00    0.00    0.00  159.00     0  juicefs.v1.3.1
15:38:03        0   1201640   77.00   83.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:38:04        0   1201640   72.00   95.00    0.00    0.00  167.00     0  juicefs.v1.3.1
15:38:05        0   1201640   77.00   84.00    0.00    0.00  161.00     0  juicefs.v1.3.1
15:38:06        0   1201640   79.00   70.00    0.00    0.00  149.00     0  juicefs.v1.3.1
15:38:07        0   1201640   72.00   76.00    0.00    0.00  148.00     0  juicefs.v1.3.1
15:38:08        0   1201640   81.00   78.00    0.00    0.00  159.00     0  juicefs.v1.3.1
15:38:09        0   1201640   76.00   69.00    0.00    0.00  145.00     0  juicefs.v1.3.1
15:38:10        0   1201640   74.00   83.00    0.00    0.00  157.00     0  juicefs.v1.3.1
15:38:11        0   1201640   73.00   75.00    0.00    0.00  148.00     0  juicefs.v1.3.1
15:38:12        0   1201640   75.00   81.00    0.00    0.00  156.00     0  juicefs.v1.3.1
15:38:13        0   1201640   76.00   83.00    0.00    0.00  159.00     0  juicefs.v1.3.1
15:38:14        0   1201640   76.00   83.00    0.00    0.00  159.00     0  juicefs.v1.3.1
15:38:15        0   1201640   77.00   92.00    0.00    0.00  169.00     0  juicefs.v1.3.1
15:38:16        0   1201640   83.00   82.00    0.00    0.00  165.00     0  juicefs.v1.3.1
15:38:17        0   1201640   73.00   75.00    0.00    0.00  148.00     0  juicefs.v1.3.1
15:38:18        0   1201640   72.00   70.00    0.00    0.00  142.00     0  juicefs.v1.3.1
15:38:19        0   1201640   78.00   84.00    0.00    0.00  162.00     0  juicefs.v1.3.1
15:38:20        0   1201640   69.00   79.00    0.00    0.00  148.00     0  juicefs.v1.3.1
15:38:21        0   1201640   78.00   83.00    0.00    0.00  161.00     0  juicefs.v1.3.1
15:38:22        0   1201640   71.00   89.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:38:23        0   1201640   75.00   80.00    0.00    0.00  155.00     0  juicefs.v1.3.1
15:38:24        0   1201640   73.00   90.00    0.00    0.00  163.00     0  juicefs.v1.3.1
15:38:25        0   1201640   76.00   87.00    0.00    0.00  163.00     0  juicefs.v1.3.1
15:38:26        0   1201640   83.00   75.00    0.00    0.00  158.00     0  juicefs.v1.3.1
15:38:27        0   1201640   78.00   86.00    0.00    0.00  164.00     0  juicefs.v1.3.1
15:38:28        0   1201640   79.00   84.00    0.00    0.00  163.00     0  juicefs.v1.3.1
15:38:29        0   1201640   73.00   90.00    0.00    0.00  163.00     0  juicefs.v1.3.1
15:38:30        0   1201640   80.00   84.00    0.00    0.00  164.00     0  juicefs.v1.3.1
15:38:31        0   1201640   79.00   81.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:38:32        0   1201640   78.00   75.00    0.00    0.00  153.00     0  juicefs.v1.3.1
15:38:33        0   1201640   77.00   83.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:38:34        0   1201640   79.00   81.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:38:35        0   1201640   73.00   82.00    0.00    0.00  155.00     0  juicefs.v1.3.1
15:38:36        0   1201640   78.00   82.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:38:37        0   1201640   71.00   74.00    0.00    0.00  145.00     0  juicefs.v1.3.1
15:38:38        0   1201640   77.00   91.00    0.00    0.00  168.00     0  juicefs.v1.3.1
15:38:39        0   1201640   77.00   81.00    0.00    0.00  158.00     0  juicefs.v1.3.1
15:38:40        0   1201640   71.00   90.00    0.00    0.00  161.00     0  juicefs.v1.3.1
15:38:41        0   1201640   78.00   82.00    0.00    0.00  160.00     0  juicefs.v1.3.1
15:38:42        0   1201640   75.00   93.00    0.00    0.00  168.00     0  juicefs.v1.3.1
15:38:43        0   1201640  100.00   84.00    0.00    0.00  184.00     0  juicefs.v1.3.1
15:38:44        0   1201640   80.00   84.00    0.00    0.00  164.00     0  juicefs.v1.3.1
15:38:45        0   1201640   75.00   89.00    0.00    0.00  164.00     0  juicefs.v1.3.1
15:38:46        0   1201640   72.00   79.00    0.00    0.00  151.00     0  juicefs.v1.3.1
15:38:47        0   1201640   79.00   73.00    0.00    0.00  152.00     0  juicefs.v1.3.1
15:38:48        0   1201640   75.00   93.00    0.00    0.00  168.00     0  juicefs.v1.3.1
15:38:49        0   1201640   79.00   77.00    0.00    0.00  156.00     0  juicefs.v1.3.1
15:38:50        0   1201640   91.00   78.00    0.00    0.00  169.00     0  juicefs.v1.3.1
