Linux 5.15.0-181-generic (tikv-node) 	07/11/26 	_x86_64_	(64 CPU)

16:46:53      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
16:46:54        0   1201640   21.00    6.00    0.00    0.00   27.00     0  juicefs.v1.3.1
16:46:55        0   1201640  141.00   80.00    0.00    0.00  221.00     0  juicefs.v1.3.1
16:46:56        0   1201640  139.00   84.00    0.00    0.00  223.00     0  juicefs.v1.3.1
16:46:57        0   1201640  150.00   95.00    0.00    0.00  245.00     0  juicefs.v1.3.1
16:46:58        0   1201640  152.00  100.00    0.00    0.00  252.00     0  juicefs.v1.3.1
16:46:59        0   1201640  126.00   95.00    0.00    0.00  221.00     0  juicefs.v1.3.1
16:47:00        0   1201640  119.00   83.00    0.00    0.00  202.00     0  juicefs.v1.3.1
16:47:01        0   1201640  144.00   85.00    0.00    0.00  229.00     0  juicefs.v1.3.1
16:47:02        0   1201640  159.00  107.00    0.00    0.00  266.00     0  juicefs.v1.3.1
16:47:03        0   1201640  147.00  100.00    0.00    0.00  247.00     0  juicefs.v1.3.1
16:47:04        0   1201640  192.00   96.00    0.00    0.00  288.00     0  juicefs.v1.3.1
16:47:05        0   1201640  124.00   77.00    0.00    0.00  201.00     0  juicefs.v1.3.1
16:47:06        0   1201640  117.00   77.00    0.00    0.00  194.00     0  juicefs.v1.3.1
16:47:07        0   1201640  146.00  107.00    0.00    0.00  253.00     0  juicefs.v1.3.1
16:47:08        0   1201640  152.00   98.00    0.00    0.00  250.00     0  juicefs.v1.3.1
16:47:09        0   1201640  137.00  109.00    0.00    0.00  246.00     0  juicefs.v1.3.1
16:47:10        0   1201640  146.00   94.00    0.00    0.00  240.00     0  juicefs.v1.3.1
16:47:11        0   1201640  114.00   75.00    0.00    0.00  189.00     0  juicefs.v1.3.1
16:47:12        0   1201640  127.00   82.00    0.00    0.00  209.00     0  juicefs.v1.3.1
16:47:13        0   1201640  153.00   98.00    0.00    0.00  251.00     0  juicefs.v1.3.1
16:47:14        0   1201640  145.00   95.00    0.00    0.00  240.00     0  juicefs.v1.3.1
16:47:15        0   1201640  155.00   98.00    0.00    0.00  253.00     0  juicefs.v1.3.1
16:47:16        0   1201640  130.00   95.00    0.00    0.00  225.00     0  juicefs.v1.3.1
16:47:17        0   1201640  113.00   71.00    0.00    0.00  184.00     0  juicefs.v1.3.1
16:47:18        0   1201640  144.00   93.00    0.00    0.00  237.00     0  juicefs.v1.3.1
16:47:19        0   1201640  156.00  104.00    0.00    0.00  260.00     0  juicefs.v1.3.1
16:47:20        0   1201640  146.00   98.00    0.00    0.00  244.00     0  juicefs.v1.3.1
16:47:21        0   1201640  144.00   98.00    0.00    0.00  242.00     0  juicefs.v1.3.1
16:47:22        0   1201640  126.00   80.00    0.00    0.00  206.00     0  juicefs.v1.3.1
