------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  340M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
58.3%  340M 8192K| 834  0.87     0     0 | 637  1.12 |   0     0 |   0     0 
 320%  935M  603M|5427  5.17     0   618M| 396  1.19 |   0     0 |   0    34M
67.3%  935M  598M| 906  90.4     0   111M|   1  1.04 |   0     0 |   0   113M
56.6%  935M  599M| 935   166     0   115M|   2  1.03 |   0     0 |   0   111M
65.9%  935M  599M| 892   129     0   109M|   2  1.07 |   0     0 |   0   112M
72.7%  935M  599M| 901   134     0   111M|   1  1.36 |   0     0 |   0   111M
74.5%  937M  597M| 916   165     0   112M|   2  1.01 |   0     0 |   0   111M
71.3%  938M  594M| 788   149     0    96M|   1  1.40 |   0     0 |   0   112M
62.5%  940M  599M| 946   132     0   116M|   2  0.88 |   0     0 |   0   111M
58.4%  940M  600M| 914   139     0   112M|   5  2.60 |   0     0 |   0   111M
71.8%  941M  595M| 893   159     0   110M|   6  3.32 |   0     0 |   0   111M
91.6%  944M  598M|1003   132     0   123M|  63  3.18 |   0     0 |   0   111M
86.0%  948M  600M| 824   135     0   101M|  61  3.20 |   0     0 |   0   111M
71.6%  950M  596M| 876   152     0   107M|   2  1.08 |   0     0 |   0   111M
58.1%  950M  599M| 911   127     0   112M|   2  0.87 |   0     0 |   0   111M
62.9%  952M  592M| 874   158     0   107M|   4  2.74 |   0     0 |   0   112M
87.1%  954M  599M|1016   131     0   125M|  64  3.07 |   0     0 |   0   111M
88.5%  957M  599M| 858   139     0   105M|  63  3.19 |   0     0 |   0   112M
74.2%  959M  597M| 883   155     0   108M|   3  2.05 |   0     0 |   0   111M
67.3%  959M  599M| 938   136     0   115M|   2  0.80 |   0     0 |   0   111M
56.6%  960M  599M| 897   108     0   110M|   7  2.60 |   0     0 |   0   111M
79.1%  962M  595M| 896   160     0   110M|  35  3.02 |   0     0 |   0   111M
92.7%  964M  599M| 930   145     0   114M|  85  3.15 |   0     0 |   0   111M
75.0%  965M  594M| 849   145     0   104M|   8  2.59 |   0     0 |   0   111M
71.4%  966M  599M| 954   140     0   117M|   3  2.02 |   0     0 |   0   112M
61.2%  967M  598M| 917   146     0   113M|  11  2.68 |   0     0 |   0   110M
64.3%  969M  598M| 895   136     0   110M|  36  2.79 |   0     0 |   0   111M
87.0%  973M  600M| 853   153     0   105M|  73  3.01 |   0     0 |   0   112M
77.4%  974M  595M| 919   137     0   113M|  13  2.77 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
74.2%  975M  599M| 937   136     0   115M|   2  1.18 |   0     0 |   0   112M
71.6%  977M  593M| 869   155     0   107M|   5  3.22 |   0     0 |   0   111M
63.8%  979M  599M| 958   139     0   118M|  31  2.47 |   0     0 |   0   111M
77.6%  983M  596M| 877   135     0   108M|  76  2.72 |   0     0 |   0   111M
79.2%  984M  599M| 928   145     0   114M|  23  2.96 |   0     0 |   0   112M
70.3%  985M  598M| 905   127     0   111M|   2  1.15 |   0     0 |   0   111M
73.0%  985M  596M| 881   150     0   108M|   2  2.66 |   0     0 |   0   111M
71.3%  987M  599M| 946   140     0   116M|  24  2.82 |   0     0 |   0   111M
66.7%  992M  596M| 875   139     0   107M|  71  2.36 |   0     0 |   0   111M
76.1%  994M  600M| 912   137     0   112M|  37  2.68 |   0     0 |   0   111M
73.9%  995M  600M| 922   153     0   113M|   2  1.13 |   0     0 |   0   112M
73.6%  996M  599M| 898   118     0   110M|   2  1.62 |   0     0 |   0   111M
77.1%  997M  597M| 895   134     0   110M|  15  3.33 |   0     0 |   0   112M
70.5% 1001M  600M| 973   160     0   120M|  68  2.50 |   0     0 |   0   111M
65.7% 1003M  594M| 822   146     0   101M|  49  2.44 |   0     0 |   0   111M
