------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  953M 2560K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 114%  954M 8448K| 659  35.1    73M    0 |  91  0.67 |   0     0 |  73M    0 
 163%  954M 8192K| 918  39.7   111M    0 |  17  0.87 |   0     0 | 111M    0 
 156%  954M 8576K| 921  39.3   111M    0 |  18  0.80 |   0     0 | 111M    0 
 148%  954M 8704K| 917  40.1   110M    0 |  19  0.87 |   0     0 | 110M    0 
 157%  955M 8448K| 927  39.3   112M    0 |  17  0.81 |   0     0 | 112M    0 
 158%  955M 8064K| 922  39.8   111M    0 |  18  0.83 |   0     0 | 111M    0 
 163%  955M 8192K| 926  39.0   112M    0 |  17  0.85 |   0     0 | 112M    0 
 167%  955M 8320K| 922  39.8   111M    0 |  18  0.90 |   0     0 | 111M    0 
 153%  955M 8064K| 921  39.6   111M    0 |  20  0.86 |   0     0 | 111M    0 
 156%  955M 8320K| 918  39.5   111M    0 |  49  0.84 |   0     0 | 111M    0 
 158%  956M 8064K| 925  39.5   111M    0 |  22  0.87 |   0     0 | 111M    0 
 156%  956M 8192K| 922  39.4   112M    0 |  17  0.79 |   0     0 | 112M    0 
 158%  956M 8064K| 926  39.1   111M    0 |  18  0.94 |   0     0 | 111M    0 
 166%  956M 8192K| 923  39.9   111M    0 |  19  0.89 |   0     0 | 111M    0 
 161%  956M 8704K| 919  39.0   111M    0 |  17  0.84 |   0     0 | 111M    0 
 149%  956M 8448K| 927  39.3   111M    0 |  18  0.90 |   0     0 | 111M    0 
 154%  956M 8064K| 915  39.3   111M    0 |  16  0.81 |   0     0 | 110M    0 
 162%  956M 8704K| 926  38.8   112M    0 |  21  0.93 |   0     0 | 112M    0 
 171%  956M 8064K| 925  38.8   111M    0 |  36  0.92 |   0     0 | 111M    0 
 159%  956M 8320K| 920  39.7   112M    0 |  25  0.85 |   0     0 | 112M    0 
 152%  956M 8576K| 915  40.0   110M    0 |  19  0.87 |   0     0 | 110M    0 
 156%  956M 7808K| 922  39.8   111M    0 |  13  0.85 |   0     0 | 111M    0 
 141%  956M 8960K| 917  39.7   111M    0 |  15  0.84 |   0     0 | 111M    0 
 155%  956M 8192K| 929  39.1   112M    0 |  18  0.88 |   0     0 | 112M    0 
 157%  956M 8832K| 918  39.4   111M    0 |  17  0.97 |   0     0 | 111M    0 
 156%  957M 8064K| 920  39.2   111M    0 |  17  0.86 |   0     0 | 111M    0 
 153%  958M 8576K| 918  39.4   111M    0 |  19  0.89 |   0     0 | 111M    0 
 172%  960M 7808K| 924  39.1   111M    0 |  39  0.94 |   0     0 | 111M    0 
 145%  961M 8448K| 922  39.6   111M    0 |  21  0.80 |   0     0 | 111M    0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 139%  963M 8448K| 924  39.0   111M    0 |  19  0.82 |   0     0 | 112M    0 
 161%  965M 7936K| 922  39.5   111M    0 |  20  0.88 |   0     0 | 111M    0 
 160%  969M 8320K| 916  39.4   110M    0 |  17  0.82 |   0     0 | 110M    0 
 157%  972M 8576K| 927  39.5   111M    0 |  18  0.85 |   0     0 | 111M    0 
