------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1152M 2560K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 116% 1159M  336M|3367  2.56     0   397M| 146  0.98 |   0     0 |   0    62M
86.7% 1161M  409M|1485  10.3     0   184M|   1  1.16 |   0     0 |   0   112M
75.1% 1162M  483M|1502  10.3     0   186M|   3  1.21 |   0     0 |   0   112M
77.1% 1164M  555M|1485  10.3     0   184M|   1  1.01 |   0     0 |   0   112M
79.5% 1165M  598M|1262  12.4     0   156M|   2  1.09 |   0     0 |   0   112M
64.9% 1166M  596M| 882  17.8     0   108M|   2  0.81 |   0     0 |   0   111M
61.6% 1166M  598M| 910  16.4     0   111M|   1  1.53 |   0     0 |   0   110M
66.5% 1167M  599M| 925  17.5     0   113M|   2  0.82 |   0     0 |   0   112M
55.8% 1167M  598M| 902  17.1     0   111M|   1  1.23 |   0     0 |   0   111M
65.7% 1168M  600M| 900  18.0     0   110M|   7  2.76 |   0     0 |   0   111M
68.8% 1169M  600M| 912  17.1     0   112M|  13  3.03 |   0     0 |   0   111M
64.8% 1170M  598M| 889  17.3     0   109M|   1  1.11 |   0     0 |   0   111M
59.2% 1170M  598M| 909  17.4     0   111M|   3  1.37 |   0     0 |   0   112M
60.1% 1170M  598M| 895  17.1     0   110M|   1  1.28 |   0     0 |   0   111M
64.0% 1171M  595M| 884  17.9     0   108M|   2  1.09 |   0     0 |   0   111M
68.1% 1172M  597M| 931  17.5     0   114M|  18  2.99 |   0     0 |   0   111M
66.7% 1174M  597M| 903  16.6     0   111M|   1  1.27 |   0     0 |   0   111M
66.6% 1174M  599M| 918  17.6     0   113M|   2  1.13 |   0     0 |   0   111M
 148% 1178M  595M| 879  17.0     0   108M|   4  3.32 |   0     0 |   0   111M
64.8% 1179M  598M| 942  17.7     0   116M|  11  3.00 |   0     0 |   0   112M
64.3% 1179M  599M| 911  17.0     0   112M|   6  3.05 |   0     0 |   0   112M
64.9% 1180M  600M| 908  17.1     0   111M|   2  2.53 |   0     0 |   0   111M
55.6% 1180M  598M| 904  17.1     0   111M|   3  1.20 |   0     0 |   0   112M
69.7% 1185M  597M| 900  17.6     0   111M|   6  3.50 |   0     0 |   0   111M
78.9% 1187M  598M| 921  16.8     0   113M|  11  3.20 |   0     0 |   0   112M
66.9% 1189M  600M| 914  17.8     0   112M|   5  2.48 |   0     0 |   0   111M
78.2% 1189M  599M| 901  17.4     0   111M|   2  2.43 |   0     0 |   0   111M
78.2% 1189M  592M| 852  17.0     0   104M|   4  2.31 |   0     0 |   0   112M
74.6% 1189M  597M| 952  17.1     0   117M|   8  3.00 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
