------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0% 1624M 8192K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
34.7% 1624M   22M| 425  1.01     0    10M| 348  1.29 |   0     0 |   0  1280K
 205% 1636M   52M|1406  68.4    58M   78M| 908  1.36 |   0     0 |  70M   89M
 216% 1641M   54M|1339  97.3    73M   68M| 734  1.49 |   0     0 |  88M   82M
 252% 1642M   52M|1369  96.4    78M   68M| 762  1.68 |   0     0 |  93M   84M
 281% 1644M   50M|1374  92.8    72M   75M| 756  1.95 |   0     0 |  83M   88M
 219% 1644M   53M|1353  94.9    75M   69M| 733  1.58 |   0     0 |  89M   81M
 222% 1644M   57M|1427  85.2    75M   79M| 755  1.60 |   0     0 |  87M   87M
 210% 1644M   48M|1424  93.8    77M   76M| 829  1.44 |   0     0 |  88M   96M
 227% 1644M   54M|1410  88.2    75M   76M| 750  1.65 |   0     0 |  86M   82M
 271% 1644M   51M|1560  86.6    78M   89M| 870  1.91 |   0     0 |  91M  103M
 235% 1644M   50M|1325  91.9    73M   69M| 737  1.80 |   0     0 |  86M   85M
 237% 1644M   52M|1385  93.3    75M   72M| 763  1.64 |   0     0 |  88M   83M
 215% 1644M   50M|1330  98.3    75M   66M| 738  1.51 |   0     0 |  88M   80M
 216% 1644M   53M|1309  95.2    74M   65M| 709  1.55 |   0     0 |  89M   77M
 240% 1644M   48M|1337  97.4    73M   71M| 758  1.75 |   0     0 |  88M   91M
 244% 1644M   53M|1447  88.4    73M   83M| 777  1.81 |   0     0 |  84M   89M
 220% 1644M   49M|1338  97.3    74M   69M| 749  1.62 |   0     0 |  88M   86M
 238% 1644M   54M|1440  86.1    76M   80M| 762  1.70 |   0     0 |  88M   87M
 211% 1644M   48M|1342  97.4    74M   70M| 770  1.57 |   0     0 |  87M   90M
 225% 1644M   52M|1487  87.3    80M   79M| 781  1.54 |   0     0 |  90M   85M
 244% 1644M   50M|1443  87.0    80M   74M| 820  1.71 |   0     0 |  89M   86M
 248% 1645M   50M|1399  90.4    79M   72M| 746  1.86 |   0     0 |  90M   82M
 253% 1645M   54M|1479  88.4    75M   85M| 796  1.76 |   0     0 |  89M   95M
 240% 1645M   54M|1388  91.5    73M   76M| 765  1.73 |   0     0 |  87M   90M
 213% 1645M   53M|1399  89.0    78M   73M| 776  1.44 |   0     0 |  89M   85M
 221% 1645M   54M|1518  85.0    79M   84M| 821  1.49 |   0     0 |  88M   93M
 240% 1645M   55M|1390  87.9    76M   74M| 768  1.80 |   0     0 |  87M   85M
 251% 1645M   52M|1392  88.8    80M   69M| 768  1.75 |   0     0 |  90M   83M
 246% 1645M   53M|1370  97.1    78M   70M| 742  1.71 |   0     0 |  91M   82M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 241% 1645M   54M|1403  87.4    78M   72M| 760  1.62 |   0     0 |  92M   85M
 216% 1645M   55M|1415  92.7    77M   73M| 766  1.47 |   0     0 |  89M   83M
 233% 1645M   54M|1465  93.3    74M   82M| 829  1.62 |   0     0 |  88M   98M
 250% 1645M   50M|1378  91.9    75M   73M| 774  1.91 |   0     0 |  88M   89M
 245% 1645M   53M|1404  87.6    76M   75M| 751  1.79 |   0     0 |  88M   85M
 253% 1649M   51M|1542  80.7    74M   92M| 857  1.82 |   0     0 |  84M  105M
 267% 1666M   52M|1382  95.9    69M   79M| 765  1.70 |   0     0 |  82M   91M
 211% 1672M   50M|1396  90.4    68M   81M| 780  1.60 |   0     0 |  79M   94M
 244% 1675M   55M|1425  87.6    78M   73M| 769  1.65 |   0     0 |  93M   82M
 253% 1676M   54M|1453  92.4    77M   78M| 809  1.76 |   0     0 |  89M   90M
 228% 1676M   52M|1323  93.2    72M   70M| 732  1.76 |   0     0 |  83M   83M
 367%  534M   49M|1408  93.1    78M   73M| 790  1.87 |   0     0 |  89M   87M
 200%  534M   51M|1388  89.9    77M   72M| 747  1.41 |   0     0 |  88M   80M
 232%  534M   52M|1445  91.1    74M   81M| 794  1.62 |   0     0 |  87M   93M
 251%  534M   53M|1468  85.9    74M   84M| 798  1.84 |   0     0 |  88M   96M
 273%  510M   51M|1383  91.3    74M   74M| 769  1.89 |   0     0 |  86M   89M
 226%  510M   51M|1393  93.8    76M   74M| 761  1.64 |   0     0 |  86M   84M
 236%  510M   51M|1402  92.0    81M   71M| 755  1.60 |   0     0 |  93M   82M
 200%  510M   55M|1404  85.0    74M   77M| 758  1.48 |   0     0 |  86M   85M
 255%  504M   54M|1343   101    75M   69M| 733  1.71 |   0     0 |  89M   85M
 251%  504M   51M|1338  92.1    79M   64M| 740  1.74 |   0     0 |  93M   81M
 248%  504M   57M|1404  93.6    73M   77M| 737  1.75 |   0     0 |  86M   83M
 245%  504M   48M|1376  93.7    79M   70M| 785  1.70 |   0     0 |  90M   89M
 248%  504M   49M|1423  88.7    76M   76M| 776  1.52 |   0     0 |  90M   89M
 232%  504M   53M|1378  94.6    76M   73M| 734  1.60 |   0     0 |  88M   81M
 234%  504M   54M|1351  89.8    74M   71M| 736  1.69 |   0     0 |  88M   83M
 247%  504M   50M|1379  95.0    76M   71M| 770  1.70 |   0     0 |  89M   87M
 274%  504M   49M|1373  92.9    81M   66M| 760  1.66 |   0     0 |  94M   80M
 226%  504M   50M|1345  96.2    72M   74M| 732  1.75 |   0     0 |  84M   85M
 228%  504M   52M|1440  88.4    78M   79M| 766  1.51 |   0     0 |  89M   87M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 202%  504M   51M|1374  91.8    75M   71M| 769  1.48 |   0     0 |  87M   85M
 269%  504M   54M|1414  90.7    77M   75M| 763  1.75 |   0     0 |  88M   83M
 242%  505M   56M|1382  96.1    78M   71M| 731  1.75 |   0     0 |  91M   81M
 239%  505M   50M|1424  87.3    81M   73M| 811  1.64 |   0     0 |  90M   88M
 225%  505M   57M|1438  88.2    77M   78M| 744  1.62 |   0     0 |  87M   82M
 228%  505M   54M|1404  91.3    80M   71M| 791  1.43 |   0     0 |  92M   86M
 235%  507M   51M|1391  92.6    72M   77M| 782  1.62 |   0     0 |  87M   95M
 254%  507M   57M|1496  82.5    76M   85M| 783  1.79 |   0     0 |  88M   91M
 256%  510M   51M|1327   100    72M   71M| 769  1.85 |   0     0 |  89M   91M
 258%  511M   51M|1485  83.9    76M   85M| 809  1.85 |   0     0 |  88M   99M
 245%  511M   51M|1395  91.0    74M   75M| 773  1.59 |   0     0 |  86M   87M
 219%  512M   51M|1341  97.3    77M   66M| 734  1.43 |   0     0 |  93M   82M
 227%  512M   53M|1393  90.5    75M   73M| 751  1.61 |   0     0 |  89M   84M
 251%  512M   55M|1422  87.8    75M   76M| 798  1.81 |   0     0 |  87M   86M
 249%  509M   56M|1349  96.2    76M   68M| 728  1.72 |   0     0 |  90M   81M
 219%  509M   57M|1433  88.0    76M   80M| 778  1.68 |   0     0 |  86M   90M
 237%  509M   52M|1512  89.6    79M   84M| 856  1.65 |   0     0 |  90M  100M
 203%  509M   54M|1344  91.6    75M   69M| 733  1.44 |   0     0 |  88M   81M
 263%  510M   50M|1438  88.5    76M   79M| 803  1.79 |   0     0 |  88M   95M
 248%  510M   51M|1429  91.4    79M   76M| 752  1.87 |   0     0 |  89M   86M
 251%  510M   49M|1459  89.1    80M   77M| 806  1.69 |   0     0 |  92M   91M
 228%  510M   51M|1428  87.4    78M   76M| 782  1.59 |   0     0 |  88M   85M
 231%  502M   52M|1433  88.9    80M   74M| 771  1.45 |   0     0 |  91M   84M
 221%  502M   50M|1470  87.8    75M   84M| 814  1.52 |   0     0 |  86M   97M
 267%  502M   56M|1575  81.4    77M   93M| 825  1.86 |   0     0 |  90M  100M
 256%  503M   56M|1378  89.5    74M   73M| 767  1.74 |   0     0 |  86M   86M
 204%  503M   53M|1409  90.7    74M   79M| 770  1.58 |   0     0 |  83M   91M
 220%  503M   51M|1415  90.9    80M   72M| 789  1.56 |   0     0 |  90M   85M
 220%  503M   54M|1455  90.6    78M   77M| 777  1.46 |   0     0 |  91M   87M
 233%  504M   49M|1449  82.1    74M   82M| 827  1.65 |   0     0 |  86M   99M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 252%  505M   60M|1339  98.1    67M   77M| 679  1.90 |   0     0 |  82M   81M
 258%  506M   53M|1487  88.5    80M   79M| 844  1.81 |   0     0 |  91M   97M
 235%  507M   49M|1449  88.1    76M   82M| 804  1.74 |   0     0 |  87M   97M
 239%  507M   57M|1497  83.3    81M   82M| 777  1.62 |   0     0 |  91M   84M
 241%  508M   50M|1495  89.1    76M   84M| 850  1.57 |   0     0 |  86M  101M
 232%  509M   52M|1403  87.3    74M   76M| 760  1.77 |   0     0 |  85M   85M
 240%  509M   55M|1384  90.7    77M   70M| 739  1.64 |   0     0 |  93M   82M
 230%  509M   53M|1443  92.0    73M   83M| 822  1.75 |   0     0 |  84M   96M
 252%  512M   52M|1471  86.9    79M   80M| 784  1.68 |   0     0 |  91M   93M
 222%  512M   54M|1515  84.7    74M   87M| 833  1.50 |   0     0 |  86M   97M
 216%  512M   50M|1364  95.5    73M   75M| 765  1.60 |   0     0 |  83M   89M
 260%  514M   55M|1536  77.6    76M   92M| 816  1.85 |   0     0 |  89M   99M
 256%  514M   59M|1307  98.3    74M   65M| 681  1.76 |   0     0 |  88M   75M
 241%  514M   60M|1519  88.3    76M   89M| 830  1.71 |   0     0 |  85M   99M
 215%  514M   54M|1364  88.7    75M   72M| 766  1.59 |   0     0 |  86M   88M
 212%  514M   50M|1402  94.5    76M   73M| 805  1.49 |   0     0 |  88M   90M
 246%  514M   56M|1406  89.0    77M   73M| 742  1.55 |   0     0 |  91M   81M
 254%  514M   50M|1339  98.7    73M   71M| 765  1.82 |   0     0 |  87M   92M
 239%  514M   50M|1379  91.1    76M   72M| 742  1.89 |   0     0 |  90M   86M
 252%  514M   57M|1454  87.6    80M   76M| 760  1.68 |   0     0 |  93M   83M
 243%  509M   53M|1393  89.5    73M   77M| 802  1.66 |   0     0 |  87M   95M
 219%  509M   55M|1447  88.4    77M   79M| 792  1.54 |   0     0 |  93M   94M
 225%  509M   50M|1341  96.7    71M   74M| 746  1.78 |   0     0 |  84M   91M
 269%  509M   52M|1505  87.7    80M   80M| 822  1.86 |   0     0 |  90M   89M
 282%  509M   60M|1476  83.4    82M   77M| 764  1.61 |   0     0 |  94M   82M
 240%  509M   52M|1320  95.4    73M   68M| 766  1.74 |   0     0 |  85M   88M
 207%  509M   51M|1418  91.6    73M   79M| 769  1.48 |   0     0 |  86M   92M
 202%  509M   57M|1374  90.1    77M   72M| 719  1.47 |   0     0 |  87M   75M
 280%  501M   56M|1357  95.6    79M   67M| 749  1.77 |   0     0 |  89M   79M
 265%  501M   56M|1491  87.6    82M   79M| 812  1.83 |   0     0 |  92M   89M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 252%  501M   51M|1491  87.7    80M   81M| 844  1.66 |   0     0 |  92M   98M
 215%  501M   52M|1397  90.4    74M   77M| 767  1.49 |   0     0 |  87M   89M
 243%  501M   56M|1512  84.8    84M   79M| 793  1.42 |   0     0 |  93M   84M
 237%  501M   57M|1497  85.8    75M   85M| 816  1.73 |   0     0 |  86M   95M
 247%  501M   52M|1395  90.7    75M   76M| 793  1.82 |   0     0 |  85M   91M
 249%  501M   51M|1369  89.4    77M   70M| 744  1.75 |   0     0 |  91M   86M
 246%  501M   55M|1471  89.3    77M   81M| 789  1.54 |   0     0 |  89M   88M
 210%  502M   60M|1408  84.7    74M   77M| 757  1.58 |   0     0 |  87M   86M
 216%  502M   54M|1367  95.6    76M   71M| 772  1.45 |   0     0 |  90M   90M
 237%  502M   50M|1479  82.8    73M   86M| 829  1.71 |   0     0 |  82M   99M
 277%  502M   53M|1406  98.5    78M   70M| 768  1.76 |   0     0 |  91M   81M
 233%  503M   49M|1421  91.3    75M   78M| 797  1.73 |   0     0 |  89M   97M
 231%  503M   49M|1447  85.7    75M   82M| 781  1.69 |   0     0 |  88M   95M
 210%  505M   55M|1447  89.6    72M   82M| 770  1.52 |   0     0 |  84M   88M
 220%  505M   54M|1302  99.9    70M   70M| 711  1.53 |   0     0 |  85M   87M
 241%  505M   56M|1409  87.6    73M   79M| 766  1.77 |   0     0 |  87M   92M
 253%  505M   55M|1451  89.7    79M   78M| 792  1.75 |   0     0 |  92M   93M
 215%  505M   55M|1369  94.3    76M   71M| 747  1.51 |   0     0 |  90M   85M
 245%  506M   52M|1464  88.6    79M   78M| 809  1.56 |   0     0 |  90M   91M
 204%  506M   61M|1382  88.4    72M   77M| 715  1.45 |   0     0 |  89M   86M
 219%  506M   51M|1456  88.9    77M   82M| 833  1.51 |   0     0 |  90M  106M
 243%  506M   53M|1433  90.0    78M   76M| 765  1.81 |   0     0 |  91M   86M
 267%  506M   51M|1419  92.3    82M   72M| 788  1.68 |   0     0 |  93M   85M
 247%  506M   51M|1464  84.6    79M   78M| 796  1.71 |   0     0 |  90M   89M
 237%  506M   51M|1450  88.8    76M   80M| 789  1.69 |   0     0 |  88M   92M
 195%  506M   58M|1375  91.5    73M   76M| 718  1.48 |   0     0 |  85M   81M
 253%  502M   51M|1421  91.1    77M   75M| 812  1.62 |   0     0 |  90M   96M
 241%  502M   53M|1380  91.3    79M   70M| 755  1.70 |   0     0 |  93M   82M
 237%  502M   54M|1394  89.9    73M   79M| 745  1.80 |   0     0 |  86M   90M
 231%  502M   51M|1391  93.4    76M   73M| 768  1.70 |   0     0 |  86M   86M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 247%  502M   55M|1446  90.0    77M   79M| 766  1.64 |   0     0 |  91M   89M
 232%  502M   50M|1410  90.0    77M   74M| 813  1.58 |   0     0 |  90M   92M
 254%  502M   54M|1494  86.7    81M   81M| 786  1.73 |   0     0 |  94M   90M
 234%  502M   51M|1347  95.1    72M   73M| 738  1.90 |   0     0 |  86M   90M
 262%  502M   51M|1453  88.4    81M   75M| 797  1.73 |   0     0 |  92M   86M
 250%  502M   51M|1505  79.5    78M   86M| 820  1.76 |   0     0 |  89M   98M
 193%  502M   49M|1342   100    74M   69M| 749  1.35 |   0     0 |  88M   85M
 213%  502M   50M|1534  85.1    78M   87M| 825  1.46 |   0     0 |  90M   97M
 280%  502M   52M|1406  85.7    74M   76M| 776  1.81 |   0     0 |  85M   86M
 264%  503M   55M|1568  81.8    78M   90M| 841  1.82 |   0     0 |  90M   99M
 238%  503M   53M|1336  97.5    76M   68M| 763  1.66 |   0     0 |  88M   83M
 232%  503M   60M|1487  88.1    75M   85M| 770  1.63 |   0     0 |  88M   92M
 210%  503M   56M|1301  94.9    72M   68M| 743  1.45 |   0     0 |  85M   85M
 240%  504M   50M|1518  85.7    80M   83M| 863  1.61 |   0     0 |  92M  100M
 253%  504M   53M|1462  87.5    79M   79M| 767  1.83 |   0     0 |  91M   86M
 270%  504M   51M|1539  82.0    81M   84M| 868  1.75 |   0     0 |  94M  102M
 215%  504M   51M|1344  95.7    73M   71M| 730  1.57 |   0     0 |  86M   82M
 246%  504M   55M|1441  90.8    78M   77M| 765  1.56 |   0     0 |  90M   86M
 211%  504M   55M|1470  82.2    76M   83M| 818  1.47 |   0     0 |  88M   95M
 249%  504M   56M|1413  91.9    73M   79M| 768  1.74 |   0     0 |  85M   89M
 284%  504M   54M|1464  90.1    74M   84M| 812  1.93 |   0     0 |  86M   97M
 229%  504M   56M|1417  89.7    75M   78M| 761  1.62 |   0     0 |  88M   90M
 234%  504M   52M|1391  84.6    73M   76M| 783  1.79 |   0     0 |  84M   91M
