------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  561M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
57.1%  561M  768K| 409  5.82    49M    0 |   7  0.86 |   0     0 |  49M    0 
78.9%  562M  768K| 559  6.01    68M    0 |   4  1.38 |   0     0 |  68M    0 
74.6%  562M  768K| 558  6.01    67M    0 |   5  1.25 |   0     0 |  67M    0 
70.1%  562M  768K| 566  5.96    68M    0 |   4  0.96 |   0     0 |  68M    0 
76.3%  562M  768K| 578  5.85    70M    0 |   8  1.14 |   0     0 |  70M    0 
82.8%  562M  768K| 547  6.05    66M    0 |   4  1.47 |   0     0 |  67M    0 
77.4%  562M  768K| 570  5.89    69M    0 |   7  0.96 |   0     0 |  69M    0 
75.9%  562M  768K| 577  5.83    70M    0 |   4  1.09 |   0     0 |  70M    0 
70.4%  562M  768K| 570  5.92    69M    0 |   5  0.84 |   0     0 |  69M    0 
71.1%  562M  640K| 578  5.84    70M    0 |   4  0.85 |   0     0 |  70M    0 
77.6%  562M  768K| 562  5.96    68M    0 |   5  0.96 |   0     0 |  68M    0 
79.5%  562M  768K| 568  5.85    69M    0 |   5  0.94 |   0     0 |  69M    0 
77.0%  562M  768K| 574  5.88    70M    0 |   4  0.89 |   0     0 |  70M    0 
79.0%  562M  768K| 576  5.89    70M    0 |   5  1.17 |   0     0 |  69M    0 
68.2%  562M  768K| 568  5.95    69M    0 |   7  0.96 |   0     0 |  69M    0 
72.4%  562M  768K| 581  5.85    70M    0 |   7  1.01 |   0     0 |  70M    0 
78.5%  562M  768K| 559  5.97    68M    0 |   5  1.11 |   0     0 |  68M    0 
80.1%  562M  768K| 558  5.99    67M    0 |   4  1.18 |   0     0 |  67M    0 
75.3%  562M  768K| 555  6.01    67M    0 |   5  1.17 |   0     0 |  67M    0 
73.5%  562M  768K| 571  5.89    69M    0 |   4  0.82 |   0     0 |  69M    0 
68.8%  562M  768K| 577  5.85    70M    0 |   5  0.95 |   0     0 |  70M    0 
81.0%  562M  640K| 578  5.84    70M    0 |   5  1.12 |   0     0 |  70M    0 
81.2%  562M  768K| 574  5.84    70M    0 |   4  1.49 |   0     0 |  70M    0 
78.6%  562M  768K| 558  6.00    68M    0 |   5  1.23 |   0     0 |  68M    0 
74.7%  562M  768K| 573  5.88    69M    0 |   5  1.17 |   0     0 |  69M    0 
67.3%  562M  768K| 564  5.95    68M    0 |   5  0.96 |   0     0 |  68M    0 
72.3%  562M  768K| 577  5.84    70M    0 |   5  1.02 |   0     0 |  70M    0 
75.9%  562M  768K| 577  5.80    70M    0 |   4  1.06 |   0     0 |  70M    0 
76.7%  562M  768K| 573  5.81    69M    0 |   7  1.02 |   0     0 |  69M    0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
75.4%  563M  768K| 589  5.75    71M    0 |   4  1.07 |   0     0 |  71M    0 
77.0%  564M  768K| 573  5.88    69M    0 |   5  1.01 |   0     0 |  69M    0 
66.8%  566M  768K| 575  5.91    70M    0 |   5  0.94 |   0     0 |  70M    0 
74.1%  568M  768K| 573  5.91    69M    0 |   4  1.00 |   0     0 |  69M    0 
78.0%  570M  768K| 558  6.00    67M    0 |   5  1.20 |   0     0 |  67M    0 
80.4%  572M  768K| 553  6.04    67M    0 |   5  1.31 |   0     0 |  67M    0 
80.2%  573M  768K| 562  5.98    68M    0 |   5  1.08 |   0     0 |  68M    0 
71.8%  575M  768K| 558  6.02    68M    0 |   5  0.92 |   0     0 |  67M    0 
