------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 0.0%  236M  256K|   0     0     0     0 |   0     0 |   0     0 |   0     0 
 119%  362M  124M|1689  0.18     0   208M|  11  0.93 |   0     0 |   0    84M
 115%  537M  299M|2304  0.18     0   286M|   4  2.66 |   0     0 |   0   111M
60.6%  537M  299M| 907  0.82     0   111M|   3  2.28 |   0     0 |   0   111M
60.9%  538M  299M| 910  0.81     0   112M|   4  2.69 |   0     0 |   0   112M
56.1%  538M  299M| 904  0.85     0   111M|   3  2.81 |   0     0 |   0   111M
58.7%  539M  300M| 906  0.86     0   111M|   3  1.91 |   0     0 |   0   111M
64.0%  539M  299M| 903  0.84     0   111M|   3  2.93 |   0     0 |   0   112M
50.6%  539M  300M| 904  0.86     0   111M|   4  1.95 |   0     0 |   0   110M
56.9%  539M  299M| 898  0.82     0   110M|   3  2.19 |   0     0 |   0   111M
59.5%  539M  300M| 907  0.82     0   111M|   3  3.16 |   0     0 |   0   111M
49.5%  539M  299M| 902  0.85     0   111M|   4  2.14 |   0     0 |   0   111M
52.2%  539M  299M| 909  0.85     0   112M|   3  2.86 |   0     0 |   0   111M
54.8%  539M  300M| 897  0.85     0   110M|   5  2.15 |   0     0 |   0   110M
52.4%  539M  300M| 913  0.84     0   112M|   3  1.95 |   0     0 |   0   112M
59.8%  539M  300M| 907  0.82     0   111M|   3  3.40 |   0     0 |   0   112M
52.9%  539M  300M| 910  0.85     0   112M|   4  2.29 |   0     0 |   0   111M
49.9%  539M  299M| 899  0.86     0   110M|   3  2.31 |   0     0 |   0   111M
51.9%  539M  299M| 908  0.84     0   111M|   3  1.98 |   0     0 |   0   111M
55.8%  539M  299M| 907  0.85     0   111M|   5  2.43 |   0     0 |   0   111M
58.9%  539M  299M| 900  0.82     0   110M|   2  2.70 |   0     0 |   0   111M
59.5%  539M  300M| 910  0.81     0   112M|   3  2.29 |   0     0 |   0   111M
52.8%  539M  299M| 903  0.85     0   111M|   3  2.97 |   0     0 |   0   111M
52.4%  540M  299M| 911  0.84     0   112M|   5  2.59 |   0     0 |   0   112M
54.2%  540M  299M| 899  0.85     0   110M|   3  2.16 |   0     0 |   0   110M
49.4%  540M  299M| 901  0.85     0   111M|   3  2.60 |   0     0 |   0   111M
54.8%  541M  299M| 905  0.84     0   111M|   4  2.58 |   0     0 |   0   111M
56.9%  541M  299M| 908  0.82     0   111M|   3  3.43 |   0     0 |   0   111M
48.7%  541M  298M| 902  0.87     0   111M|   3  1.99 |   0     0 |   0   112M
50.0%  542M  300M| 914  0.84     0   112M|   4  2.46 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
55.2%  543M  300M| 907  0.83     0   111M|   3  2.94 |   0     0 |   0   111M
51.6%  543M  299M| 908  0.86     0   111M|   4  2.73 |   0     0 |   0   112M
57.9%  544M  299M| 903  0.80     0   111M|   2  2.72 |   0     0 |   0   111M
55.6%  544M  299M| 912  0.84     0   112M|   5  2.36 |   0     0 |   0   112M
49.6%  545M  300M| 916  0.84     0   112M|   4  1.97 |   0     0 |   0   112M
45.7%  546M  284M| 772  0.35     0    94M|   3  2.66 |   0     0 |   0   111M
50.3%  546M  300M|1037  0.71     0   127M|   3  1.66 |   0     0 |   0   111M
56.0%  546M  300M| 903  0.82     0   111M|   3  2.85 |   0     0 |   0   112M
59.7%  547M  299M| 904  0.81     0   111M|   4  2.55 |   0     0 |   0   111M
52.2%  548M  299M| 910  0.85     0   112M|   4  2.22 |   0     0 |   0   112M
47.1%  549M  300M| 915  0.85     0   112M|   3  2.65 |   0     0 |   0   111M
