bash: warning: setlocale: LC_ALL: cannot change locale (zh_CN.utf8)
Linux 5.15.0-181-generic (ceph-node1) 	07/08/26 	_x86_64_	(64 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.31    0.00    0.22    0.30    0.00   99.17

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
dm-0            12.86    751.40     0.00   0.00   13.36    58.43  327.80   4305.06     0.00   0.00    9.70    13.13    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.02  23.13
dm-1            12.69    738.38     0.00   0.00   12.55    58.21  325.04   4251.51     0.00   0.00    9.53    13.08    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    3.26  23.08
dm-2             0.94     25.41     0.00   0.00    0.44    26.95   53.77    613.43     0.00   0.00    0.96    11.41    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.05   1.90
dm-3             0.00      0.06     0.00   0.00    0.04    43.10    0.03      0.39     0.00   0.00    0.48    15.08    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
dm-4             0.00      0.06     0.00   0.00    0.04    42.83    0.02      0.37     0.00   0.00    0.69    20.40    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop0            0.00      0.28     0.00   0.00    0.21   125.30    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop1            0.00      0.28     0.00   0.00    0.18   118.02    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop2            0.00      0.28     0.00   0.00    0.22   125.12    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
loop20           0.00      0.08     0.00   0.00    0.06    41.94   16.61     46.14     0.00   0.00    0.05     2.78    0.00      0.00     0.00   0.00    0.00     0.00    5.55    0.01    0.00   0.19
loop21           0.00      0.08     0.00   0.00    0.06    39.85   15.47     43.64     0.00   0.00    0.05     2.82    0.00      0.00     0.00   0.00    0.00     0.00    5.00    0.01    0.00   0.19
