---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  466M  256K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.8%  467M  256K    0 |  24  0.30     0     0 |   2  0.78     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 2.4%  468M  256K    0 |  25  0.32     0     0 |   4  1.17     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
93.2%  474M  223M    0 |2413  0.12     0   295M|  24  1.01     5  4.14     0 |   0     0 |   0     0     0    72M  291  43.0     0     0 
88.3%  479M  300M    0 |1536  0.48     0   189M|  10  2.79     7  3.54     0 |   0     0 |   0     0     0   112M  450  44.7     0     0 
84.9%  485M  299M    0 | 914  0.93     0   111M|  32  2.92    30  3.05     0 |   0     0 |   0     0     0   112M  445  44.3     0     0 
51.4%  486M  300M    0 | 925  0.95     0   112M|  10  2.37     7  3.01     0 |   0     0 |   0     0     0   111M  450  44.8     0     0 
46.8%  486M  300M    0 | 919  0.97     0   111M|   7  1.98     4  2.79     0 |   0     0 |   0     0     0   111M  447  44.5     0     0 
60.3%  487M  299M    0 | 916  0.96     0   111M|   4  1.50     1  3.45     0 |   0     0 |   0     0     0   112M  450  44.2     0     0 
66.7%  487M  300M    0 | 927  0.92     0   112M|   4  2.49     2  4.08     0 |   0     0 |   0     0     0   112M  448  44.8     0     0 
66.8%  487M  300M    0 | 917  0.95     0   111M|   4  1.76     1  4.08     0 |   0     0 |   0     0     0   111M  446  44.9     0     0 
67.9%  487M  299M    0 | 917  0.93     0   111M|  10  2.94     7  3.78     0 |   0     0 |   0     0     0   112M  449  44.4     0     0 
63.0%  487M  300M    0 | 926  0.97     0   112M|  13  2.60    10  2.99     0 |   0     0 |   0     0     0   111M  447  44.5     0     0 
62.2%  488M  299M    0 | 917  0.97     0   111M|  25  3.09    24  3.06     0 |   0     0 |   0     0     0   112M  449  44.5     0     0 
56.4%  488M  300M    0 | 931  0.95     0   113M|   4  1.48     1  3.08     0 |   0     0 |   0     0     0   112M  450  44.4     0     0 
59.7%  488M  299M    0 | 914  0.92     0   111M|   5  2.80     3  4.08     0 |   0     0 |   0     0     0   112M  450  44.8     0     0 
59.4%  488M  299M    0 | 921  0.94     0   112M|   5  2.30     2  3.98     0 |   0     0 |   0     0     0   111M  445  44.5     0     0 
66.6%  488M  300M    0 | 923  0.93     0   112M|   6  2.27     3  3.53     0 |   0     0 |   0     0     0   112M  448  44.4     0     0 
57.9%  488M  299M    0 | 919  0.98     0   111M|   6  2.05     3  3.14     0 |   0     0 |   0     0     0   112M  451  45.0     0     0 
51.5%  488M  300M    0 | 906  0.97     0   111M|   1  1.07     0     0     0 |   0     0 |   0     0     0   110M  442  44.8     0     0 
55.5%  488M  300M    0 | 909  0.94     0   112M|   6  2.91     4  3.83     0 |   0     0 |   0     0     0   112M  449  44.5     0     0 
56.6%  488M  299M    0 | 898  0.95     0   110M|   1  1.22     0     0     0 |   0     0 |   0     0     0   111M  447  44.8     0     0 
52.9%  489M  299M    0 | 913  0.95     0   112M|  14  2.66    11  2.97     0 |   0     0 |   0     0     0   111M  446  44.5     0     0 
46.8%  489M  300M    0 | 913  0.96     0   112M|   4  1.92     2  3.07     0 |   0     0 |   0     0     0   112M  449  44.8     0     0 
48.5%  489M  300M    0 | 904  0.97     0   111M|   7  2.58     6  2.82     0 |   0     0 |   0     0     0   111M  446  44.5     0     0 
53.7%  489M  300M    0 | 903  0.97     0   111M|   9  2.70     9  3.11     0 |   0     0 |   0     0     0   111M  447  45.0     0     0 
57.6%  489M  299M    0 | 906  0.92     0   111M|   2  2.49     1  3.81     0 |   0     0 |   0     0     0   112M  449  44.5     0     0 
57.0%  489M  299M    0 | 911  0.94     0   112M|   8  2.90     6  3.56     0 |   0     0 |   0     0     0   112M  446  44.9     0     0 
52.1%  489M  298M    0 | 899  0.97     0   110M|   2  1.24     0     0     0 |   0     0 |   0     0     0   111M  449  44.6     0     0 
54.6%  489M  300M    0 | 915  0.98     0   112M|   4  3.08     3  3.76     0 |   0     0 |   0     0     0   111M  446  44.5     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
58.5%  490M  300M    0 | 908  0.96     0   112M|   4  2.16     2  3.27     0 |   0     0 |   0     0     0   112M  446  44.9     0     0 
