---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  591M  512K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 2.5%  592M  512K    0 |  25  0.36     0     0 |   3  0.87     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 2.3%  593M  512K    0 |  26  0.40     0     0 |   4  1.04     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
23.0%  596M  768K    0 | 178  3.92    18M    0 |  48  0.66     2  2.24     0 |   0     0 |  18M  151  4.25     0     0     0     0     0 
29.4%  599M  768K    0 | 246  3.94    27M    0 |  22  0.75     0     0     0 |   0     0 |  27M  219  4.21     0     0     0     0     0 
30.1%  600M  768K    0 | 236  4.10    27M    0 |   5  0.86     0     0     0 |   0     0 |  27M  221  4.22     0     0     0     0     0 
35.1%  602M  768K    0 | 228  4.22    26M    0 |   3  0.96     0     0     0 |   0     0 |  26M  213  4.36     0     0     0     0     0 
33.4%  603M  768K    0 | 231  4.16    27M    0 |   3  1.22     0     0     0 |   0     0 |  27M  217  4.27     0     0     0     0     0 
30.6%  604M  768K    0 | 234  4.11    27M    0 |   3  0.70     0     0     0 |   0     0 |  27M  219  4.25     0     0     0     0     0 
45.8%  608M  768K    0 | 237  4.08    27M    0 |   2  0.83     0     0     0 |   0     0 |  27M  223  4.19     0     0     0     0     0 
31.4%  608M  768K    0 | 234  4.11    27M    0 |   3  1.00     0     0     0 |   0     0 |  27M  219  4.24     0     0     0     0     0 
33.1%  608M  768K    0 | 232  4.13    27M    0 |   2  0.95     0     0     0 |   0     0 |  27M  218  4.25     0     0     0     0     0 
34.7%  608M  768K    0 | 229  4.20    26M    0 |   3  0.98     0     0     0 |   0     0 |  26M  214  4.34     0     0     0     0     0 
30.9%  608M  768K    0 | 233  4.12    27M    0 |   3  0.94     0     0     0 |   0     0 |  27M  218  4.26     0     0     0     0     0 
32.9%  609M  768K    0 | 234  4.11    27M    0 |   2  0.92     0     0     0 |   0     0 |  27M  220  4.22     0     0     0     0     0 
