---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  100M    0     0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.5%  101M    0     0 |  13  0.45     0     0 |   2  1.16     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.3%  102M    0     0 |  12  0.35     0     0 |   1  1.00     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
99.8%  325M  208M    0 |2264  0.15     0   280M|  12  1.69     8  3.10     0 |   0     0 |   0     0     0    71M  286  43.5     0     0 
67.0%  419M  300M    0 |1638  0.48     0   203M|   4  1.84     1  3.47     0 |   0     0 |   0     0     0   112M  449  44.2     0     0 
52.1%  420M  300M    0 | 909  0.96     0   112M|   4  2.35     2  3.77     0 |   0     0 |   0     0     0   112M  448  44.5     0     0 
59.0%  422M  299M    0 | 904  0.94     0   111M|   3  3.25     4  3.91     0 |   0     0 |   0     0     0   112M  448  44.3     0     0 
52.5%  422M  299M    0 | 909  0.96     0   112M|   4  2.46     2  3.89     0 |   0     0 |   0     0     0   112M  449  44.8     0     0 
51.8%  423M  299M    0 | 910  0.97     0   112M|   2  2.40     1  3.71     0 |   0     0 |   0     0     0   111M  445  44.9     0     0 
47.0%  425M  298M    0 | 900  0.98     0   111M|   4  2.40     2  3.75     0 |   0     0 |   0     0     0   111M  447  45.0     0     0 
49.4%  426M  300M    0 | 910  0.97     0   111M|   4  2.49     2  4.04     0 |   0     0 |   0     0     0   111M  444  44.7     0     0 
51.7%  427M  300M    0 | 901  0.97     0   111M|   3  3.14     2  4.18     0 |   0     0 |   0     0     0   112M  447  44.6     0     0 
56.4%  428M  300M    0 | 914  0.94     0   112M|   3  1.90     1  3.95     0 |   0     0 |   0     0     0   111M  449  44.5     0     0 
52.7%  430M  299M    0 | 896  0.96     0   110M|   3  3.13     2  4.16     0 |   0     0 |   0     0     0   111M  446  45.0     0     0 
