Tue Jun 30 04:22:20 PM CST 2026
JFS PID=2528063
    TID STAT WCHAN                            %CPU
2528063 Sl   futex_wait_queue_me               0.0
2528064 Sl   futex_wait_queue_me               0.0
2528065 Sl   futex_wait_queue_me               0.0
2528066 Sl   futex_wait_queue_me               0.0
2528067 Sl   futex_wait_queue_me               0.0
2528068 Sl   futex_wait_queue_me               0.0
2528069 Sl   futex_wait_queue_me               0.0
2528070 Sl   do_wait                           0.0
2528071 Sl   futex_wait_queue_me               0.0
2528072 Sl   futex_wait_queue_me               0.0
2528073 Sl   futex_wait_queue_me               0.0
2528074 Sl   futex_wait_queue_me               0.0
2528075 Sl   ep_poll                           0.0
2528076 Sl   futex_wait_queue_me               0.0
2528077 Sl   futex_wait_queue_me               0.0
2528078 Sl   futex_wait_queue_me               0.0
2528079 Sl   futex_wait_queue_me               0.0
2528080 Sl   futex_wait_queue_me               0.0
2528081 Sl   futex_wait_queue_me               0.0
2528082 Sl   futex_wait_queue_me               0.0
2528083 Sl   futex_wait_queue_me               0.0
2528084 Sl   futex_wait_queue_me               0.0
2528085 Sl   futex_wait_queue_me               0.0
2528086 Sl   futex_wait_queue_me               0.0
