Linux 5.15.0-181-generic (tikv-node) 	07/09/26 	_x86_64_	(64 CPU)

18:21:14      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
18:21:15        0   4018153   15.00    9.00    0.00    0.00   24.00     1  juicefs.v1.3.1
18:21:16        0   4018153   80.00   85.00    0.00    0.00  165.00    48  juicefs.v1.3.1
18:21:17        0   4018153   77.00   76.00    0.00    0.00  153.00     1  juicefs.v1.3.1
18:21:18        0   4018153   81.00   95.00    0.00    0.00  176.00     1  juicefs.v1.3.1
18:21:19        0   4018153   82.00   92.00    0.00    0.00  174.00     3  juicefs.v1.3.1
18:21:20        0   4018153   86.00   93.00    0.00    0.00  179.00     3  juicefs.v1.3.1
18:21:21        0   4018153   75.00   93.00    0.00    0.00  168.00    26  juicefs.v1.3.1
18:21:22        0   4018153   56.00   72.00    0.00    0.00  128.00    26  juicefs.v1.3.1
18:21:23        0   4018153   71.00   77.00    0.00    0.00  148.00    26  juicefs.v1.3.1
18:21:24        0   4018153   81.00   86.00    0.00    0.00  167.00    26  juicefs.v1.3.1
18:21:25        0   4018153   83.00   82.00    0.00    0.00  165.00    26  juicefs.v1.3.1
18:21:26        0   4018153   81.00   80.00    0.00    0.00  161.00    10  juicefs.v1.3.1
18:21:27        0   4018153   72.00   79.00    0.00    0.00  151.00    14  juicefs.v1.3.1
18:21:28        0   4018153   56.00   70.00    0.00    0.00  126.00    14  juicefs.v1.3.1
18:21:29        0   4018153   74.00   72.00    0.00    0.00  146.00    14  juicefs.v1.3.1
18:21:30        0   4018153   78.00   84.00    0.00    0.00  162.00    14  juicefs.v1.3.1
18:21:31        0   4018153   76.00   85.00    0.00    0.00  161.00    14  juicefs.v1.3.1
18:21:32        0   4018153   78.00   90.00    0.00    0.00  168.00    14  juicefs.v1.3.1
18:21:33        0   4018153   66.00   75.00    0.00    0.00  141.00    14  juicefs.v1.3.1
18:21:34        0   4018153   62.00   68.00    0.00    0.00  130.00    14  juicefs.v1.3.1
18:21:35        0   4018153   82.00   85.00    0.00    0.00  167.00    50  juicefs.v1.3.1
18:21:36        0   4018153   75.00   83.00    0.00    0.00  158.00    50  juicefs.v1.3.1
18:21:37        0   4018153   86.00   81.00    0.00    0.00  167.00    13  juicefs.v1.3.1
18:21:38        0   4018153   74.00   83.00    0.00    0.00  157.00    13  juicefs.v1.3.1
18:21:39        0   4018153   60.00   73.00    0.00    0.00  133.00    50  juicefs.v1.3.1
18:21:40        0   4018153   62.00   73.00    0.00    0.00  135.00    42  juicefs.v1.3.1
