Linux 5.15.0-181-generic (tikv-node) 	07/09/26 	_x86_64_	(64 CPU)

18:24:39      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
18:24:40        0   4018153   18.00    5.00    0.00    0.00   23.00    14  juicefs.v1.3.1
18:24:41        0   4018153   97.00   70.00    0.00    0.00  167.00     0  juicefs.v1.3.1
18:24:42        0   4018153  125.00   97.00    0.00    0.00  222.00     0  juicefs.v1.3.1
18:24:43        0   4018153  120.00   93.00    0.00    0.00  213.00    26  juicefs.v1.3.1
18:24:44        0   4018153  117.00  105.00    0.00    0.00  222.00    26  juicefs.v1.3.1
18:24:45        0   4018153  117.00   94.00    0.00    0.00  211.00     0  juicefs.v1.3.1
18:24:46        0   4018153   93.00   70.00    0.00    0.00  163.00    26  juicefs.v1.3.1
18:24:47        0   4018153  131.00  118.00    0.00    0.00  249.00    26  juicefs.v1.3.1
18:24:48        0   4018153  115.00   91.00    0.00    0.00  206.00    40  juicefs.v1.3.1
18:24:49        0   4018153  113.00   96.00    0.00    0.00  209.00    63  juicefs.v1.3.1
18:24:50        0   4018153  126.00   98.00    0.00    0.00  224.00    58  juicefs.v1.3.1
18:24:51        0   4018153   92.00   99.00    0.00    0.00  191.00    33  juicefs.v1.3.1
18:24:52        0   4018153   83.00   80.00    0.00    0.00  163.00    44  juicefs.v1.3.1
18:24:53        0   4018153  113.00   80.00    0.00    0.00  193.00    18  juicefs.v1.3.1
18:24:54        0   4018153  123.00  100.00    0.00    0.00  223.00    18  juicefs.v1.3.1
18:24:55        0   4018153  108.00  106.00    0.00    0.00  214.00    20  juicefs.v1.3.1
18:24:56        0   4018153  111.00   95.00    0.00    0.00  206.00    36  juicefs.v1.3.1
18:24:57        0   4018153  106.00   96.00    0.00    0.00  202.00    20  juicefs.v1.3.1
18:24:58        0   4018153   97.00   80.00    0.00    0.00  177.00    38  juicefs.v1.3.1
