Linux 5.15.0-181-generic (tikv-node) 	07/09/26 	_x86_64_	(64 CPU)

18:28:46      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
18:28:47        0   4018153   43.00   31.00    0.00    0.00   74.00    47  juicefs.v1.3.1
18:28:48        0   4018153   39.00   31.00    0.00    0.00   70.00    47  juicefs.v1.3.1
18:28:49        0   4018153   35.00   27.00    0.00    0.00   62.00    47  juicefs.v1.3.1
18:28:50        0   4018153   35.00   22.00    0.00    0.00   57.00    47  juicefs.v1.3.1
18:28:51        0   4018153   29.00   16.00    0.00    0.00   45.00    47  juicefs.v1.3.1
18:28:52        0   4018153   27.00   25.00    0.00    0.00   52.00    47  juicefs.v1.3.1
18:28:53        0   4018153   32.00   28.00    0.00    0.00   60.00    47  juicefs.v1.3.1
18:28:54        0   4018153   39.00   22.00    0.00    0.00   61.00    47  juicefs.v1.3.1
18:28:55        0   4018153   37.00   24.00    0.00    0.00   61.00    47  juicefs.v1.3.1
18:28:56        0   4018153   35.00   19.00    0.00    0.00   54.00    47  juicefs.v1.3.1
18:28:57        0   4018153   30.00   16.00    0.00    0.00   46.00    47  juicefs.v1.3.1
18:28:58        0   4018153   33.00   23.00    0.00    0.00   56.00    47  juicefs.v1.3.1
18:28:59        0   4018153   35.00   25.00    0.00    0.00   60.00    47  juicefs.v1.3.1
18:29:00        0   4018153   39.00   21.00    0.00    0.00   60.00    47  juicefs.v1.3.1
18:29:01        0   4018153   33.00   28.00    0.00    0.00   61.00    47  juicefs.v1.3.1
18:29:02        0   4018153   30.00   19.00    0.00    0.00   49.00    47  juicefs.v1.3.1
18:29:03        0   4018153   30.00   17.00    0.00    0.00   47.00    47  juicefs.v1.3.1
18:29:04        0   4018153   33.00   23.00    0.00    0.00   56.00    47  juicefs.v1.3.1
18:29:05        0   4018153   36.00   25.00    0.00    0.00   61.00    47  juicefs.v1.3.1
18:29:06        0   4018153   33.00   30.00    0.00    0.00   63.00    47  juicefs.v1.3.1
18:29:07        0   4018153   34.00   19.00    0.00    0.00   53.00    47  juicefs.v1.3.1
18:29:08        0   4018153   31.00   17.00    0.00    0.00   48.00    47  juicefs.v1.3.1
18:29:09        0   4018153   33.00   24.00    0.00    0.00   57.00    47  juicefs.v1.3.1
18:29:10        0   4018153   37.00   25.00    0.00    0.00   62.00    47  juicefs.v1.3.1
18:29:11        0   4018153   35.00   27.00    0.00    0.00   62.00    47  juicefs.v1.3.1
18:29:12        0   4018153   33.00   28.00    0.00    0.00   61.00    47  juicefs.v1.3.1
18:29:13        0   4018153   32.00   20.00    0.00    0.00   52.00    47  juicefs.v1.3.1
18:29:14        0   4018153   30.00   17.00    0.00    0.00   47.00    47  juicefs.v1.3.1
18:29:15        0   4018153   36.00   22.00    0.00    0.00   58.00    47  juicefs.v1.3.1
18:29:16        0   4018153   34.00   27.00    0.00    0.00   61.00    47  juicefs.v1.3.1
18:29:17        0   4018153   36.00   23.00    0.00    0.00   59.00    47  juicefs.v1.3.1
18:29:18        0   4018153   37.00   21.00    0.00    0.00   58.00    47  juicefs.v1.3.1
18:29:19        0   4018153   23.00   24.00    0.00    0.00   47.00    47  juicefs.v1.3.1
18:29:20        0   4018153   30.00   21.00    0.00    0.00   51.00    47  juicefs.v1.3.1
18:29:21        0   4018153   29.00   17.00    0.00    0.00   46.00    47  juicefs.v1.3.1
18:29:22        0   4018153   24.00   16.00    0.00    0.00   40.00    47  juicefs.v1.3.1
18:29:23        0   4018153   15.00   13.00    0.00    0.00   28.00    47  juicefs.v1.3.1
18:29:24        0   4018153   15.00   20.00    0.00    0.00   35.00    47  juicefs.v1.3.1
18:29:25        0   4018153   44.00   56.00    0.00    0.00  100.00    47  juicefs.v1.3.1
18:29:26        0   4018153   55.00   58.00    0.00    0.00  113.00    47  juicefs.v1.3.1
18:29:27        0   4018153   60.00   63.00    0.00    0.00  123.00    47  juicefs.v1.3.1
18:29:28        0   4018153   55.00   71.00    0.00    0.00  126.00    47  juicefs.v1.3.1
18:29:29        0   4018153   62.00   65.00    0.00    0.00  127.00    47  juicefs.v1.3.1
18:29:30        0   4018153   45.00   68.00    0.00    0.00  113.00    47  juicefs.v1.3.1
18:29:31        0   4018153   54.00   48.00    0.00    0.00  102.00    47  juicefs.v1.3.1
18:29:32        0   4018153   56.00   69.00    0.00    0.00  125.00    47  juicefs.v1.3.1
18:29:33        0   4018153   65.00   65.00    0.00    0.00  130.00    47  juicefs.v1.3.1
18:29:34        0   4018153   52.00   75.00    0.00    0.00  127.00    47  juicefs.v1.3.1
18:29:35        0   4018153   55.00   72.00    0.00    0.00  127.00    47  juicefs.v1.3.1
18:29:36        0   4018153   46.00   60.00    0.00    0.00  106.00    47  juicefs.v1.3.1
Average:        0   4018153   37.52   32.46    0.00    0.00   69.98     -  juicefs.v1.3.1
