Linux 5.15.0-181-generic (tikv-node) 	07/09/26 	_x86_64_	(64 CPU)

18:45:31      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
18:45:32        0    824504  106.00   52.00    0.00    0.00  158.00    10  juicefs.v1.3.1
18:45:33        0    824504  161.00   90.00    0.00    0.00  251.00     5  juicefs.v1.3.1
18:45:34        0    824504  133.00  104.00    0.00    0.00  237.00    20  juicefs.v1.3.1
18:45:35        0    824504  131.00   99.00    0.00    0.00  230.00     0  juicefs.v1.3.1
18:45:36        0    824504  124.00   88.00    0.00    0.00  212.00    39  juicefs.v1.3.1
18:45:37        0    824504  139.00   93.00    0.00    0.00  232.00     6  juicefs.v1.3.1
18:45:38        0    824504  142.00   94.00    0.00    0.00  236.00    23  juicefs.v1.3.1
18:45:39        0    824504  138.00   98.00    0.00    0.00  236.00    40  juicefs.v1.3.1
18:45:40        0    824504  135.00   97.00    0.00    0.00  232.00    33  juicefs.v1.3.1
18:45:41        0    824504  137.00   88.00    0.00    0.00  225.00    13  juicefs.v1.3.1
18:45:42        0    824504  136.00   89.00    0.00    0.00  225.00    48  juicefs.v1.3.1
18:45:43        0    824504  121.00   90.00    0.00    0.00  211.00    60  juicefs.v1.3.1
18:45:44        0    824504  147.00  102.00    0.00    0.00  249.00    56  juicefs.v1.3.1
18:45:45        0    824504  144.00  102.00    0.00    0.00  246.00    57  juicefs.v1.3.1
18:45:46        0    824504  142.00   99.00    0.00    0.00  241.00    12  juicefs.v1.3.1
18:45:47        0    824504  142.00   86.00    0.00    0.00  228.00    32  juicefs.v1.3.1
18:45:48        0    824504  112.00   77.00    0.00    0.00  189.00    34  juicefs.v1.3.1
18:45:49        0    824504  131.00   87.00    0.00    0.00  218.00    34  juicefs.v1.3.1
18:45:50        0    824504  134.00  111.00    0.00    0.00  245.00    34  juicefs.v1.3.1
18:45:51        0    824504  138.00   77.00    0.00    0.00  215.00    12  juicefs.v1.3.1
18:45:52        0    824504  142.00  112.00    0.00    0.00  254.00    12  juicefs.v1.3.1
18:45:53        0    824504  129.00   93.00    0.00    0.00  222.00    12  juicefs.v1.3.1
18:45:54        0    824504  111.00   73.00    0.00    0.00  184.00     0  juicefs.v1.3.1
18:45:55        0    824504  144.00  108.00    0.00    0.00  252.00    54  juicefs.v1.3.1
18:45:56        0    824504  139.00   93.00    0.00    0.00  232.00     0  juicefs.v1.3.1
18:45:57        0    824504  147.00   96.00    0.00    0.00  243.00    40  juicefs.v1.3.1
18:45:58        0    824504  155.00  101.00    0.00    0.00  256.00    27  juicefs.v1.3.1
18:45:59        0    824504  117.00   82.00    0.00    0.00  199.00    27  juicefs.v1.3.1
18:46:00        0    824504  116.00   85.00    0.00    0.00  201.00    27  juicefs.v1.3.1
18:46:01        0    824504  144.00   98.00    0.00    0.00  242.00    27  juicefs.v1.3.1
18:46:02        0    824504  148.00  100.00    0.00    0.00  248.00    27  juicefs.v1.3.1
18:46:03        0    824504  158.00   97.00    0.00    0.00  255.00    33  juicefs.v1.3.1
18:46:04        0    824504  143.00   93.00    0.00    0.00  236.00    33  juicefs.v1.3.1
18:46:05        0    824504  116.00   67.00    0.00    0.00  183.00    33  juicefs.v1.3.1
18:46:06        0    824504  124.00   81.00    0.00    0.00  205.00    33  juicefs.v1.3.1
18:46:07        0    824504  151.00   86.00    0.00    0.00  237.00    33  juicefs.v1.3.1
18:46:08        0    824504  155.00   97.00    0.00    0.00  252.00    30  juicefs.v1.3.1
18:46:09        0    824504  136.00   99.00    0.00    0.00  235.00    34  juicefs.v1.3.1
18:46:10        0    824504  129.00   99.00    0.00    0.00  228.00    41  juicefs.v1.3.1
18:46:11        0    824504  121.00   63.00    0.00    0.00  184.00    63  juicefs.v1.3.1
18:46:12        0    824504  133.00  104.00    0.00    0.00  237.00    63  juicefs.v1.3.1
18:46:13        0    824504  152.00   99.00    0.00    0.00  251.00    15  juicefs.v1.3.1
18:46:14        0    824504  139.00  102.00    0.00    0.00  241.00    63  juicefs.v1.3.1
18:46:15        0    824504  117.00   93.00    0.00    0.00  210.00     5  juicefs.v1.3.1
18:46:16        0    824504  126.00   90.00    0.00    0.00  216.00    38  juicefs.v1.3.1
18:46:17        0    824504  115.00   69.00    0.00    0.00  184.00    35  juicefs.v1.3.1
18:46:18        0    824504  151.00   97.00    0.00    0.00  248.00    52  juicefs.v1.3.1
18:46:19        0    824504  169.00  102.00    0.00    0.00  271.00    50  juicefs.v1.3.1
18:46:20        0    824504  130.00   97.00    0.00    0.00  227.00    52  juicefs.v1.3.1
18:46:21        0    824504  136.00   88.00    0.00    0.00  224.00    56  juicefs.v1.3.1
18:46:22        0    824504  112.00   87.00    0.00    0.00  199.00    54  juicefs.v1.3.1
18:46:23        0    824504  131.00   83.00    0.00    0.00  214.00    60  juicefs.v1.3.1
18:46:24        0    824504  175.00   99.00    0.00    0.00  274.00     5  juicefs.v1.3.1
18:46:25        0    824504  140.00   99.00    0.00    0.00  239.00     5  juicefs.v1.3.1
18:46:26        0    824504  130.00   89.00    0.00    0.00  219.00     5  juicefs.v1.3.1
18:46:27        0    824504  124.00   94.00    0.00    0.00  218.00     5  juicefs.v1.3.1
18:46:28        0    824504  117.00   81.00    0.00    0.00  198.00     5  juicefs.v1.3.1
18:46:29        0    824504  145.00   96.00    0.00    0.00  241.00    18  juicefs.v1.3.1
18:46:30        0    824504  155.00  104.00    0.00    0.00  259.00    18  juicefs.v1.3.1
18:46:31        0    824504  134.00   93.00    0.00    0.00  227.00     3  juicefs.v1.3.1
18:46:32        0    824504  147.00   91.00    0.00    0.00  238.00     3  juicefs.v1.3.1
