Linux 5.15.0-181-generic (tikv-node) 	07/09/26 	_x86_64_	(64 CPU)

18:49:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
18:49:37        0    824504   73.00   46.00    0.00    0.00  119.00    13  juicefs.v1.3.1
18:49:38        0    824504   55.00   34.00    0.00    0.00   89.00    13  juicefs.v1.3.1
18:49:39        0    824504   31.00   24.00    0.00    0.00   55.00    13  juicefs.v1.3.1
18:49:40        0    824504   39.00   23.00    0.00    0.00   62.00    13  juicefs.v1.3.1
18:49:41        0    824504   31.00   19.00    0.00    0.00   50.00    13  juicefs.v1.3.1
18:49:42        0    824504   32.00   28.00    0.00    0.00   60.00    13  juicefs.v1.3.1
18:49:43        0    824504   33.00   29.00    0.00    0.00   62.00    13  juicefs.v1.3.1
18:49:44        0    824504   34.00   27.00    0.00    0.00   61.00    13  juicefs.v1.3.1
18:49:45        0    824504   29.00   22.00    0.00    0.00   51.00    13  juicefs.v1.3.1
18:49:46        0    824504   27.00   19.00    0.00    0.00   46.00    13  juicefs.v1.3.1
18:49:47        0    824504   26.00   18.00    0.00    0.00   44.00    13  juicefs.v1.3.1
18:49:48        0    824504   32.00   20.00    0.00    0.00   52.00    13  juicefs.v1.3.1
18:49:49        0    824504   36.00   24.00    0.00    0.00   60.00    13  juicefs.v1.3.1
18:49:50        0    824504   33.00   22.00    0.00    0.00   55.00    13  juicefs.v1.3.1
18:49:51        0    824504   30.00   24.00    0.00    0.00   54.00    13  juicefs.v1.3.1
18:49:52        0    824504   34.00   17.00    0.00    0.00   51.00    13  juicefs.v1.3.1
18:49:53        0    824504   32.00   20.00    0.00    0.00   52.00    13  juicefs.v1.3.1
18:49:54        0    824504   36.00   25.00    0.00    0.00   61.00    13  juicefs.v1.3.1
18:49:55        0    824504   36.00   24.00    0.00    0.00   60.00    13  juicefs.v1.3.1
18:49:56        0    824504   31.00   21.00    0.00    0.00   52.00    13  juicefs.v1.3.1
18:49:57        0    824504   33.00   23.00    0.00    0.00   56.00    13  juicefs.v1.3.1
18:49:58        0    824504   27.00   18.00    0.00    0.00   45.00    13  juicefs.v1.3.1
18:49:59        0    824504   33.00   22.00    0.00    0.00   55.00    13  juicefs.v1.3.1
18:50:00        0    824504   34.00   28.00    0.00    0.00   62.00    13  juicefs.v1.3.1
18:50:01        0    824504   37.00   21.00    0.00    0.00   58.00    13  juicefs.v1.3.1
18:50:02        0    824504   30.00   22.00    0.00    0.00   52.00    13  juicefs.v1.3.1
18:50:03        0    824504   29.00   27.00    0.00    0.00   56.00    13  juicefs.v1.3.1
18:50:04        0    824504   29.00   18.00    0.00    0.00   47.00    13  juicefs.v1.3.1
18:50:05        0    824504   34.00   24.00    0.00    0.00   58.00    13  juicefs.v1.3.1
18:50:06        0    824504   31.00   29.00    0.00    0.00   60.00    13  juicefs.v1.3.1
18:50:07        0    824504   26.00   27.00    0.00    0.00   53.00    13  juicefs.v1.3.1
18:50:08        0    824504   28.00   24.00    0.00    0.00   52.00    13  juicefs.v1.3.1
18:50:09        0    824504   29.00   20.00    0.00    0.00   49.00    13  juicefs.v1.3.1
18:50:10        0    824504   25.00   25.00    0.00    0.00   50.00    13  juicefs.v1.3.1
18:50:11        0    824504   29.00   19.00    0.00    0.00   48.00    13  juicefs.v1.3.1
18:50:12        0    824504   26.00   17.00    0.00    0.00   43.00    13  juicefs.v1.3.1
18:50:13        0    824504   25.00   13.00    0.00    0.00   38.00    13  juicefs.v1.3.1
18:50:14        0    824504   90.00   52.00    0.00    0.00  142.00    13  juicefs.v1.3.1
18:50:15        0    824504   72.00   50.00    0.00    0.00  122.00    13  juicefs.v1.3.1
18:50:16        0    824504   98.00   51.00    0.00    0.00  149.00    13  juicefs.v1.3.1
18:50:17        0    824504  103.00   65.00    0.00    0.00  168.00    13  juicefs.v1.3.1
18:50:18        0    824504  104.00   68.00    0.00    0.00  172.00    13  juicefs.v1.3.1
18:50:19        0    824504   89.00   58.00    0.00    0.00  147.00    13  juicefs.v1.3.1
18:50:20        0    824504   33.00   39.00    0.00    0.00   72.00    13  juicefs.v1.3.1
18:50:21        0    824504   37.00   38.00    0.00    0.00   75.00    13  juicefs.v1.3.1
18:50:22        0    824504   48.00   35.00    0.00    0.00   83.00    13  juicefs.v1.3.1
18:50:23        0    824504   47.00   33.00    0.00    0.00   80.00    13  juicefs.v1.3.1
18:50:24        0    824504   39.00   39.00    0.00    0.00   78.00    13  juicefs.v1.3.1
18:50:25        0    824504   41.00   41.00    0.00    0.00   82.00    13  juicefs.v1.3.1
18:50:26        0    824504   39.00   31.00    0.00    0.00   70.00    13  juicefs.v1.3.1
Average:        0    824504   41.10   29.26    0.00    0.00   70.36     -  juicefs.v1.3.1
