---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0% 1168M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
46.5% 1185M   35M    0 | 549  2.41  2688K    0 | 643  1.12     0     0     0 |   0     0 |3200K   24  34.0     0     0     0     0     0 
 153% 1212M  134M    0 | 476   213    55M    0 | 197  0.73     2  2.76     0 |   0     0 | 109M  741   237  9472K   37   184     0     0 
 156% 1222M  149M    0 | 504   254    48M    0 | 238  0.71     0     0     0 |   0     0 | 111M  728   335    10M   41   179     0     0 
 176% 1226M  149M    0 | 515   236    51M    0 | 205  0.85     0     0     0 |   0     0 | 111M  741   284  6912K   27   215     0     0 
 173% 1228M  144M    0 | 497   246    50M    0 | 167  0.86     0     0     0 |   0     0 | 111M  739   315    10M   41   235     0     0 
 181% 1229M  141M    0 | 513   239    53M    0 | 140  0.86     0     0     0 |   0     0 | 112M  756   291  7936K   31   192     0     0 
 164% 1229M  143M    0 | 507   259    52M    0 | 129  0.76     0     0     0 |   0     0 | 111M  754   324  5632K   22   197     0     0 
 128% 1230M  143M    0 | 500   247    51M    0 | 119  0.67     0     0     0 |   0     0 | 108M  735   318  5120K   20   115     0     0 
 151% 1230M  143M    0 | 504   255    52M    0 | 107  0.77     0     0     0 |   0     0 | 111M  750   306  6400K   25   181     0     0 
 167% 1231M  143M    0 | 491   262    51M    0 | 112  0.83     0     0     0 |   0     0 | 111M  746   306  8448K   34   100     0     0 
 166% 1232M  144M    0 | 531   246    53M    0 | 123  0.83     0     0     0 |   0     0 | 111M  758   304  8192K   31   129     0     0 
 160% 1232M  143M    0 | 479   275    49M    0 |  94  0.81     0     0     0 |   0     0 | 111M  749   331  9216K   36   138     0     0 
 147% 1232M  145M    0 | 521   243    53M    0 | 100  0.73     0     0     0 |   0     0 | 110M  744   306  6912K   27   252     0     0 
 129% 1232M  144M    0 | 473   244    48M    0 |  81  0.68     2  2.23     0 |   0     0 | 109M  714   302  9472K   37   111     0     0 
 146% 1233M  140M    0 | 496   237    51M    0 |  85  0.72     0     0     0 |   0     0 | 112M  755   304  7424K   29   198     0     0 
 164% 1234M  140M    0 | 494   265    50M    0 |  85  0.84     0     0     0 |   0     0 | 111M  760   317  7168K   28   124     0     0 
 160% 1234M  141M    0 | 501   245    51M    0 |  78  0.83     0     0     0 |   0     0 | 111M  757   287  8448K   33   158     0     0 
 169% 1235M  145M    0 | 485   275    49M    0 |  80  0.84     0     0     0 |   0     0 | 111M  747   311    11M   46   205     0     0 
 134% 1236M  144M    0 | 491   260    51M    0 |  74  0.71     0     0     0 |   0     0 | 108M  741   305  8192K   32   239     0     0 
 136% 1237M  139M    0 | 503   247    51M    0 |  80  0.68     0     0     0 |   0     0 | 111M  745   312  7680K   29   243     0     0 
 167% 1237M  141M    0 | 495   271    51M    0 |  75  0.95     0     0     0 |   0     0 | 110M  745   315    10M   43   170     0     0 
 157% 1238M  144M    0 | 465   243    48M    0 |  66  0.95     0     0     0 |   0     0 | 111M  744   286  8704K   34   190     0     0 
 168% 1239M  142M    0 | 512   273    52M    0 |  80  0.85     0     0     0 |   0     0 | 112M  749   323  9472K   37   182     0     0 
 155% 1240M  144M    0 | 500   252    51M    0 |  78  0.80     0     0     0 |   0     0 | 110M  753   309  6656K   26   146     0     0 
 131% 1241M  143M    0 | 491   279    50M    0 |  73  0.70     0     0     0 |   0     0 | 108M  728   339    10M   40   151     0     0 
 140% 1242M  145M    0 | 483   270    49M    0 |  80  0.71     2  3.55     0 |   0     0 | 110M  735   338  9728K   38   151     0     0 
 163% 1243M  147M    0 | 486   272    49M    0 |  74  0.85     0     0     0 |   0     0 | 110M  734   334    10M   42   166     0     0 
 164% 1245M  145M    0 | 490   238    50M    0 |  68  0.85     0     0     0 |   0     0 | 112M  749   283    10M   41   255     0     0 
 158% 1246M  142M    0 | 492   237    51M    0 |  68  0.83     0     0     0 |   0     0 | 111M  752   295  7168K   28  53.5     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 150% 1247M  144M    0 | 470   271    48M    0 |  72  0.75     0     0     0 |   0     0 | 110M  735   320    10M   40   132     0     0 
 132% 1249M  140M    0 | 458   295    46M    0 |  75  0.69     0     0     0 |   0     0 | 108M  709   339    15M   60   223     0     0 
 150% 1250M  140M    0 | 515   263    53M    0 |  77  0.77     0     0     0 |   0     0 | 111M  746   309  7680K   30   286     0     0 
 174% 1251M  142M    0 | 477   248    50M    0 |  63  0.87     0     0     0 |   0     0 | 112M  737   275  9216K   36   133     0     0 
 167% 1252M  141M    0 | 515   261    53M    0 |  74  0.85     0     0     0 |   0     0 | 111M  750   304  9472K   37   199     0     0 
 157% 1254M  144M    0 | 489   243    51M    0 |  69  0.77     0     0     0 |   0     0 | 111M  742   300    11M   44   184     0     0 
 133% 1256M  143M    0 | 495   254    52M    0 |  63  0.73     0     0     0 |   0     0 | 109M  754   321  7936K   31   192     0     0 
 126% 1260M  138M    0 | 470   299    48M    0 |  73  0.69     0     0     0 |   0     0 | 109M  728   384  6912K   27   218     0     0 
 156% 1262M  145M    0 | 487   257    50M    0 |  66  1.26     2  3.32     0 |   0     0 | 112M  743   302  8192K   32   121     0     0 
 148% 1263M  142M    0 | 478   282    48M    0 |  78  0.79     0     0     0 |   0     0 | 110M  719   320    10M   43   186     0     0 
 171% 1264M  144M    0 | 512   250    52M    0 |  76  1.06     0     0     0 |   0     0 | 111M  757   282  9216K   36   210     0     0 
 185% 1276M  144M    0 | 471   264    47M    0 |  74  0.89     0     0     0 |   0     0 | 109M  716   309    10M   40   168     0     0 
 133% 1277M  143M    0 | 515   244    52M    0 |  81  0.70     0     0     0 |   0     0 | 108M  740   289  8960K   35   148     0     0 
 151% 1277M  140M    0 | 478   251    50M    0 |  65  0.83     0     0     0 |   0     0 | 110M  741   300  7936K   31   156     0     0 
 162% 1277M  145M    0 | 505   265    51M    0 |  81  0.83     0     0     0 |   0     0 | 111M  752   321  7680K   30  87.0     0     0 
 163% 1278M  142M    0 | 481   268    49M    0 |  71  0.83     0     0     0 |   0     0 | 111M  747   306    11M   45   114     0     0 
 158% 1278M  141M    0 | 495   255    51M    0 |  70  0.83     0     0     0 |   0     0 | 111M  742   299  9472K   37   222     0     0 
 142% 1279M  140M    0 | 503   264    52M    0 |  71  0.75     0     0     0 |   0     0 | 110M  742   320  4096K   16   286     0     0 
 130% 1279M  144M    0 | 489   251    50M    0 |  76  0.66     0     0     0 |   0     0 | 109M  731   297  8704K   34   137     0     0 
 149% 1279M  147M    0 | 511   251    53M    0 |  68  0.74     0     0     0 |   0     0 | 112M  775   298  6400K   25   159     0     0 
 170% 1280M  144M    0 | 476   256    49M    0 |  67  0.84     0     0     0 |   0     0 | 111M  747   316    11M   44   152     0     0 
 161% 1281M  145M    0 | 479   276    51M    0 |  58  0.83     2  4.12     0 |   0     0 | 113M  753   341  7680K   30   206     0     0 
 152% 1282M  140M    0 | 511   258    52M    0 |  80  0.78     0     0     0 |   0     0 | 110M  747   316  7936K   31   215     0     0 
 133% 1282M  142M    0 | 463   278    47M    0 |  72  0.70     0     0     0 |   0     0 | 108M  723   320    12M   48   123     0     0 
 144% 1282M  145M    0 | 508   257    53M    0 |  67  0.73     0     0     0 |   0     0 | 110M  746   314  7680K   30   223     0     0 
 160% 1283M  143M    0 | 489   222    51M    0 |  62  0.84     0     0     0 |   0     0 | 112M  747   293  6912K   27  51.1     0     0 
 166% 1283M  140M    0 | 471   286    47M    0 |  76  0.83     0     0     0 |   0     0 | 110M  719   355    12M   48   150     0     0 
 166% 1283M  142M    0 | 500   286    51M    0 |  76  0.83     0     0     0 |   0     0 | 112M  758   348  9728K   38   354     0     0 
 149% 1284M  143M    0 | 495   254    51M    0 |  72  0.76     0     0     0 |   0     0 | 109M  725   319  7680K   30   236     0     0 
 132% 1284M  141M    0 | 500   235    52M    0 |  64  0.71     0     0     0 |   0     0 | 109M  745   297  6144K   24   273     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 148% 1284M  143M    0 | 512   246    53M    0 |  73  0.75     0     0     0 |   0     0 | 110M  761   310  5888K   23   101     0     0 
 158% 1285M  130M    0 | 470   275    45M    0 |  71  0.86     0     0     0 |   0     0 | 110M  726   358    14M   59   162     0     0 
