---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  784M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
56.6%  784M   50M    0 | 863  1.60  2176K   39M| 646  0.90    55  2.27     0 |   0     0 |4224K   25  52.0    15M   62  57.9     0     0 
 167%  784M  125M    0 | 736   142    43M   36M| 430  1.54   191  2.54     0 |   0     0 |  88M  574   247    56M  228   188     0     0 
 229%  784M  157M    0 | 907   129    49M   45M| 512  1.82   196  3.17     0 |   0     0 | 105M  691   239    56M  225   220     0     0 
 205%  784M  155M    0 | 733   171    42M   34M| 409  1.84   151  3.33     0 |   0     0 | 102M  652   298    49M  198   192     0     0 
 214%  784M  163M    0 | 911   133    46M   49M| 467  1.79   176  3.17     0 |   0     0 |  99M  655   268    51M  207   149     0     0 
 195%  784M  156M    0 | 842   157    45M   44M| 485  1.65   204  2.71     0 |   0     0 |  99M  662   292    61M  245   185     0     0 
 201%  700M  158M    0 | 872   152    44M   46M| 477  1.36   174  2.44     0 |   0     0 |  97M  642   332    50M  203   171     0     0 
 196%  700M  155M    0 | 848   148    48M   40M| 479  1.57   174  2.74     0 |   0     0 | 104M  707   264    51M  207   169     0     0 
 201%  700M  155M    0 | 872   141    45M   47M| 466  1.68   180  2.96     0 |   0     0 |  99M  656   284    52M  209   180     0     0 
 209%  700M  159M    0 | 872   144    43M   49M| 484  1.88   196  3.08     0 |   0     0 |  98M  630   289    60M  240   180     0     0 
 213%  700M  160M    0 | 871   145    43M   46M| 494  1.76   188  3.09     0 |   0     0 | 100M  653   300    58M  232   163     0     0 
 181%  700M  159M    0 | 873   149    46M   44M| 466  1.42   175  2.52     0 |   0     0 | 101M  676   286    52M  209   167     0     0 
 180%  700M  153M    0 | 857   154    46M   43M| 491  1.47   197  2.53     0 |   0     0 | 100M  671   295    59M  236   153     0     0 
 210%  700M  155M    0 | 844   144    46M   43M| 428  1.66   153  3.12     0 |   0     0 | 103M  689   280    46M  184   128     0     0 
 213%  700M  159M    0 | 860   146    45M   44M| 460  1.75   170  3.12     0 |   0     0 | 102M  685   278    53M  212   168     0     0 
 211%  700M  154M    0 | 858   158    45M   44M| 491  1.84   191  3.14     0 |   0     0 |  99M  664   304    56M  227   197     0     0 
 208%  700M  157M    0 | 910   133    50M   45M| 494  1.63   184  2.91     0 |   0     0 | 100M  693   257    50M  201   127     0     0 
 175%  700M  155M    0 | 873   145    46M   45M| 458  1.30   175  2.36     0 |   0     0 | 103M  682   294    50M  203   149     0     0 
 181%  700M  159M    0 | 825   156    45M   42M| 449  1.49   167  2.55     0 |   0     0 | 101M  659   297    50M  202   168     0     0 
 220%  701M  156M    0 | 910   143    49M   46M| 497  1.84   200  3.13     0 |   0     0 | 102M  692   269    56M  225   164     0     0 
 230%  704M  158M    0 | 935   138    49M   48M| 499  1.79   185  3.19     0 |   0     0 | 104M  704   271    53M  213   162     0     0 
 217%  708M  156M    0 | 850   153    44M   44M| 462  1.83   179  3.20     0 |   0     0 | 100M  663   312    50M  203   174     0     0 
 179%  715M  158M    0 | 813   153    47M   39M| 439  1.43   154  2.67     0 |   0     0 |  99M  663   276    46M  185   178     0     0 
 193%  718M  155M    0 | 886   134    47M   45M| 475  1.41   180  2.43     0 |   0     0 | 100M  676   265    50M  203   141     0     0 
 191%  718M  156M    0 | 855   151    43M   47M| 458  1.63   185  2.76     0 |   0     0 |  99M  654   309    54M  217   171     0     0 
 218%  718M  155M    0 | 936   148    51M   46M| 521  1.85   196  3.18     0 |   0     0 | 101M  705   276    56M  226   169     0     0 
 219%  718M  157M    0 | 904   134    47M   48M| 482  1.75   178  3.18     0 |   0     0 | 101M  675   295    51M  206   165     0     0 
 193%  718M  154M    0 | 798   169    43M   40M| 424  1.79   165  2.98     0 |   0     0 |  99M  655   331    48M  195   163     0     0 
 171%  718M  161M    0 | 862   146    45M   44M| 477  1.39   179  2.49     0 |   0     0 | 100M  664   288    53M  214   160     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 179%  719M  156M    0 | 871   152    45M   47M| 479  1.44   196  2.46     0 |   0     0 |  99M  654   286    59M  236   181     0     0 
 217%  720M  155M    0 | 859   159    46M   45M| 479  1.93   188  3.21     0 |   0     0 | 101M  675   304    55M  223   191     0     0 
 219%  720M  154M    0 | 945   131    46M   52M| 517  1.88   208  3.21     0 |   0     0 |  99M  668   284    58M  235   128     0     0 
 226%  720M  155M    0 | 934   138    47M   55M| 514  1.97   214  3.18     0 |   0     0 | 100M  674   260    61M  246   163     0     0 
 203%  720M  151M    0 | 920   131    47M   49M| 485  1.81   198  2.98     0 |   0     0 |  99M  668   276    54M  216   151     0     0 
 179%  720M  154M    0 | 926   140    46M   51M| 497  1.41   202  2.43     0 |   0     0 | 100M  698   281    58M  236   140     0     0 
 164%  720M  157M    0 | 817   153    45M   40M| 445  1.33   153  2.47     0 |   0     0 | 101M  682   290    48M  192   168     0     0 
 214%  720M  156M    0 | 877   136    47M   45M| 464  1.89   179  3.13     0 |   0     0 | 101M  665   277    50M  203   157     0     0 
 211%  724M  155M    0 | 900   142    45M   48M| 502  1.84   196  3.21     0 |   0     0 |  99M  656   309    57M  229   195     0     0 
 249%  725M  156M    0 | 833   158    46M   42M| 468  1.77   181  3.14     0 |   0     0 | 103M  670   304    53M  215   186     0     0 
 182%  726M  159M    0 | 903   157    45M   48M| 494  1.50   189  2.62     0 |   0     0 |  97M  658   320    55M  220   179     0     0 
 172%  726M  157M    0 | 866   146    45M   46M| 481  1.45   194  2.44     0 |   0     0 | 101M  672   300    57M  230   168     0     0 
 203%  726M  153M    0 | 845   147    47M   42M| 468  1.64   179  2.93     0 |   0     0 | 103M  696   280    52M  211   147     0     0 
 218%  726M  159M    0 | 912   139    46M   49M| 474  1.91   186  3.17     0 |   0     0 | 101M  677   279    52M  209   133     0     0 
 212%  726M  155M    0 | 903   148    47M   49M| 497  1.87   201  3.18     0 |   0     0 |  99M  658   288    55M  223   167     0     0 
 215%  726M  156M    0 | 901   132    47M   47M| 492  1.75   184  3.08     0 |   0     0 | 101M  683   285    53M  212   140     0     0 
 179%  726M  152M    0 | 830   155    45M   41M| 457  1.41   169  2.53     0 |   0     0 | 103M  680   273    51M  205   203     0     0 
 178%  726M  156M    0 | 898   148    46M   49M| 491  1.49   198  2.48     0 |   0     0 |  97M  653   284    56M  227   166     0     0 
 201%  726M  158M    0 | 859   152    47M   42M| 434  1.63   155  2.97     0 |   0     0 | 103M  701   268    47M  189   161     0     0 
 211%  726M  158M    0 | 820   144    45M   42M| 450  1.73   169  3.14     0 |   0     0 | 103M  693   256    53M  215   178     0     0 
 217%  726M  157M    0 | 885   145    46M   46M| 505  1.87   196  3.24     0 |   0     0 | 100M  675   296    59M  238   169     0     0 
 211%  726M  153M    0 | 858   162    47M   43M| 470  1.75   181  3.04     0 |   0     0 | 100M  693   299    49M  199   180     0     0 
 178%  726M  156M    0 | 902   149    48M   46M| 486  1.39   180  2.49     0 |   0     0 | 100M  691   295    50M  203   147     0     0 
 167%  726M  155M    0 | 843   154    45M   42M| 450  1.39   163  2.56     0 |   0     0 | 100M  685   311    45M  183   156     0     0 
 222%  726M  155M    0 | 970   127    48M   54M| 539  1.72   214  3.09     0 |   0     0 | 103M  696   277    62M  251   160     0     0 
 263%  727M  155M    0 | 933   142    48M   51M| 506  1.84   204  3.20     0 |   0     0 | 103M  704   274    56M  225   168     0     0 
 216%  727M  156M    0 | 863   144    45M   45M| 475  1.88   183  3.14     0 |   0     0 |  99M  669   287    56M  225   181     0     0 
 190%  727M  155M    0 | 780   167    45M   35M| 424  1.49   142  2.83     0 |   0     0 | 102M  680   292    45M  183   174     0     0 
 173%  728M  154M    0 | 916   134    46M   50M| 514  1.37   201  2.41     0 |   0     0 |  99M  666   281    57M  230   157     0     0 
 179%  728M  157M    0 | 897   133    45M   51M| 479  1.49   205  2.47     0 |   0     0 | 100M  661   280    58M  235   143     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 222%  728M  154M    0 | 902   143    47M   47M| 498  1.81   192  3.13     0 |   0     0 | 101M  690   284    55M  222   186     0     0 
 209%  728M  131M    0 | 826   158    47M   35M| 412  1.80   154  3.23     0 |   0     0 | 103M  677   291    44M  179   158     0     0 
