---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  923M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
82.1%  924M  255M    0 |2713  0.06     0   336M|  12  1.17     7  2.58     0 |   0     0 |   0     0     0    90M  361   235     0     0 
67.0%  927M  299M    0 |1268  0.51     0   156M|   3  2.14     1  4.25     0 |   0     0 |   0     0     0   111M  447   323     0     0 
62.3%  927M  299M    0 | 899  0.81     0   110M|   3  3.38     2  4.50     0 |   0     0 |   0     0     0   111M  442   322     0     0 
55.5%  927M  299M    0 | 916  0.81     0   113M|   3  1.95     1  4.27     0 |   0     0 |   0     0     0   112M  451   296     0     0 
45.3%  927M  300M    0 | 916  0.88     0   111M|   2  2.05     1  3.17     0 |   0     0 |   0     0     0   111M  446   278     0     0 
52.6%  927M  299M    0 | 901  0.84     0   111M|   4  2.29     2  3.56     0 |   0     0 |   0     0     0   112M  448   367     0     0 
59.6%  927M  300M    0 | 920  0.81     0   113M|   3  3.08     2  4.04     0 |   0     0 |   0     0     0   112M  448   351     0     0 
61.7%  927M  299M    0 | 914  0.81     0   112M|   4  2.68     2  4.13     0 |   0     0 |   0     0     0   113M  452   361     0     0 
61.5%  927M  300M    0 | 914  0.81     0   112M|   5  2.47     2  4.11     0 |   0     0 |   0     0     0   111M  448   343     0     0 
52.0%  927M  299M    0 | 898  0.86     0   110M|   3  2.61     2  3.51     0 |   0     0 |   0     0     0   111M  446   337     0     0 
46.3%  928M  298M    0 | 913  0.89     0   112M|   3  1.59     3  2.52     0 |   0     0 |   0     0     0   112M  448   327     0     0 
56.9%  928M  299M    0 | 920  0.83     0   113M|   3  3.02     2  3.93     0 |   0     0 |   0     0     0   112M  450   315     0     0 
60.0%  928M  298M    0 | 910  0.82     0   111M|   3  2.62     1  5.36     0 |   0     0 |   0     0     0   112M  452   276     0     0 
59.9%  928M  299M    0 | 913  0.79     0   112M|   3  2.18     1  4.39     0 |   0     0 |   0     0     0   112M  446   300     0     0 
61.2%  928M  298M    0 | 909  0.79     0   111M|   4  3.25     3  3.91     0 |   0     0 |   0     0     0   112M  451   388     0     0 
47.2%  928M  299M    0 | 913  0.88     0   112M|   4  1.80     2  2.89     0 |   0     0 |   0     0     0   111M  447   365     0     0 
48.3%  928M  300M    0 | 912  0.85     0   112M|   3  2.53     2  3.30     0 |   0     0 |   0     0     0   111M  446   351     0     0 
56.5%  928M  299M    0 | 909  0.84     0   111M|   5  2.46     2  4.00     0 |   0     0 |   0     0     0   112M  450   374     0     0 
