---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0% 1549M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 220% 1550M   30M    0 | 449  4.75  6272K    0 | 387  1.21   678  2.16     0 |   0     0 |6272K   50  32.8     0     0     0  4206  1.94 
 196% 1550M   40M    0 |1040   112   112M    0 | 129  0.84     1  2.30     0 |   0     0 | 112M  897   130     0     0     0    99  96.2 
 183% 1550M   40M    0 |1039   123   112M    0 | 129  0.75    24  2.28     0 |   0     0 | 112M  900   142     0     0     0   121  83.7 
 180% 1550M   40M    0 |1013   124   111M    0 | 109  0.76    31  2.25     0 |   0     0 | 111M  894   140     0     0     0   161  60.7 
 157% 1550M   40M    0 | 966   130   109M    0 |  77  0.70    21  2.06     0 |   0     0 | 109M  874   143     0     0     0   125  75.0 
 174% 1550M   40M    0 |1006   122   112M    0 |  98  0.75    26  2.01     0 |   0     0 | 112M  895   137     0     0     0   117  88.7 
 182% 1550M   40M    0 |1013   126   112M    0 | 102  0.82     5  2.44     0 |   0     0 | 112M  901   142     0     0     0   127  72.8 
 186% 1550M   40M    0 |1007   126   112M    0 |  99  0.82    28  2.38     0 |   0     0 | 112M  899   142     0     0     0   114  93.8 
 177% 1550M   40M    0 |1012   125   112M    0 | 104  0.81     8  2.42     0 |   0     0 | 112M  893   140     0     0     0   123  74.3 
 176% 1550M   40M    0 |1000   132   111M    0 |  98  0.80    14  2.39     0 |   0     0 | 111M  890   147     0     0     0   154  67.2 
 144% 1550M   40M    0 | 985   125   109M    0 |  99  0.65     6  2.16     0 |   0     0 | 109M  874   142     0     0     0   118  82.2 
 173% 1550M   40M    0 |1013   126   112M    0 | 100  0.75    31  2.30     0 |   0     0 | 112M  902   142     0     0     0   130  78.0 
 182% 1550M   40M    0 |1016   130   112M    0 | 103  0.80    14  2.36     0 |   0     0 | 112M  899   146     0     0     0   115  88.7 
 186% 1550M   40M    0 |1003   125   111M    0 |  97  0.80    36  2.22     0 |   0     0 | 111M  899   140     0     0     0   146  68.5 
 187% 1551M   40M    0 |1017   126   112M    0 | 106  0.79     5  2.57     0 |   0     0 | 112M  895   142     0     0     0   131  80.7 
 170% 1551M   40M    0 | 991   125   110M    0 | 100  0.75     7  2.36     0 |   0     0 | 110M  883   141     0     0     0    98  93.2 
 157% 1551M   40M    0 | 995   129   111M    0 |  95  0.68    26  2.02     0 |   0     0 | 111M  885   145     0     0     0   124  81.5 
 186% 1551M   40M    0 |1012   128   112M    0 | 103  0.80    27  2.22     0 |   0     0 | 112M  898   144     0     0     0   115  89.0 
 191% 1551M   40M    0 |1012   128   112M    0 | 101  0.81    13  2.55     0 |   0     0 | 112M  897   144     0     0     0   147  69.4 
 188% 1551M   40M    0 |1011   128   112M    0 | 101  0.79    30  2.18     0 |   0     0 | 112M  896   144     0     0     0   134  74.2 
 182% 1551M   40M    0 |1007   124   111M    0 | 102  0.81     3  2.55     0 |   0     0 | 111M  896   140     0     0     0    87   113 
 154% 1552M   40M    0 | 980   135   109M    0 |  92  0.70    28  1.98     0 |   0     0 | 109M  875   151     0     0     0   118  86.8 
 159% 1552M   40M    0 |1008   128   111M    0 | 105  0.68     8  2.12     0 |   0     0 | 111M  893   144     0     0     0   102  92.4 
 182% 1552M   40M    0 |1011   120   112M    0 |  96  0.77    17  2.41     0 |   0     0 | 112M  902   135     0     0     0   110  86.6 
 186% 1552M   40M    0 |1010   127   111M    0 | 103  0.79    26  2.34     0 |   0     0 | 112M  896   143     0     0     0   120  80.4 
 183% 1552M   40M    0 |1001   130   112M    0 |  97  0.83     8  2.54     0 |   0     0 | 112M  894   145     0     0     0   133  79.1 
 185% 1552M   40M    0 |1003   124   111M    0 |  98  0.79    33  2.21     0 |   0     0 | 110M  892   139     0     0     0   102   101 
 153% 1552M   40M    0 | 987   130   110M    0 | 100  0.68    25  2.03     0 |   0     0 | 110M  877   146     0     0     0   158  65.5 
 174% 1552M   40M    0 |1009   129   112M    0 |  97  0.74    27  2.14     0 |   0     0 | 112M  895   145     0     0     0   106  90.1 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 186% 1553M   40M    0 |1016   122   112M    0 | 104  0.82     5  2.56     0 |   0     0 | 112M  900   137     0     0     0   117  81.7 
