---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  492M   12M    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 168%  500M   47M    0 | 833  0.83   768K   37M| 621  1.12   198  3.49     0 |   0     0 |  47M  237  16.2    59M  237  21.3  1282  7.14 
 212%  500M   54M    0 |1123   101    61M   60M| 667  1.83   303  3.00     0 |   0     0 |  72M  540   184    86M  351   153    94   110 
 250%  497M   53M    0 |1227   105    73M   57M| 681  1.76   257  3.10     0 |   0     0 |  89M  651   178    74M  295   128    79   116 
 237%  497M   53M    0 |1426  85.8    78M   75M| 766  1.56   335  2.73     0 |   0     0 |  93M  688   161    91M  364   104    97  99.4 
 238%  497M   54M    0 |1394  94.3    73M   76M| 753  1.75   309  2.94     0 |   0     0 |  89M  654   182    91M  365   124    88   121 
 187%  497M   51M    0 |1285   103    72M   65M| 702  1.38   280  2.40     0 |   0     0 |  85M  636   190    81M  326   113    96   101 
 236%  497M   52M    0 |1449  85.3    77M   79M| 777  1.70   355  2.72     0 |   0     0 |  91M  678   165    91M  365   114   113  90.4 
 234%  500M   52M    0 |1302  91.7    70M   69M| 703  1.81   282  3.12     0 |   0     0 |  85M  627   170    84M  337   112    93  90.1 
 265%  503M   53M    0 |1389  91.1    72M   77M| 753  1.80   319  2.94     0 |   0     0 |  85M  630   183    89M  357   110    97   114 
 226%  503M   53M    0 |1404  93.7    71M   80M| 773  1.71   344  2.77     0 |   0     0 |  87M  634   187    97M  389   122    88   112 
 229%  503M   51M    0 |1342  94.0    75M   67M| 724  1.67   280  2.91     0 |   0     0 |  87M  656   166    81M  326   132    86   124 
 184%  503M   51M    0 |1353  96.0    75M   70M| 732  1.33   295  2.30     0 |   0     0 |  87M  647   181    82M  329   112   112  89.7 
 258%  490M   52M    0 |1422  92.9    76M   76M| 755  1.66   322  2.88     0 |   0     0 |  89M  666   183    87M  351   111    94   105 
 249%  490M   53M    0 |1347  97.9    71M   73M| 734  1.85   355  3.09     0 |   0     0 |  86M  641   183    87M  350   123    84   113 
 243%  490M   59M    0 |1458  83.5    78M   79M| 764  1.78   306  2.99     0 |   0     0 |  89M  672   163    83M  334   119    88   104 
 240%  490M   51M    0 |1318  97.6    75M   66M| 755  1.78   305  2.98     0 |   0     0 |  89M  665   173    88M  355   128   102   102 
 227%  491M   50M    0 |1380  93.3    77M   72M| 739  1.58   296  2.76     0 |   0     0 |  89M  675   169    85M  340   105    89   104 
 209%  491M   49M    0 |1339  94.7    76M   67M| 736  1.32   316  2.30     0 |   0     0 |  92M  685   171    85M  341   114   101   111 
 227%  491M   55M    0 |1447  88.7    80M   75M| 732  1.58   270  2.90     0 |   0     0 |  92M  699   171    80M  319  99.7    99  94.2 
 261%  491M   55M    0 |1508  87.5    79M   83M| 818  1.81   366  2.93     0 |   0     0 |  92M  700   170    96M  391   112   109   100 
 228%  491M   49M    0 |1348  95.4    73M   71M| 752  1.73   332  2.81     0 |   0     0 |  83M  633   185    88M  351   111    91   102 
 245%  491M   53M    0 |1415  89.9    71M   81M| 760  1.84   318  3.01     0 |   0     0 |  85M  633   180    91M  367   116    90   115 
 193%  491M   51M    0 |1377  92.3    70M   77M| 753  1.46   322  2.41     0 |   0     0 |  82M  622   183    91M  366   114    99   100 
 203%  491M   58M    0 |1380  87.9    71M   78M| 718  1.55   321  2.56     0 |   0     0 |  85M  630   178    85M  341   116    84   114 
 253%  491M   53M    0 |1391  96.0    77M   72M| 763  1.90   304  3.13     0 |   0     0 |  89M  681   177    89M  357   126    71   146 
 256%  491M   54M    0 |1515  86.0    78M   85M| 808  1.83   341  3.03     0 |   0     0 |  91M  687   171    98M  392   111    92   113 
 245%  491M   53M    0 |1366  92.0    78M   69M| 739  1.63   308  2.79     0 |   0     0 |  88M  675   170    80M  322   110   104  94.2 
 230%  491M   53M    0 |1370  93.4    76M   71M| 733  1.70   303  2.91     0 |   0     0 |  91M  686   167    86M  346   120    83   120 
 186%  491M   50M    0 |1335  94.4    76M   67M| 728  1.30   282  2.28     0 |   0     0 |  89M  675   169    83M  333   118    84   115 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 243%  491M   55M    0 |1526  85.0    76M   86M| 809  1.71   341  2.88     0 |   0     0 |  88M  675   170    93M  374   110   105  98.9 
 266%  491M   56M    0 |1359  87.9    74M   72M| 727  1.84   295  3.16     0 |   0     0 |  88M  660   168    84M  338   112    69   129 
 241%  491M   55M    0 |1391  92.9    75M   74M| 761  1.77   333  2.97     0 |   0     0 |  89M  664   176    90M  361   111    88   115 
 221%  491M   53M    0 |1341  97.2    72M   72M| 730  1.59   296  2.75     0 |   0     0 |  87M  642   180    89M  359   122   132  82.4 
 226%  491M   53M    0 |1392  90.4    75M   74M| 750  1.66   318  2.75     0 |   0     0 |  88M  661   172    86M  345   124    82   117 
 191%  491M   50M    0 |1313  95.5    71M   69M| 711  1.40   315  2.35     0 |   0     0 |  88M  647   173    88M  354   127    79   137 
 268%  487M   52M    0 |1439  96.0    74M   79M| 795  1.84   327  3.14     0 |   0     0 |  89M  666   185    92M  368   108   109  87.0 
 242%  487M   56M    0 |1362  89.1    73M   74M| 722  1.87   287  3.17     0 |   0     0 |  87M  646   170    84M  337   114    83   103 
 248%  487M   50M    0 |1447  89.7    81M   75M| 803  1.76   334  2.91     0 |   0     0 |  94M  708   162    93M  375   123    84   137 
 224%  487M   53M    0 |1356  95.7    73M   73M| 707  1.67   305  2.80     0 |   0     0 |  90M  656   180    87M  350   103   100   101 
 218%  487M   55M    0 |1370  92.1    74M   72M| 724  1.48   291  2.57     0 |   0     0 |  86M  647   180    83M  331   115    84   113 
 220%  487M   59M    0 |1465  86.6    73M   84M| 769  1.67   324  2.77     0 |   0     0 |  87M  650   176    94M  382   115    89   105 
 249%  487M   52M    0 |1326  98.1    76M   66M| 756  1.86   316  3.16     0 |   0     0 |  90M  674   168    87M  349   125    88   124 
 247%  487M   53M    0 |1470  88.7    74M   84M| 788  1.90   342  3.13     0 |   0     0 |  88M  655   178    97M  389   111    91   104 
 254%  487M   53M    0 |1414  83.3    70M   83M| 775  1.80   357  2.98     0 |   0     0 |  82M  624   172    95M  380   117   109  94.6 
 238%  487M   51M    0 |1389  93.9    76M   73M| 747  1.73   317  2.98     0 |   0     0 |  86M  658   175    86M  344   112   104  91.2 
 189%  487M   52M    0 |1362  96.9    73M   73M| 731  1.38   296  2.39     0 |   0     0 |  85M  650   185    85M  342   117   108   100 
 217%  487M   47M    0 |1309  97.0    77M   65M| 728  1.58   288  2.74     0 |   0     0 |  91M  685   172    86M  345   120    95   106 
 251%  487M   57M    0 |1416  86.5    79M   73M| 689  1.74   297  3.03     0 |   0     0 |  92M  696   159    75M  298   106    97  85.7 
 256%  487M   52M    0 |1385  89.1    76M   72M| 772  1.73   315  2.96     0 |   0     0 |  87M  675   160    87M  351   113    85   119 
 222%  487M   50M    0 |1305  95.8    76M   64M| 691  1.59   273  2.91     0 |   0     0 |  87M  669   175    77M  312   115    88   119 
 235%  487M   53M    0 |1363   101    77M   68M| 734  1.62   301  2.81     0 |   0     0 |  91M  689   185    80M  322   111   104  96.9 
 204%  487M   55M    0 |1489  88.7    78M   82M| 786  1.37   348  2.32     0 |   0     0 |  91M  685   172    92M  369   113    99   107 
 258%  487M   50M    0 |1315  92.5    73M   67M| 723  1.82   290  3.26     0 |   0     0 |  85M  647   168    84M  336   129    83   119 
 247%  487M   53M    0 |1369  97.7    76M   72M| 730  1.83   299  3.12     0 |   0     0 |  91M  672   184    84M  340   112    94   106 
 235%  487M   57M    0 |1341  89.4    75M   69M| 704  1.70   287  2.86     0 |   0     0 |  92M  677   165    82M  327   117    72   126 
 241%  487M   48M    0 |1384  98.5    79M   69M| 779  1.68   308  2.94     0 |   0     0 |  93M  696   171    92M  369   127    94   118 
 207%  487M   56M    0 |1408  85.2    74M   76M| 730  1.50   287  2.76     0 |   0     0 |  86M  649   171    80M  323   107   108  86.0 
 221%  487M   52M    0 |1298   102    75M   63M| 715  1.42   301  2.44     0 |   0     0 |  92M  675   179    84M  335   118    98   106 
 242%  487M   53M    0 |1387  91.6    75M   73M| 755  1.82   304  3.02     0 |   0     0 |  90M  671   175    88M  355   108   103  93.9 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 239%  487M   50M    0 |1337  99.3    72M   71M| 724  1.75   314  3.11     0 |   0     0 |  87M  648   184    89M  356   125    82   125 
