---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  684M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 115%  686M  196M    0 |2240  0.10     0   277M|  14  1.32    58  2.00     0 |   0     0 |   0     0     0    89M  356   239   961  8.39 
84.6%  689M  299M    0 |1740  0.28     0   215M|   2  2.72     3  3.41     0 |   0     0 |   0     0     0   112M  448   308    35   246 
54.5%  689M  299M    0 | 911  0.85     0   112M|   4  2.40     4  3.18     0 |   0     0 |   0     0     0   112M  451   333    32   323 
62.2%  690M  299M    0 | 906  0.81     0   111M|   2  2.83     5  3.30     0 |   0     0 |   0     0     0   110M  446   300    35   253 
49.0%  690M  299M    0 | 909  0.87     0   111M|   4  2.12     5  2.64     0 |   0     0 |   0     0     0   112M  445   338    33   305 
61.3%  690M  300M    0 | 919  0.81     0   113M|   5  2.35     4  3.25     0 |   0     0 |   0     0     0   112M  449   371    35   317 
61.7%  691M  299M    0 | 910  0.79     0   112M|   3  3.11     3  3.61     0 |   0     0 |   0     0     0   112M  453   332    30   350 
60.1%  691M  299M    0 | 918  0.81     0   112M|   3  1.91     7  2.84     0 |   0     0 |   0     0     0   113M  451   277    43   191 
50.9%  692M  300M    0 | 917  0.84     0   112M|   2  1.93     4  2.62     0 |   0     0 |   0     0     0   111M  448   321    35   296 
45.7%  693M  299M    0 | 907  0.89     0   111M|   5  2.07     5  2.47     0 |   0     0 |   0     0     0   112M  450   394    40   284 
44.6%  693M  299M    0 | 919  0.89     0   113M|   5  1.79     4  2.40     0 |   0     0 |   0     0     0   112M  451   337    27   390 
51.6%  694M  299M    0 | 915  0.84     0   112M|   2  2.21     2  2.96     0 |   0     0 |   0     0     0   112M  448   275    32   256 
61.2%  695M  298M    0 | 902  0.81     0   110M|   3  1.92     1  3.79     0 |   0     0 |   0     0     0   112M  448   328    28   301 
53.5%  695M  299M    0 | 905  0.86     0   111M|   3  2.81     3  3.24     0 |   0     0 |   0     0     0   110M  443   332    22   466 
55.2%  697M  299M    0 | 908  0.83     0   111M|   4  2.37     5  3.04     0 |   0     0 |   0     0     0   111M  445   312    27   376 
49.2%  698M  299M    0 | 911  0.86     0   112M|   4  1.98     3  2.89     0 |   0     0 |   0     0     0   112M  452   354    30   278 
53.9%  699M  299M    0 | 913  0.85     0   112M|   3  2.87     4  3.00     0 |   0     0 |   0     0     0   112M  448   397    41   324 
60.8%  699M  300M    0 | 908  0.81     0   111M|   4  2.61     3  3.62     0 |   0     0 |   0     0     0   111M  447   342    34   327 
58.5%  700M  299M    0 | 908  0.83     0   111M|   2  2.12     3  2.90     0 |   0     0 |   0     0     0   112M  445   279    31   234 
52.0%  702M  299M    0 | 908  0.86     0   111M|   5  1.95     4  2.85     0 |   0     0 |   0     0     0   111M  449   322    29   316 
57.0%  702M  299M    0 | 910  0.83     0   111M|   3  1.93     5  2.98     0 |   0     0 |   0     0     0   112M  445   327    35   258 
45.0%  703M  300M    0 | 908  0.89     0   111M|   3  2.71     4  2.90     0 |   0     0 |   0     0     0   111M  447   369    26   486 
56.4%  704M  300M    0 | 909  0.83     0   111M|   4  2.32     3  3.42     0 |   0     0 |   0     0     0   112M  447   337    19   570 
61.3%  704M  298M    0 | 903  0.83     0   111M|   3  3.11    10  2.86     0 |   0     0 |   0     0     0   111M  446   358    29   311 
56.4%  705M  299M    0 | 902  0.84     0   110M|   4  2.25     6  2.93     0 |   0     0 |   0     0     0   111M  445   339    22   472 
54.2%  706M  299M    0 | 913  0.85     0   112M|   4  2.51     2  4.02     0 |   0     0 |   0     0     0   111M  444   324    18   513 
53.6%  707M  298M    0 | 901  0.85     0   110M|   3  2.68     3  3.11     0 |   0     0 |   0     0     0   111M  447   354    23   495 
48.3%  708M  299M    0 | 906  0.86     0   111M|   3  2.11     4  2.54     0 |   0     0 |   0     0     0   111M  447   341    38   269 
58.4%  709M  299M    0 | 908  0.83     0   112M|   3  3.09     3  3.47     0 |   0     0 |   0     0     0   111M  446   322    22   456 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
59.3%  710M  299M    0 | 913  0.82     0   112M|   4  2.46     4  3.17     0 |   0     0 |   0     0     0   111M  445   323    41   222 
51.8%  711M  300M    0 | 907  0.86     0   111M|   4  1.68     5  2.29     0 |   0     0 |   0     0     0   111M  446   315    42   189 
53.8%  712M  300M    0 | 906  0.85     0   111M|   3  2.67     3  2.97     0 |   0     0 |   0     0     0   111M  446   303    37   277 
47.7%  712M  299M    0 | 906  0.89     0   111M|   3  1.41     4  2.77     0 |   0     0 |   0     0     0   111M  446   336    18   614 
50.6%  714M  300M    0 | 905  0.87     0   110M|   3  2.32     7  2.37     0 |   0     0 |   0     0     0   111M  445   404    28   368 
47.1%  714M  214M    0 | 216  0.82     0    25M|   4  2.25    17  2.63     0 |   0     0 |   0     0     0   111M  445   354    50   215 
42.4%  715M  101M    0 |  15  0.42     0     0 |   4  2.28    11  2.61     0 |   0     0 |   0     0     0   112M  450   347    29   355 
48.0%  717M 8192K    0 |  15   174     0     0 |   4  2.73    71  1.77     0 |   0     0 |   0     0     0    93M  374   384   789  16.4 
 140%  731M 8704K    0 | 187  7.68    20M    0 |   8  0.93   362  1.86     0 |   0     0 |  20M  165  8.42     0     0     0  3356  2.76 
 120%  738M 8704K    0 | 483  7.07    58M    0 |   5  0.72   258  1.57     0 |   0     0 |  58M  468  7.17     0     0     0  2308  4.15 
 156%  748M 8704K    0 | 483  6.77    58M    0 |   4  0.85   414  1.91     0 |   0     0 |  58M  468  6.84     0     0     0  2313  3.93 
 168%  757M 8704K    0 | 501  6.52    60M    0 |   6  1.03   258  2.13     0 |   0     0 |  60M  485  6.56     0     0     0  2454  3.82 
 174%  768M 8704K    0 | 494  6.68    59M    0 |   4  1.31   449  2.08     0 |   0     0 |  59M  478  6.73     0     0     0  2286  4.00 
 137%  777M 8704K    0 | 500  6.67    60M    0 |   3  0.89   312  1.86     0 |   0     0 |  60M  484  6.73     0     0     0  1473  3.90 
71.1%  779M 8704K    0 | 540  6.20    65M    0 |   6  0.99     0     0     0 |   0     0 |  65M  527  6.21     0     0     0     0     0 
76.0%  781M 8704K    0 | 549  6.15    66M    0 |   5  0.99     2  2.89     0 |   0     0 |  66M  533  6.19     0     0     0     0     0 
83.2%  783M 8704K    0 | 561  6.05    68M    0 |   5  1.04     0     0     0 |   0     0 |  68M  544  6.05     0     0     0     0     0 
80.4%  785M 8704K    0 | 551  6.11    67M    0 |   4  1.07     0     0     0 |   0     0 |  67M  536  6.11     0     0     0     0     0 
77.8%  786M 8704K    0 | 544  6.18    65M    0 |   5  1.11     0     0     0 |   0     0 |  65M  528  6.20     0     0     0     0     0 
82.3%  789M 8704K    0 | 559  6.04    68M    0 |   4  1.16     0     0     0 |   0     0 |  68M  544  6.03     0     0     0     0     0 
