### cooldown start: A-idle->B1-nj1 (Sun Jul  5 03:58:57 PM CST 2026)
  [15s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 03:59:23 PM CST 2026)
  [30s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 03:59:39 PM CST 2026)
  [45s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 03:59:55 PM CST 2026)
  [60s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:00:12 PM CST 2026)
  [75s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:00:28 PM CST 2026)
  [90s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:00:44 PM CST 2026)
  [105s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:01:00 PM CST 2026)
  [120s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:01:16 PM CST 2026)
  [135s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:01:32 PM CST 2026)
  [150s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:01:48 PM CST 2026)
  [165s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:02:05 PM CST 2026)
  [180s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:02:21 PM CST 2026)
  [195s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:02:37 PM CST 2026)
  [210s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:02:53 PM CST 2026)
  [225s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:03:09 PM CST 2026)
  [240s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:03:25 PM CST 2026)
  [255s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:03:41 PM CST 2026)
  [270s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:03:57 PM CST 2026)
  [285s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:04:13 PM CST 2026)
  [300s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS (Sun Jul  5 04:04:29 PM CST 2026)
  cooldown timeout 300s, restarting stalled OSDs (Sun Jul  5 04:04:29 PM CST 2026)
  [restart+15s] HEALTH_WARN 1 OSD(s) experiencing stalled read in db device of BlueFS; 1 osds down; Degraded data redundancy: 42654/256230 objects degraded (16.647%), 52 pgs degraded (Sun Jul  5 04:05:15 PM CST 2026)
  [restart+30s] HEALTH_OK (Sun Jul  5 04:05:31 PM CST 2026)
  backend clean after restart+30s (Sun Jul  5 04:05:31 PM CST 2026)
### cooldown end: clean after restart (Sun Jul  5 04:05:31 PM CST 2026)
